"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1285 0.1412 0.1513 0.1658 0.1755 0.1901 0.1917 0.2188 0.2259 0.2437 0.2513 0.2622 5.9515 9.9477 13.9365 3.9743 8.964
"3" 0.5 0.1501 0.1661 0.1761 0.1963 0.2053 0.2258 0.2161 0.2658 0.2686 0.2969 0.3007 0.3124 5.8967 9.8891 13.865 3.9454 8.9238
"4" 0.75 0.1754 0.1954 0.2049 0.2324 0.2402 0.2682 0.2436 0.323 0.3194 0.3617 0.3597 0.3722 5.8341 9.8228 13.7838 3.9126 8.8785
"5" 1 0.2048 0.2298 0.2385 0.2751 0.2809 0.3185 0.2747 0.3923 0.3796 0.4405 0.4303 0.4433 5.7621 9.7473 13.6908 3.875 8.827
"6" 1.25 0.2392 0.2702 0.2775 0.3256 0.3284 0.3781 0.3096 0.4764 0.4512 0.5363 0.5146 0.5279 5.6786 9.6608 13.5835 3.8316 8.7682
"7" 1.5 0.2793 0.3177 0.3228 0.3852 0.3839 0.4489 0.349 0.5784 0.5361 0.6529 0.6152 0.6285 5.5814 9.5609 13.459 3.7813 8.7004
"8" 1.75 0.326 0.3735 0.3755 0.4555 0.4487 0.5328 0.3934 0.7019 0.6369 0.7945 0.7353 0.748 5.4677 9.4453 13.314 3.7228 8.6222
"9" 2 0.3804 0.4389 0.4366 0.5386 0.5243 0.6321 0.4433 0.8515 0.7565 0.9666 0.8786 0.8898 5.3341 9.3109 13.1444 3.6544 8.5313
"10" 2.25 0.4437 0.5157 0.5076 0.6365 0.6123 0.7497 0.4996 1.0324 0.8982 1.1754 1.0493 1.0581 5.177 9.1541 12.9455 3.5743 8.4256
"11" 2.5 0.5174 0.6058 0.59 0.7518 0.7148 0.8886 0.5629 1.2508 1.066 1.4285 1.2525 1.2573 4.9918 8.9711 12.7117 3.4803 8.3021
"12" 2.75 0.603 0.7112 0.6855 0.8873 0.834 1.0525 0.6341 1.5141 1.2645 1.735 1.4941 1.4931 4.7732 8.7569 12.4367 3.37 8.1579
"13" 3 0.7024 0.8344 0.796 1.0464 0.9724 1.2455 0.7142 1.8309 1.499 2.1056 1.7806 1.7714 4.5153 8.5064 12.113 3.2403 7.9892
"14" 3.25 0.8174 0.9781 0.9239 1.2327 1.1328 1.4721 0.8042 2.2109 1.7757 2.5526 2.1197 2.0993 4.2112 8.2135 11.7322 3.0881 7.7919
"15" 3.5 0.9504 1.145 1.0712 1.4503 1.318 1.7372 0.9053 2.6646 2.1014 3.0905 2.5195 2.4841 3.8534 7.8715 11.2851 2.9099 7.5615
"16" 3.75 1.1034 1.3379 1.2401 1.7032 1.5313 2.0455 1.0187 3.2029 2.4836 3.7354 2.9882 2.934 3.434 7.4736 10.7619 2.7019 7.2932
"17" 4 1.2774 1.5593 1.4325 1.9955 1.7756 2.4007 1.1457 3.8353 2.9301 4.5044 3.5332 3.4567 2.9457 7.0132 10.1531 2.4608 6.982
"18" 4.25 1.4724 1.8099 1.649 2.3306 2.0533 2.8038 1.2874 4.566 3.4487 5.4149 4.1577 4.0586 2.3832 6.4858 9.4521 2.1846 6.6246
"19" 4.5 1.6846 2.0866 1.8871 2.7099 2.3655 3.2478 1.4415 5.3838 4.0456 6.4811 4.8538 4.7428 1.749 5.8934 8.6605 1.8752 6.2208
"20" 4.75 1.9004 2.3742 2.1349 3.131 2.7105 3.704 1.6025 6.2341 4.7228 7.7089 5.5808 5.5051 1.0657 5.2545 7.8027 1.5447 5.7798
"21" 5 2.0758 2.619 2.3495 3.5517 3.0456 4.0779 1.7484 6.9341 5.4565 9.0723 6.1956 6.2368 0.4252 4.6523 6.9831 1.2446 5.3495
"22" 5.25 2.1218 2.7009 2.4271 3.7631 3.2103 4.1818 1.8145 7.1349 5.9637 10.0504 6.3949 6.5698 0.1144 4.3575 6.5638 1.1152 5.1176
"23" 5.5 2.0829 2.6672 2.4022 3.7889 3.2248 4.1104 1.8096 7.0196 6.1818 10.4926 6.3113 6.5786 0.0808 4.3242 6.4969 1.1186 5.07
"24" 5.75 2.0359 2.6214 2.3661 3.7917 3.2204 4.022 1.7956 6.874 6.3611 10.8662 6.1987 6.5489 0.0786 4.3216 6.4708 1.1368 5.0444
"25" 6 1.9889 2.5748 2.329 3.7913 3.2136 3.9333 1.7806 6.7274 6.5391 11.2409 6.0843 6.5144 0.0776 4.3208 6.4463 1.156 5.0202
"26" 6.25 1.9421 2.5278 2.2914 3.7887 3.2049 3.8448 1.7648 6.581 6.7171 11.6191 5.9692 6.4763 0.0766 4.3208 6.4221 1.1755 4.9963
"27" 6.5 1.8956 2.4806 2.2533 3.7838 3.1944 3.7568 1.7483 6.435 6.895 12.0004 5.8537 6.4348 0.0756 4.3216 6.398 1.1954 4.9729
"28" 6.75 1.8495 2.4331 2.2149 3.7767 3.1822 3.6692 1.7311 6.2894 7.0723 12.3843 5.7377 6.39 0.0747 4.3231 6.374 1.2155 4.9499
"29" 7 1.8038 2.3855 2.1761 3.7674 3.1682 3.5822 1.7133 6.1446 7.2489 12.7704 5.6216 6.342 0.0737 4.3254 6.3503 1.236 4.9274
"30" 7.25 1.7585 2.3378 2.137 3.756 3.1525 3.4958 1.6948 6.0005 7.4246 13.158 5.5053 6.2909 0.0728 4.3284 6.3268 1.2568 4.9054
"31" 7.5 1.7137 2.29 2.0977 3.7424 3.1352 3.41 1.6757 5.8573 7.5991 13.5468 5.3891 6.2368 0.0719 4.3321 6.3036 1.2777 4.8839
"32" 7.75 1.6694 2.2423 2.0582 3.7268 3.1163 3.3251 1.656 5.7151 7.7722 13.9363 5.2731 6.1799 0.071 4.3365 6.2806 1.2989 4.8629
"33" 8 1.6256 2.1945 2.0186 3.7092 3.0959 3.241 1.6358 5.5742 7.9437 14.326 5.1573 6.1202 0.0701 4.3416 6.258 1.3203 4.8425
"34" 8.25 1.5824 2.147 1.9788 3.6896 3.0739 3.1578 1.6152 5.4345 8.1133 14.7154 5.042 6.058 0.0692 4.3475 6.2356 1.3418 4.8226
"35" 8.5 1.5397 2.0995 1.9391 3.6681 3.0505 3.0755 1.594 5.2963 8.2808 15.1041 4.9272 5.9933 0.0684 4.3539 6.2136 1.3634 4.8033
"36" 8.75 1.4977 2.0523 1.8993 3.6448 3.0258 2.9943 1.5725 5.1596 8.4461 15.4917 4.8131 5.9263 0.0676 4.3611 6.192 1.3852 4.7846
"37" 9 1.4563 2.0054 1.8596 3.6197 2.9997 2.9142 1.5505 5.0245 8.6091 15.8778 4.6998 5.8572 0.0668 4.3688 6.1707 1.407 4.7664
"38" 9.25 1.4155 1.9588 1.82 3.593 2.9724 2.8352 1.5282 4.8912 8.7694 16.2618 4.5873 5.7861 0.066 4.3771 6.1498 1.4288 4.7489
"39" 9.5 1.3754 1.9125 1.7806 3.5647 2.9439 2.7573 1.5056 4.7597 8.927 16.6436 4.4759 5.7132 0.0652 4.3861 6.1293 1.4507 4.7319
"40" 9.75 1.336 1.8666 1.7413 3.5349 2.9144 2.6807 1.4827 4.63 9.0817 17.0226 4.3655 5.6385 0.0645 4.3956 6.1092 1.4725 4.7156
"41" 10 1.2974 1.8212 1.7023 3.5036 2.8838 2.6053 1.4596 4.5024 9.2334 17.3986 4.2563 5.5624 0.0638 4.4056 6.0896 1.4943 4.6998
"42" 10.25 1.2594 1.7762 1.6635 3.471 2.8522 2.5313 1.4363 4.3768 9.382 17.7712 4.1484 5.4848 0.0631 4.4161 6.0703 1.5161 4.6846
"43" 10.5 1.2222 1.7318 1.625 3.4371 2.8197 2.4585 1.4128 4.2533 9.5274 18.1402 4.0418 5.406 0.0624 4.4272 6.0515 1.5378 4.6701
"44" 10.75 1.1857 1.6879 1.5869 3.402 2.7864 2.3871 1.3891 4.132 9.6694 18.5051 3.9367 5.3261 0.0617 4.4387 6.0331 1.5594 4.6561
"45" 11 1.15 1.6446 1.5492 3.3658 2.7524 2.3171 1.3654 4.0129 9.808 18.8659 3.833 5.2452 0.0611 4.4506 6.0152 1.5808 4.6427
"46" 11.25 1.115 1.6019 1.5118 3.3286 2.7176 2.2485 1.3416 3.8961 9.9432 19.2222 3.7309 5.1635 0.0605 4.463 5.9977 1.6022 4.6299
"47" 11.5 1.0808 1.5598 1.4749 3.2905 2.6823 2.1813 1.3177 3.7816 10.0748 19.5739 3.6304 5.0811 0.0599 4.4757 5.9807 1.6233 4.6177
"48" 11.75 1.0474 1.5183 1.4385 3.2514 2.6463 2.1155 1.2938 3.6694 10.2029 19.9206 3.5315 4.9981 0.0593 4.4888 5.9641 1.6443 4.606
"49" 12 1.0147 1.4776 1.4025 3.2116 2.6099 2.0511 1.27 3.5595 10.3273 20.2623 3.4344 4.9147 0.0587 4.5023 5.948 1.6652 4.595
"50" 12.25 0.9828 1.4375 1.367 3.1711 2.573 1.9882 1.2462 3.452 10.448 20.5988 3.3389 4.8309 0.0582 4.5161 5.9323 1.6858 4.5844
"51" 12.5 0.9517 1.3981 1.332 3.1299 2.5358 1.9268 1.2224 3.3469 10.5651 20.9299 3.2453 4.747 0.0577 4.5302 5.9171 1.7062 4.5744
"52" 12.75 0.9213 1.3595 1.2976 3.0881 2.4982 1.8667 1.1988 3.2442 10.6785 21.2555 3.1534 4.6629 0.0571 4.5446 5.9023 1.7263 4.565
"53" 13 0.8917 1.3215 1.2637 3.0459 2.4604 1.8082 1.1752 3.1438 10.7882 21.5755 3.0633 4.5789 0.0566 4.5592 5.8879 1.7463 4.556
"54" 13.25 0.8629 1.2843 1.2304 3.0032 2.4223 1.751 1.1518 3.0459 10.8942 21.8898 2.9751 4.4949 0.0562 4.5741 5.874 1.766 4.5476
"55" 13.5 0.8348 1.2479 1.1977 2.9601 2.3841 1.6953 1.1286 2.9503 10.9965 22.1983 2.8887 4.4112 0.0557 4.5892 5.8605 1.7854 4.5397
"56" 13.75 0.8075 1.2122 1.1656 2.9168 2.3458 1.641 1.1055 2.8571 11.0951 22.501 2.8041 4.3277 0.0553 4.6045 5.8475 1.8046 4.5322
"57" 14 0.7809 1.1772 1.134 2.8732 2.3074 1.5881 1.0826 2.7662 11.1902 22.7978 2.7215 4.2446 0.0548 4.62 5.8349 1.8234 4.5253
"58" 14.25 0.755 1.143 1.1031 2.8294 2.269 1.5366 1.06 2.6777 11.2815 23.0887 2.6406 4.1619 0.0544 4.6356 5.8226 1.8421 4.5187
"59" 14.5 0.7299 1.1096 1.0727 2.7854 2.2307 1.4865 1.0375 2.5915 11.3694 23.3737 2.5617 4.0797 0.054 4.6514 5.8108 1.8604 4.5127
"60" 14.75 0.7054 1.0769 1.043 2.7414 2.1923 1.4377 1.0153 2.5076 11.4536 23.6527 2.4846 3.9982 0.0536 4.6673 5.7994 1.8784 4.5071
"61" 15 0.6817 1.045 1.0139 2.6974 2.1541 1.3903 0.9933 2.426 11.5344 23.9258 2.4093 3.9173 0.0533 4.6833 5.7884 1.8962 4.5019
"62" 15.25 0.6586 1.0138 0.9854 2.6534 2.1161 1.3443 0.9716 2.3465 11.6117 24.1929 2.3359 3.837 0.0529 4.6994 5.7778 1.9136 4.4971
"63" 15.5 0.6362 0.9834 0.9575 2.6094 2.0781 1.2995 0.9502 2.2693 11.6856 24.4541 2.2643 3.7576 0.0525 4.7156 5.7675 1.9307 4.4927
"64" 15.75 0.6145 0.9537 0.9303 2.5656 2.0404 1.256 0.929 2.1943 11.7562 24.7095 2.1944 3.6789 0.0522 4.7319 5.7576 1.9476 4.4886
"65" 16 0.5934 0.9247 0.9036 2.5218 2.003 1.2138 0.9082 2.1214 11.8234 24.9589 2.1264 3.6011 0.0519 4.7482 5.7481 1.9641 4.485
"66" 16.25 0.573 0.8965 0.8776 2.4783 1.9657 1.1728 0.8876 2.0506 11.8875 25.2026 2.0602 3.5242 0.0516 4.7645 5.7389 1.9804 4.4817
"67" 16.5 0.5532 0.869 0.8521 2.435 1.9288 1.133 0.8673 1.9818 11.9483 25.4406 1.9956 3.4483 0.0513 4.7809 5.7301 1.9963 4.4788
"68" 16.75 0.534 0.8422 0.8273 2.3919 1.8921 1.0944 0.8474 1.9151 12.006 25.6728 1.9328 3.3733 0.051 4.7973 5.7216 2.0119 4.4762
"69" 17 0.5154 0.8161 0.8031 2.3491 1.8558 1.057 0.8277 1.8504 12.0607 25.8995 1.8717 3.2993 0.0507 4.8137 5.7134 2.0272 4.4739
"70" 17.25 0.4974 0.7907 0.7794 2.3066 1.8199 1.0207 0.8084 1.7876 12.1124 26.1206 1.8123 3.2263 0.0504 4.83 5.7055 2.0423 4.4719
"71" 17.5 0.4799 0.766 0.7564 2.2645 1.7843 0.9856 0.7894 1.7267 12.1612 26.3361 1.7545 3.1544 0.0502 4.8464 5.698 2.057 4.4702
"72" 17.75 0.463 0.742 0.7339 2.2226 1.7491 0.9515 0.7707 1.6676 12.2071 26.5463 1.6983 3.0836 0.0499 4.8627 5.6907 2.0714 4.4688
"73" 18 0.4467 0.7186 0.712 2.1812 1.7143 0.9185 0.7524 1.6104 12.2502 26.7512 1.6437 3.0138 0.0497 4.879 5.6838 2.0855 4.4677
