"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.13 0.1409 0.1537 0.1566 0.1755 0.1945 0.2066 0.2057 0.2176 0.2305 0.2482 0.2554 5.9536 9.9481 13.9381 3.9751 8.9635
"3" 0.5 0.1537 0.1655 0.1818 0.1752 0.2053 0.2363 0.2511 0.235 0.2493 0.2656 0.2934 0.2965 5.9017 9.89 13.8688 3.9473 8.9227
"4" 0.75 0.1816 0.1943 0.215 0.196 0.2402 0.2871 0.3052 0.2684 0.2855 0.306 0.3467 0.3441 5.8429 9.8244 13.7904 3.9159 8.8767
"5" 1 0.2146 0.2281 0.2542 0.2191 0.2809 0.3488 0.3708 0.3066 0.327 0.3525 0.4097 0.3992 5.7759 9.7497 13.7011 3.8801 8.8242
"6" 1.25 0.2536 0.2678 0.3005 0.245 0.3284 0.4236 0.4506 0.3501 0.3744 0.4061 0.4839 0.4632 5.699 9.664 13.5988 3.8391 8.764
"7" 1.5 0.2995 0.3144 0.3552 0.2739 0.384 0.5145 0.5474 0.3997 0.4286 0.4677 0.5716 0.5372 5.6102 9.5653 13.4806 3.7919 8.6945
"8" 1.75 0.3537 0.3689 0.4198 0.3062 0.4488 0.6246 0.665 0.4563 0.4906 0.5385 0.675 0.6229 5.5072 9.4508 13.3436 3.7371 8.614
"9" 2 0.4176 0.4328 0.496 0.3421 0.5244 0.7581 0.8077 0.5206 0.5615 0.6198 0.7968 0.7221 5.3872 9.3177 13.1842 3.6735 8.5203
"10" 2.25 0.4929 0.5077 0.5859 0.3822 0.6126 0.9199 0.9808 0.5939 0.6424 0.7132 0.9402 0.8367 5.2472 9.1623 12.998 3.5993 8.4108
"11" 2.5 0.5815 0.5953 0.6919 0.4267 0.7152 1.1155 1.1909 0.6771 0.7348 0.8204 1.109 0.969 5.0832 8.9804 12.78 3.5126 8.2825
"12" 2.75 0.6857 0.6978 0.8168 0.4763 0.8346 1.3518 1.4456 0.7716 0.8401 0.9433 1.3074 1.1216 4.891 8.7673 12.5243 3.411 8.132
"13" 3 0.8081 0.8176 0.9638 0.5313 0.9734 1.6368 1.7542 0.8787 0.9601 1.0839 1.5401 1.2972 4.6654 8.5172 12.2243 3.292 7.9551
"14" 3.25 0.9517 0.9572 1.1366 0.5922 1.1343 1.9798 2.1279 0.9998 1.0966 1.2446 1.8127 1.4991 4.4009 8.2236 11.8719 3.1525 7.747
"15" 3.5 1.1197 1.1195 1.3395 0.6595 1.3205 2.3913 2.5801 1.1362 1.2515 1.4278 2.131 1.7303 4.0907 7.8791 11.4583 2.9892 7.5023
"16" 3.75 1.3158 1.3076 1.5769 0.7336 1.5353 2.8828 3.1265 1.2891 1.427 1.6361 2.5013 1.9943 3.7278 7.4754 10.9737 2.7982 7.2147
"17" 4 1.5436 1.5243 1.853 0.8149 1.7819 3.4662 3.7861 1.4596 1.625 1.8718 2.9295 2.2942 3.305 7.0037 10.4074 2.5757 6.8774
"18" 4.25 1.8053 1.7719 2.1719 0.9032 2.0634 4.152 4.5805 1.6474 1.8473 2.137 3.4202 2.6322 2.8155 6.4553 9.7493 2.318 6.4832
"19" 4.5 2.1008 2.0508 2.5353 0.9982 2.3817 4.9445 5.5337 1.8506 2.0951 2.4327 3.9735 3.0093 2.2557 5.8239 8.9923 2.0231 6.0257
"20" 4.75 2.424 2.3562 2.9392 1.0988 2.7365 5.8309 6.6511 2.0624 2.3679 2.7578 4.5785 3.4227 1.6322 5.114 8.1424 1.6941 5.5064
"21" 5 2.7523 2.6688 3.362 1.2023 3.1228 6.75 7.9047 2.2643 2.6624 3.107 5.1935 3.864 0.9779 4.3565 7.2379 1.3474 4.9432
