"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1246 0.1434 0.1577 0.1645 0.1825 0.1979 0.1986 0.219 0.2303 0.2452 0.2496 0.2622 5.9486 9.9437 13.9316 3.9729 8.9607
"3" 0.5 0.1411 0.1714 0.1913 0.1934 0.2219 0.2448 0.2321 0.2664 0.279 0.3005 0.2966 0.3123 5.8896 9.8796 13.8533 3.942 8.916
"4" 0.75 0.1599 0.2049 0.2319 0.2272 0.2699 0.3028 0.2712 0.324 0.3381 0.3682 0.3525 0.372 5.8213 9.806 13.7628 3.9065 8.8647
"5" 1 0.181 0.2448 0.2812 0.2669 0.3282 0.3744 0.3168 0.3939 0.4096 0.4512 0.4187 0.4431 5.7417 9.7208 13.6575 3.8652 8.8054
"6" 1.25 0.205 0.2925 0.341 0.3134 0.3989 0.4629 0.37 0.4788 0.496 0.5526 0.4973 0.5275 5.6481 9.6214 13.5339 3.8171 8.7363
"7" 1.5 0.232 0.3493 0.4133 0.368 0.4847 0.5721 0.4322 0.5818 0.6007 0.6767 0.5906 0.6279 5.5375 9.5048 13.3882 3.7605 8.6554
"8" 1.75 0.2626 0.4172 0.5009 0.4319 0.5888 0.7069 0.5048 0.7066 0.7271 0.8284 0.701 0.747 5.4062 9.3676 13.2156 3.6938 8.5602
"9" 2 0.2971 0.498 0.6068 0.5066 0.715 0.873 0.5894 0.8578 0.88 1.0136 0.8318 0.8884 5.25 9.2054 13.0104 3.6148 8.4478
"10" 2.25 0.3361 0.5943 0.7349 0.5941 0.8677 1.0775 0.6882 1.0406 1.0644 1.2396 0.9865 1.0559 5.0636 9.0132 12.7661 3.5211 8.3148
"11" 2.5 0.38 0.7089 0.8896 0.6962 1.0524 1.3287 0.8033 1.2614 1.2869 1.5149 1.1691 1.2541 4.841 8.7853 12.4745 3.4097 8.157
"12" 2.75 0.4293 0.8451 1.0764 0.8151 1.2753 1.6368 0.9374 1.5273 1.5549 1.8499 1.3844 1.4881 4.575 8.5147 12.1265 3.2774 7.9698
"13" 3 0.4848 1.0064 1.3014 0.9534 1.5438 2.0135 1.0935 1.8465 1.877 2.2566 1.6375 1.7638 4.2572 8.1935 11.7113 3.1201 7.7477
"14" 3.25 0.547 1.1967 1.5716 1.1137 1.8663 2.472 1.2751 2.2281 2.2634 2.7489 1.9339 2.0875 3.8786 7.8128 11.2168 2.9337 7.4845
"15" 3.5 0.6163 1.4202 1.8943 1.2986 2.252 3.0265 1.4861 2.6811 2.7254 3.3425 2.2788 2.4657 3.4292 7.3633 10.63 2.7136 7.1735
"16" 3.75 0.6926 1.6802 2.2766 1.5105 2.7108 3.6904 1.7309 3.2128 3.2752 4.0542 2.6766 2.9048 2.8996 6.8356 9.9382 2.4554 6.808
"17" 4 0.775 1.9781 2.7233 1.7512 3.2518 4.4708 2.0133 3.8247 3.9248 4.9005 3.1274 3.4093 2.2837 6.2229 9.1323 2.1566 6.3826
"18" 4.25 0.8607 2.3087 3.2305 2.0206 3.8815 5.3544 2.3301 4.5011 4.6844 5.8941 3.6206 3.9805 1.5865 5.5286 8.2167 1.8202 5.8981
"19" 4.5 0.9408 2.6451 3.7637 2.3149 4.5954 6.2617 2.6657 5.1733 5.5578 7.0377 4.1112 4.6068 0.8479 4.7848 7.2358 1.4664 5.3725
"20" 4.75 0.9883 2.8871 4.1753 2.5619 5.2176 6.9027 2.9454 5.6166 6.438 8.2143 4.4443 5.1083 0.2485 4.1652 6.417 1.189 4.9185
"21" 5 0.9771 2.9136 4.2596 2.6256 5.4277 6.9699 3.031 5.6224 6.8932 8.8213 4.4546 5.2193 0.0855 3.9767 6.1682 1.1251 4.7631
"22" 5.25 0.9496 2.8722 4.2331 2.6216 5.4782 6.8671 3.0394 5.5059 7.1435 9.1535 4.369 5.1947 0.0766 3.9472 6.1287 1.1341 4.7231
"23" 5.5 0.9219 2.8272 4.1995 2.6129 5.5179 6.7554 3.0423 5.3845 7.385 9.4744 4.2792 5.1611 0.0756 3.9262 6.1002 1.1471 4.6894
"24" 5.75 0.8946 2.7816 4.1641 2.6028 5.5544 6.6425 3.0436 5.2636 7.629 9.7991 4.1895 5.1252 0.0748 3.9059 6.0723 1.1604 4.6563
"25" 6 0.868 2.7356 4.1271 2.5916 5.5879 6.5287 3.0433 5.1435 7.8757 10.1277 4.1002 5.087 0.0739 3.8861 6.0448 1.174 4.6236
"26" 6.25 0.8418 2.6892 4.0884 2.5791 5.6184 6.4142 3.0415 5.0243 8.1248 10.4599 4.0112 5.0466 0.0731 3.8667 6.0176 1.1878 4.5913
"27" 6.5 0.8162 2.6426 4.0482 2.5654 5.6459 6.299 3.0382 4.906 8.3761 10.7954 3.9227 5.0042 0.0723 3.8477 5.9908 1.2019 4.5595
"28" 6.75 0.7912 2.5956 4.0064 2.5505 5.6702 6.1832 3.0334 4.7887 8.6292 11.1338 3.8346 4.9598 0.0715 3.8292 5.9645 1.2163 4.5282
"29" 7 0.7667 2.5485 3.9632 2.5345 5.6914 6.0671 3.0271 4.6725 8.884 11.4747 3.7472 4.9134 0.0707 3.8112 5.9386 1.2308 4.4973
"30" 7.25 0.7427 2.5012 3.9187 2.5174 5.7095 5.9506 3.0192 4.5574 9.14 11.8177 3.6604 4.8652 0.0699 3.7936 5.9131 1.2456 4.467
"31" 7.5 0.7193 2.4538 3.8729 2.4992 5.7244 5.8341 3.0099 4.4436 9.3971 12.1625 3.5743 4.8151 0.0691 3.7766 5.8882 1.2605 4.4373
"32" 7.75 0.6964 2.4063 3.8259 2.4799 5.7361 5.7174 2.9992 4.331 9.6549 12.5086 3.489 4.7634 0.0684 3.7601 5.8638 1.2756 4.4081
"33" 8 0.674 2.3588 3.7777 2.4596 5.7447 5.6009 2.987 4.2198 9.9132 12.8557 3.4044 4.7101 0.0676 3.7442 5.8399 1.2908 4.3796
"34" 8.25 0.6522 2.3113 3.7284 2.4384 5.7502 5.4846 2.9735 4.1101 10.1717 13.2035 3.3208 4.6552 0.0669 3.7287 5.8165 1.3062 4.3516
