"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1379 0.1467 0.1548 0.1673 0.1775 0.1949 0.2015 0.2018 0.2185 0.242 0.2517 0.2546 5.9504 9.9454 13.9335 3.974 8.9616
"3" 0.5 0.1728 0.1794 0.1844 0.1998 0.2101 0.2375 0.2389 0.2262 0.2512 0.2927 0.3016 0.2945 5.894 9.8836 13.8578 3.9446 8.9183
"4" 0.75 0.2165 0.2193 0.2195 0.2387 0.2486 0.2893 0.2832 0.2535 0.2889 0.3541 0.3613 0.3407 5.8293 9.8131 13.771 3.911 8.8687
"5" 1 0.2713 0.268 0.2614 0.285 0.2942 0.3523 0.3356 0.2841 0.3321 0.4282 0.4328 0.394 5.7543 9.732 13.6705 3.8723 8.8117
"6" 1.25 0.3398 0.3275 0.3111 0.3403 0.348 0.429 0.3978 0.3183 0.3817 0.5177 0.5184 0.4556 5.667 9.638 13.5534 3.8274 8.7456
"7" 1.5 0.4255 0.4001 0.3703 0.4062 0.4115 0.5222 0.4713 0.3566 0.4387 0.6258 0.6206 0.5267 5.5646 9.5284 13.4161 3.775 8.6686
"8" 1.75 0.5327 0.4887 0.4406 0.4847 0.4865 0.6356 0.5585 0.3994 0.5041 0.7562 0.7429 0.6087 5.4441 9.4001 13.2544 3.7137 8.5783
"9" 2 0.6666 0.5968 0.5242 0.5781 0.575 0.7732 0.6616 0.4471 0.5791 0.9135 0.8889 0.7032 5.3017 9.2493 13.0635 3.6414 8.4722
"10" 2.25 0.8338 0.7286 0.6235 0.6891 0.6792 0.9402 0.7837 0.5004 0.665 1.1029 1.063 0.812 5.1332 9.0715 12.8372 3.5562 8.347
"11" 2.5 1.0422 0.889 0.7412 0.821 0.802 1.1425 0.9281 0.5597 0.7634 1.3309 1.2706 0.9371 4.9333 8.8617 12.5687 3.4555 8.199
"12" 2.75 1.3019 1.0841 0.8809 0.9773 0.9463 1.387 1.0988 0.6256 0.876 1.605 1.5174 1.0808 4.696 8.6136 12.2498 3.3362 8.0239
"13" 3 1.6247 1.3208 1.0462 1.1623 1.1157 1.682 1.3004 0.6987 1.0046 1.9337 1.8105 1.2453 4.4144 8.3202 11.8708 3.1949 7.8165
"14" 3.25 2.0253 1.6072 1.2417 1.3807 1.314 2.0366 1.5385 0.7795 1.1512 2.3272 2.1573 1.4334 4.0806 7.9736 11.4211 3.0278 7.571
"15" 3.5 2.5207 1.9521 1.4716 1.6374 1.5454 2.4609 1.8192 0.8683 1.3178 2.7967 2.5658 1.6474 3.686 7.5647 10.8884 2.8304 7.2808
