"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1283 0.1418 0.1541 0.1686 0.1799 0.1986 0.2016 0.2188 0.2364 0.234 0.2458 0.2586 5.9511 9.9433 13.934 3.9733 8.9608
"3" 0.5 0.1497 0.1675 0.1826 0.2029 0.2157 0.2466 0.2392 0.266 0.2942 0.2738 0.2877 0.304 5.8955 9.8787 13.8591 3.943 8.9163
"4" 0.75 0.1746 0.1979 0.2164 0.2443 0.2587 0.306 0.2837 0.3232 0.366 0.3203 0.3367 0.3572 5.832 9.8043 13.7733 3.9082 8.8653
"5" 1 0.2037 0.2337 0.2564 0.2939 0.3101 0.3797 0.3364 0.3927 0.4552 0.3746 0.394 0.4197 5.7585 9.7178 13.6743 3.868 8.8064
"6" 1.25 0.2375 0.276 0.3037 0.3536 0.3717 0.4711 0.3989 0.4769 0.5661 0.4381 0.4609 0.4929 5.6732 9.6167 13.5592 3.8211 8.7379
"7" 1.5 0.2769 0.3259 0.3597 0.4253 0.4454 0.5843 0.4729 0.5791 0.7039 0.5121 0.5391 0.5788 5.5733 9.4978 13.4247 3.7662 8.6578
"8" 1.75 0.3227 0.3848 0.426 0.5114 0.5335 0.7245 0.5607 0.703 0.8748 0.5986 0.6304 0.6795 5.456 9.3572 13.2667 3.7016 8.5636
"9" 2 0.376 0.4541 0.5044 0.6145 0.6388 0.8979 0.6646 0.8529 1.087 0.6994 0.7369 0.7973 5.3176 9.1905 13.0804 3.6253 8.4526
"10" 2.25 0.4379 0.5358 0.597 0.7381 0.7645 1.1124 0.7876 1.0341 1.3499 0.8168 0.861 0.935 5.154 8.9921 12.8602 3.5349 8.3212
"11" 2.5 0.5098 0.6319 0.7063 0.8859 0.9144 1.3772 0.9332 1.2531 1.6755 0.9534 1.0056 1.0958 4.96 8.7555 12.5996 3.4276 8.1655
"12" 2.75 0.5931 0.7448 0.8353 1.0624 1.0929 1.7034 1.1054 1.517 2.0783 1.1122 1.1735 1.2833 4.7299 8.4733 12.2906 3.3002 7.9809
"13" 3 0.6895 0.8774 0.9872 1.2727 1.305 2.1044 1.3089 1.8343 2.5755 1.2963 1.3684 1.5012 4.4568 8.1363 11.9243 3.1488 7.7617
"14" 3.25 0.8009 1.0325 1.1658 1.5225 1.5563 2.5959 1.5493 2.2146 3.1881 1.5093 1.5938 1.7539 4.1331 7.7342 11.4904 2.9692 7.5018
