"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.131 0.1461 0.1568 0.165 0.1757 0.1857 0.1994 0.2068 0.2241 0.2329 0.2478 0.2522 5.955 9.9481 13.9391 3.9757 8.9637
"3" 0.5 0.156 0.1779 0.1892 0.1945 0.2058 0.2155 0.234 0.2376 0.2643 0.2712 0.2925 0.2891 5.905 9.8903 13.8713 3.9488 8.9231
"4" 0.75 0.1857 0.2165 0.2282 0.2293 0.2411 0.2501 0.2744 0.273 0.3117 0.3158 0.3451 0.3313 5.849 9.8251 13.7952 3.9185 8.8775
"5" 1 0.2211 0.2635 0.2753 0.2702 0.2823 0.2902 0.3219 0.3136 0.3676 0.3677 0.4071 0.3797 5.7857 9.7512 13.7091 3.8844 8.8258
"6" 1.25 0.2632 0.3207 0.332 0.3183 0.3306 0.3367 0.3776 0.3601 0.4334 0.428 0.4802 0.435 5.7138 9.6668 13.6111 3.8456 8.7667
"7" 1.5 0.3132 0.3902 0.4003 0.3749 0.387 0.3906 0.4428 0.4135 0.5109 0.4981 0.5663 0.4982 5.6316 9.57 13.4988 3.8012 8.699
"8" 1.75 0.3726 0.4747 0.4826 0.4414 0.4529 0.4531 0.5192 0.4747 0.6021 0.5796 0.6677 0.5706 5.5372 9.4583 13.3698 3.7503 8.6209
"9" 2 0.4432 0.5774 0.5816 0.5196 0.53 0.5253 0.6088 0.5447 0.7095 0.6742 0.787 0.6532 5.4286 9.3292 13.221 3.6917 8.5305
"10" 2.25 0.5271 0.7021 0.7009 0.6115 0.6199 0.609 0.7137 0.6249 0.8358 0.784 0.9274 0.7476 5.3031 9.1794 13.0487 3.624 8.4256
"11" 2.5 0.6265 0.8534 0.8444 0.7192 0.7248 0.7058 0.8366 0.7167 0.9843 0.9115 1.0923 0.8553 5.1578 9.0052 12.8489 3.5455 8.3037
"12" 2.75 0.7444 1.037 1.0168 0.8455 0.8471 0.8175 0.9805 0.8215 1.1588 1.0591 1.2861 0.978 4.9894 8.8024 12.6168 3.4546 8.1616
"13" 3 0.884 1.2594 1.224 0.9933 0.9895 0.9464 1.1487 0.941 1.3635 1.23 1.5133 1.1176 4.7941 8.566 12.347 3.349 7.9959
"14" 3.25 1.0491 1.5286 1.4727 1.166 1.155 1.0947 1.3455 1.0772 1.6034 1.4276 1.7793 1.2763 4.5673 8.2905 12.0331 3.2265 7.8025
"15" 3.5 1.244 1.8538 1.7707 1.3675 1.347 1.2652 1.5754 1.2319 1.8843 1.6556 2.0902 1.4561 4.3044 7.9694 11.6682 3.0843 7.577
"16" 3.75 1.4736 2.2454 2.1273 1.6017 1.5693 1.4605 1.8438 1.407 2.2123 1.9181 2.4524 1.6595 3.9998 7.5957 11.2445 2.9194 7.314
"17" 4 1.7433 2.7152 2.5527 1.8731 1.8258 1.6833 2.1568 1.6045 2.5945 2.2192 2.8728 1.8884 3.6478 7.1616 10.7535 2.7287 7.0081
"18" 4.25 2.0588 3.2759 3.0572 2.1859 2.1205 1.9359 2.5211 1.8256 3.0381 2.5634 3.3581 2.1449 3.2427 6.6593 10.1866 2.5091 6.6533
"19" 4.5 2.424 3.9399 3.6512 2.544 2.4568 2.2196 2.9443 2.0706 3.5504 2.9542 3.9131 2.4302 2.7798 6.0814 9.5361 2.2578 6.244
"20" 4.75 2.8398 4.7155 4.3423 2.9497 2.8371 2.5332 3.4346 2.3375 4.1375 3.394 4.5387 2.7439 2.2568 5.4233 8.7976 1.9735 5.7759
"21" 5 3.3001 5.5993 5.1287 3.402 3.2612 2.8697 3.9918 2.619 4.8026 3.8821 5.2247 3.0833 1.6792 4.6889 7.9765 1.659 5.251
"22" 5.25 3.7795 6.5535 5.9807 3.8938 3.7235 3.2079 4.6005 2.895 5.5421 4.4121 5.9328 3.4406 1.0707 3.903 7.1026 1.3269 4.6851
"23" 5.5 4.2009 7.441 6.7858 4.4003 4.1953 3.4899 5.2012 3.1153 6.3409 4.9682 6.5497 3.7874 0.5048 3.1471 6.2718 1.0175 4.1333
"24" 5.75 4.4048 7.9413 7.2635 4.7395 4.506 3.6047 5.6142 3.1894 7.0152 5.438 6.8415 3.9806 0.1697 2.6649 5.7544 0.8371 3.7697
"25" 6 4.3996 8.0267 7.3688 4.8451 4.6018 3.5684 5.767 3.1392 7.3829 5.6728 6.821 3.999 0.1023 2.5252 5.6214 0.803 3.6531
"26" 6.25 4.3507 8.0196 7.388 4.8932 4.6444 3.5021 5.8527 3.0657 7.6665 5.8431 6.7351 3.9772 0.0963 2.4671 5.5791 0.8022 3.5967
