"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1349 0.1433 0.1557 0.1689 0.1758 0.1899 0.1953 0.2183 0.2289 0.2321 0.252 0.2536 5.9525 9.9459 13.9367 3.9741 8.9632
"3" 0.5 0.1655 0.1711 0.1866 0.2037 0.2061 0.2254 0.2243 0.2648 0.2757 0.2693 0.3023 0.2924 5.8989 9.8849 13.8657 3.9449 8.922
"4" 0.75 0.203 0.2043 0.2234 0.2457 0.2415 0.2674 0.2576 0.3211 0.3321 0.3124 0.3626 0.337 5.8381 9.8156 13.7851 3.9117 8.8754
"5" 1 0.2489 0.2439 0.2676 0.2963 0.2829 0.3173 0.2959 0.3893 0.3999 0.3624 0.4348 0.3884 5.7685 9.736 13.693 3.8735 8.8224
"6" 1.25 0.3051 0.2912 0.3204 0.3572 0.3314 0.3764 0.3398 0.4718 0.4816 0.4204 0.5214 0.4475 5.6883 9.6441 13.5871 3.8295 8.7615
"7" 1.5 0.3739 0.3475 0.3836 0.4305 0.3882 0.4465 0.3902 0.5717 0.5797 0.4874 0.625 0.5155 5.5953 9.5374 13.4647 3.7784 8.6914
"8" 1.75 0.4581 0.4146 0.4592 0.5186 0.4545 0.5294 0.4481 0.6925 0.6977 0.5651 0.749 0.5936 5.4871 9.4131 13.3224 3.7187 8.61
"9" 2 0.5612 0.4946 0.5496 0.6246 0.532 0.6276 0.5144 0.8385 0.8394 0.6549 0.8973 0.6833 5.3608 9.2675 13.1565 3.6489 8.5154
"10" 2.25 0.687 0.5899 0.6575 0.7518 0.6225 0.7437 0.5905 1.0148 1.0096 0.7587 1.0746 0.7863 5.2129 9.0967 12.9625 3.5669 8.4051
"11" 2.5 0.8407 0.7032 0.7864 0.9044 0.7279 0.8808 0.6778 1.2273 1.2138 0.8786 1.2862 0.9043 5.0394 8.8959 12.7352 3.4705 8.276
"12" 2.75 1.0281 0.8379 0.9401 1.0871 0.8508 1.0425 0.7778 1.4832 1.4585 1.0168 1.5385 1.0393 4.8357 8.6596 12.4687 3.357 8.1249
"13" 3 1.2563 0.9977 1.1232 1.3055 0.9937 1.233 0.8923 1.7908 1.7513 1.176 1.8388 1.1935 4.5964 8.3813 12.1559 3.2234 7.9478
"14" 3.25 1.5336 1.1872 1.341 1.5659 1.1595 1.4566 1.0235 2.1593 2.1011 1.359 2.1955 1.3692 4.3156 8.0537 11.7891 3.0661 7.7404
