"time" "Tot"
"259" 64.5 119.2692
"260" 64.75 119.2951
"261" 65 119.3219
"262" 65.25 119.3498
"263" 65.5 119.3784
"264" 65.75 119.4079
"265" 66 119.4383
"266" 66.25 119.4696
"267" 66.5 119.5017
"268" 66.75 119.5347
"269" 67 119.5686
"270" 67.25 119.6034
"271" 67.5 119.6388
"272" 67.75 119.6386
"273" 68 119.5335
"274" 68.25 119.422
"275" 68.5 119.3312
"276" 68.75 119.2624
"277" 69 119.2145
"278" 69.25 119.1858
"279" 69.5 119.1747
"280" 69.75 119.18
"281" 70 119.2002
"282" 70.25 119.2343
"283" 70.5 119.2807
"284" 70.75 119.3386
"285" 71 119.4067
"286" 71.25 119.4844
"287" 71.5 119.5696
"288" 71.75 119.651
"289" 72 119.7328
"290" 72.25 119.8168
"291" 72.5 119.903
"292" 72.75 119.9911
"293" 73 120.0814
"294" 73.25 120.0828
"295" 73.5 119.9884
"296" 73.75 119.9112
"297" 74 119.8526
"298" 74.25 119.813
"299" 74.5 119.792
"300" 74.75 119.776
"301" 75 119.7553
"302" 75.25 119.7354
"303" 75.5 119.7169
"304" 75.75 119.6994
"305" 76 119.6833
"306" 76.25 119.6686
"307" 76.5 119.6548
"308" 76.75 119.6426
"309" 77 119.6316
"310" 77.25 119.6218
"311" 77.5 119.6132
"312" 77.75 119.6062
"313" 78 119.6001
"314" 78.25 119.5955
"315" 78.5 119.5921
"316" 78.75 119.59
"317" 79 119.5893
"318" 79.25 119.5898
"319" 79.5 119.5916
"320" 79.75 119.5948
"321" 80 119.5992
"322" 80.25 119.6049
"323" 80.5 119.612
"324" 80.75 119.6203
"325" 81 119.63
"326" 81.25 119.641
"327" 81.5 119.6533
"328" 81.75 119.6668
"329" 82 119.6817
"330" 82.25 119.698
"331" 82.5 119.7155
"332" 82.75 119.726
"333" 83 119.7041
"334" 83.25 119.6652
"335" 83.5 119.6322
"336" 83.75 119.607
"337" 84 119.5903
"338" 84.25 119.5825
"339" 84.5 119.5849
"340" 84.75 119.598
"341" 85 119.6041
"342" 85.25 119.5932
"343" 85.5 119.5827
"344" 85.75 119.5733
"345" 86 119.5649
"346" 86.25 119.5576
"347" 86.5 119.5514
"348" 86.75 119.5463
"349" 87 119.5423
"350" 87.25 119.5393
"351" 87.5 119.5374
"352" 87.75 119.5369
"353" 88 119.5371
"354" 88.25 119.5387
"355" 88.5 119.5413
"356" 88.75 119.5451
"357" 89 119.5499
"358" 89.25 119.556
"359" 89.5 119.563
"360" 89.75 119.5713
"361" 90 119.5807
"362" 90.25 119.5912
"363" 90.5 119.6027
"364" 90.75 119.6073
"365" 91 119.5611
"366" 91.25 119.4958
"367" 91.5 119.4115
"368" 91.75 119.3417
"369" 92 119.2885
"370" 92.25 119.2491
"371" 92.5 119.218
"372" 92.75 119.1965
"373" 93 119.1839
"374" 93.25 119.1796
"375" 93.5 119.1828
"376" 93.75 119.1923
"377" 94 119.2078
"378" 94.25 119.2288
"379" 94.5 119.2543
"380" 94.75 119.2838
"381" 95 119.3173
"382" 95.25 119.354
"383" 95.5 119.3935
"384" 95.75 119.4355
"385" 96 119.4796
"386" 96.25 119.5258
"387" 96.5 119.5734
"388" 96.75 119.6222
"389" 97 119.6724
"390" 97.25 119.7233
"391" 97.5 119.7752
"392" 97.75 119.8275
"393" 98 119.8802
"394" 98.25 119.9332
"395" 98.5 119.9865
"396" 98.75 120.0397
"397" 99 120.0929
"398" 99.25 120.1462
"399" 99.5 120.1991
"400" 99.75 120.2518
"401" 100 120.3043
"402" 100.25 120.3564
"403" 100.5 120.4083
"404" 100.75 120.4594
"405" 101 120.5007
"406" 101.25 120.5366
"407" 101.5 120.5522
"408" 101.75 120.5629
"409" 102 120.5604
"410" 102.25 120.5567
"411" 102.5 120.5536
"412" 102.75 120.5509
"413" 103 120.5287
"414" 103.25 120.4392
"415" 103.5 120.3582
"416" 103.75 120.2884
"417" 104 120.2266
"418" 104.25 120.1682
"419" 104.5 120.1153
"420" 104.75 120.0674
"421" 105 120.0246
"422" 105.25 119.9867
"423" 105.5 119.9529
"424" 105.75 119.9237
"425" 106 119.8984
"426" 106.25 119.8773
"427" 106.5 119.86
"428" 106.75 119.8462
"429" 107 119.8361
"430" 107.25 119.8293
"431" 107.5 119.8258
"432" 107.75 119.8251
"433" 108 119.8251
"434" 108.25 119.8261
"435" 108.5 119.8288
"436" 108.75 119.8326
"437" 109 119.8333
"438" 109.25 119.8116
"439" 109.5 119.7769
"440" 109.75 119.7526
"441" 110 119.7416
"442" 110.25 119.7452
"443" 110.5 119.765
"444" 110.75 119.8025
"445" 111 119.8598
"446" 111.25 119.8991
"447" 111.5 119.9113
"448" 111.75 119.9236
"449" 112 119.929
"450" 112.25 119.9193
