"time" "Tot"
"1118" 279.25 119.6205
"1119" 279.5 119.6265
"1120" 279.75 119.6354
"1121" 280 119.6472
"1122" 280.25 119.6619
"1123" 280.5 119.6793
"1124" 280.75 119.6994
"1125" 281 119.7218
"1126" 281.25 119.7469
"1127" 281.5 119.7741
"1128" 281.75 119.8034
"1129" 282 119.8348
"1130" 282.25 119.8679
"1131" 282.5 119.9029
"1132" 282.75 119.9361
"1133" 283 119.967
"1134" 283.25 119.9987
"1135" 283.5 120.0314
"1136" 283.75 120.065
"1137" 284 120.0998
"1138" 284.25 120.1351
"1139" 284.5 120.1696
"1140" 284.75 120.2041
"1141" 285 120.1705
"1142" 285.25 120.0559
"1143" 285.5 119.9478
"1144" 285.75 119.8602
"1145" 286 119.7936
"1146" 286.25 119.7463
"1147" 286.5 119.7169
"1148" 286.75 119.7044
"1149" 287 119.7069
"1150" 287.25 119.7235
"1151" 287.5 119.7529
"1152" 287.75 119.794
"1153" 288 119.846
"1154" 288.25 119.9078
"1155" 288.5 119.9784
"1156" 288.75 120.0569
"1157" 289 120.1364
"1158" 289.25 120.2136
"1159" 289.5 120.293
"1160" 289.75 120.3745
"1161" 290 120.4582
"1162" 290.25 120.5438
"1163" 290.5 120.6308
"1164" 290.75 120.5866
"1165" 291 120.4978
"1166" 291.25 120.4275
"1167" 291.5 120.3717
"1168" 291.75 120.3247
"1169" 292 120.2884
"1170" 292.25 120.2527
"1171" 292.5 120.2197
"1172" 292.75 120.1904
"1173" 293 120.1647
"1174" 293.25 120.1423
"1175" 293.5 120.1232
"1176" 293.75 120.1075
"1177" 294 120.0947
"1178" 294.25 120.0851
"1179" 294.5 120.078
"1180" 294.75 120.0712
"1181" 295 120.0656
"1182" 295.25 120.0613
"1183" 295.5 120.0585
"1184" 295.75 120.0569
"1185" 296 120.0564
"1186" 296.25 120.0573
"1187" 296.5 120.0597
"1188" 296.75 120.0633
"1189" 297 120.0682
"1190" 297.25 120.0745
"1191" 297.5 120.082
"1192" 297.75 120.0907
"1193" 298 120.085
"1194" 298.25 120.0542
"1195" 298.5 120.0261
"1196" 298.75 120.0064
"1197" 299 119.9898
"1198" 299.25 119.9821
"1199" 299.5 119.9847
"1200" 299.75 119.9979
