"time" "N1" "N2" "N3" "N4" "N5"
"87" 21.5 13.2352 26.0401 39.2208 15.4409 24.2181
"88" 21.75 13.0694 25.8611 39.17 15.5897 24.5055
"89" 22 12.9052 25.6821 39.1171 15.739 24.7947
"90" 22.25 12.7424 25.503 39.0622 15.8888 25.0858
"91" 22.5 12.581 25.3239 39.0051 16.039 25.3787
"92" 22.75 12.4211 25.1447 38.946 16.1896 25.6734
"93" 23 12.2626 24.9654 38.8848 16.3406 25.9699
"94" 23.25 12.1056 24.7862 38.8215 16.4921 26.2682
"95" 23.5 11.95 24.607 38.7562 16.6439 26.5683
"96" 23.75 11.7959 24.4278 38.6889 16.796 26.8701
"97" 24 11.6431 24.2486 38.6196 16.9485 27.1736
"98" 24.25 11.4919 24.0695 38.5482 17.1014 27.4788
"99" 24.5 11.342 23.8905 38.4748 17.2545 27.7857
"100" 24.75 11.1935 23.7116 38.3994 17.408 28.0943
"101" 25 11.0465 23.5328 38.3221 17.5617 28.4045
"102" 25.25 10.9009 23.3542 38.2428 17.7157 28.7163
"103" 25.5 10.7567 23.1757 38.1616 17.87 29.0298
"104" 25.75 10.614 22.9978 38.0791 18.0167 29.3455
"105" 26 10.4751 22.8257 38.0047 18.1212 29.6626
"106" 26.25 10.3437 22.6512 37.9415 18.2006 29.9505
"107" 26.5 10.2241 22.4721 37.8709 18.2748 30.2316
"108" 26.75 10.1171 22.2913 37.7948 18.3465 30.5102
"109" 27 10.0228 22.1089 37.7134 18.4155 30.7864
"110" 27.25 9.9412 21.9251 37.6265 18.4819 31.0599
"111" 27.5 9.8725 21.7398 37.5343 18.5456 31.3308
"112" 27.75 9.8168 21.5531 37.4368 18.6066 31.5988
"113" 28 9.774 21.365 37.3341 18.6649 31.8638
"114" 28.25 9.7445 21.1757 37.2261 18.7203 32.1257
"115" 28.5 9.7282 20.9851 37.1128 18.773 32.3843
"116" 28.75 9.7255 20.7934 36.9943 18.8228 32.6395
"117" 29 9.7366 20.6004 36.8705 18.8696 32.8911
"118" 29.25 9.7617 20.4064 36.7414 18.9134 33.1389
"119" 29.5 9.8011 20.2112 36.607 18.9542 33.3827
"120" 29.75 9.8552 20.0149 36.4673 18.9918 33.6222
"121" 30 9.9245 19.8175 36.3222 19.0261 33.8573
"122" 30.25 10.0094 19.619 36.1716 19.0571 34.0876
