"time" "N1" "N2" "N3" "N4" "N5"
"426" 106.25 8.1576 20.3477 31.4737 12.1587 47.7396
"427" 106.5 8.2089 20.6086 31.1454 12.1028 47.7943
"428" 106.75 8.2588 20.8884 30.815 12.0448 47.8392
"429" 107 8.3073 21.1859 30.483 11.985 47.8749
"430" 107.25 8.3544 21.5002 30.1497 11.9233 47.9017
"431" 107.5 8.4002 21.8303 29.8154 11.86 47.9199
"432" 107.75 8.4447 22.1749 29.4804 11.7951 47.93
"433" 108 8.4885 22.5265 29.1463 11.7293 47.9345
"434" 108.25 8.5318 22.8817 28.8141 11.6631 47.9354
"435" 108.5 8.5747 23.2407 28.484 11.5964 47.933
"436" 108.75 8.6171 23.6033 28.1558 11.5294 47.927
"437" 109 8.6594 23.9617 27.8306 11.4623 47.9193
"438" 109.25 8.7063 24.275 27.5215 11.4012 47.9076
"439" 109.5 8.7511 24.5552 27.2674 11.3637 47.8395
"440" 109.75 8.785 24.8055 27.0882 11.3589 47.715
"441" 110 8.8069 25.0221 26.9916 11.3911 47.5299
"442" 110.25 8.8157 25.2004 26.9853 11.4642 47.2796
"443" 110.5 8.8101 25.3362 27.0771 11.5825 46.9591
"444" 110.75 8.7888 25.4244 27.2753 11.7505 46.5635
"445" 111 8.7504 25.4599 27.5886 11.973 46.0879
"446" 111.25 8.6968 25.4471 27.9953 12.2178 45.5421
"447" 111.5 8.6396 25.4224 28.4044 12.4606 44.9843
"448" 111.75 8.5816 25.3938 28.8146 12.7059 44.4277
"449" 112 8.5235 25.3637 29.2113 12.9551 43.8754
"450" 112.25 8.4686 25.3424 29.565 13.2002 43.3431
"451" 112.5 8.4184 25.3352 29.8822 13.4308 42.8379
"452" 112.75 8.3726 25.3414 30.1671 13.6483 42.358
"453" 113 8.3308 25.3597 30.4229 13.8542 41.9007
"454" 113.25 8.293 25.3807 30.654 14.0502 41.4659
"455" 113.5 8.2611 25.3871 30.8668 14.2393 41.0621
"456" 113.75 8.2359 25.3789 31.062 14.4215 40.6925
"457" 114 8.2179 25.3559 31.2389 14.5965 40.3584
"458" 114.25 8.2074 25.3176 31.3967 14.7635 40.061
"459" 114.5 8.2049 25.2641 31.5347 14.9222 39.8016
"460" 114.75 8.2107 25.1949 31.6522 15.0721 39.5812
"461" 115 8.2252 25.1101 31.7487 15.2125 39.4009
"462" 115.25 8.2487 25.0095 31.8235 15.343 39.2616
"463" 115.5 8.2818 24.8929 31.8761 15.4631 39.1643
"464" 115.75 8.3246 24.7603 31.9058 15.5724 39.1098
"465" 116 8.3777 24.6117 31.9123 15.6702 39.099
"466" 116.25 8.4413 24.447 31.8949 15.7561 39.1327
"467" 116.5 8.5159 24.2662 31.8532 15.8297 39.2117
"468" 116.75 8.6019 24.0692 31.7867 15.8904 39.3367
"469" 117 8.6995 23.856 31.695 15.9378 39.5086
"470" 117.25 8.8093 23.6267 31.5774 15.9712 39.728
"471" 117.5 8.9322 23.3832 31.4364 15.9918 39.9797
"472" 117.75 9.0715 23.1357 31.2867 16.0073 40.2237
"473" 118 9.2225 22.8874 31.1327 16.0201 40.462
"474" 118.25 9.3755 22.6404 30.9773 16.0317 40.6986
"475" 118.5 9.5304 22.3949 30.821 16.0423 40.9339
"476" 118.75 9.6872 22.1508 30.6637 16.052 41.1679
"477" 119 9.8459 21.9083 30.5055 16.0607 41.4007
"478" 119.25 10.0064 21.6673 30.3464 16.0685 41.6322
"479" 119.5 10.1689 21.4279 30.1864 16.0753 41.8622
"480" 119.75 10.3334 21.1899 30.0255 16.0811 42.0909
"481" 120 10.4997 20.9536 29.8639 16.0859 42.3182
"482" 120.25 10.668 20.7187 29.7014 16.0898 42.544
"483" 120.5 10.8383 20.4854 29.5381 16.0927 42.7683
"484" 120.75 11.0105 20.2537 29.374 16.0947 42.991
"485" 121 11.1846 20.0236 29.2093 16.0956 43.2122
"486" 121.25 11.3607 19.7951 29.0438 16.0956 43.4317
"487" 121.5 11.5388 19.5681 28.8776 16.0947 43.6496
"488" 121.75 11.7189 19.3427 28.7107 16.0927 43.8657
"489" 122 11.901 19.1189 28.5432 16.0898 44.0802
"490" 122.25 12.0851 18.8968 28.3751 16.0859 44.2929
"491" 122.5 12.2711 18.6762 28.2063 16.0811 44.5038
"492" 122.75 12.4592 18.4572 28.037 16.0752 44.7129
"493" 123 12.6493 18.2399 27.8672 16.0685 44.9201
"494" 123.25 12.8414 18.0242 27.6968 16.0607 45.1254
"495" 123.5 13.0355 17.8101 27.5259 16.052 45.3288
"496" 123.75 13.2316 17.5976 27.3545 16.0423 45.5302
"497" 124 13.4298 17.3868 27.1826 16.0317 45.7296
"498" 124.25 13.63 17.1776 27.0103 16.0201 45.927
"499" 124.5 13.8231 16.9708 26.8389 16.0084 46.1248
"500" 124.75 13.9982 16.7682 26.6716 15.997 46.3293
"501" 125 14.1568 16.5724 26.5128 15.9713 46.5437
"502" 125.25 14.3022 16.3924 26.3786 15.9308 46.7272
"503" 125.5 14.4369 16.2345 26.2802 15.8786 46.8743
"504" 125.75 14.5616 16.0984 26.2177 15.8157 46.9872
"505" 126 14.6765 15.983 26.19 15.7429 47.0676
"506" 126.25 14.7819 15.8874 26.1958 15.6607 47.1167
"507" 126.5 14.8781 15.8104 26.2339 15.5697 47.1362
"508" 126.75 14.9654 15.7511 26.3029 15.4706 47.1273
"509" 127 15.044 15.7084 26.4018 15.364 47.0914
"510" 127.25 15.1142 15.6815 26.5292 15.2503 47.0298
"511" 127.5 15.1764 15.6692 26.6839 15.1302 46.9439
"512" 127.75 15.2308 15.6708 26.8649 15.0041 46.8349
"513" 128 15.2777 15.6854 27.071 14.8725 46.704
"514" 128.25 15.3173 15.7121 27.3009 14.7359 46.5524
"515" 128.5 15.35 15.75 27.5538 14.5947 46.3812
"516" 128.75 15.376 15.7984 27.8283 14.4493 46.1916
"517" 129 15.3955 15.8564 28.1236 14.3001 45.9845
"518" 129.25 15.4089 15.9234 28.4385 14.1475 45.7612
"519" 129.5 15.4163 15.9985 28.772 13.9919 45.5225
"520" 129.75 15.4181 16.0811 29.1231 13.8336 45.2696
"521" 130 15.4146 16.1705 29.4908 13.673 45.0033
"522" 130.25 15.4059 16.266 29.874 13.5103 44.7247
"523" 130.5 15.3923 16.367 30.2719 13.3459 44.4346
"524" 130.75 15.3741 16.4728 30.6834 13.1801 44.134
"525" 131 15.3515 16.5829 31.1075 13.0131 43.8237
"526" 131.25 15.3253 16.6976 31.5354 12.8456 43.5058
"527" 131.5 15.2966 16.8184 31.9631 12.6784 43.1834
"528" 131.75 15.2656 16.9451 32.3909 12.5117 42.8573
"529" 132 15.2325 17.0774 32.8189 12.3457 42.528
"530" 132.25 15.1973 17.2149 33.2473 12.1804 42.1957
"531" 132.5 15.1602 17.3568 33.676 12.0159 41.8607
"532" 132.75 15.1213 17.4994 34.1055 11.8525 41.5237
"533" 133 15.0812 17.6413 34.5368 11.6903 41.1859
"534" 133.25 15.0398 17.7826 34.97 11.5295 40.8474
"535" 133.5 14.9972 17.9205 35.4051 11.37 40.5084
"536" 133.75 14.955 18.0006 35.7871 11.2167 40.1878
"537" 134 14.8903 18.0368 36.081 11.0834 39.9394
"538" 134.25 14.8062 18.0474 36.3225 10.9732 39.777
"539" 134.5 14.7067 18.037 36.5205 10.8842 39.6944
"540" 134.75 14.594 18.0083 36.6799 10.8142 39.6837
"541" 135 14.4701 17.9634 36.8047 10.7608 39.7375
"542" 135.25 14.3365 17.9042 36.8983 10.7223 39.8496
"543" 135.5 14.1946 17.8323 36.9635 10.697 40.0143
"544" 135.75 14.0457 17.749 37.0032 10.6834 40.2263
"545" 136 13.8907 17.6558 37.0196 10.68 40.4812
"546" 136.25 13.7306 17.5537 37.0149 10.6858 40.7748
"547" 136.5 13.5663 17.4437 36.991 10.6996 41.1032
"548" 136.75 13.3985 17.3268 36.9498 10.7203 41.4631
"549" 137 13.2279 17.2037 36.8927 10.7472 41.8512
"550" 137.25 13.0551 17.0753 36.8214 10.7793 42.2645
"551" 137.5 12.8805 16.9422 36.7372 10.816 42.7005
"552" 137.75 12.7053 16.8059 36.6432 10.8567 43.1452
"553" 138 12.5312 16.6687 36.5448 10.9018 43.5885
"554" 138.25 12.3585 16.5312 36.4434 10.9512 44.0317
"555" 138.5 12.1871 16.3935 36.3389 11.0046 44.4748
"556" 138.75 12.0173 16.2556 36.2316 11.0615 44.9179
"557" 139 11.8489 16.1175 36.1215 11.1218 45.3611
"558" 139.25 11.6908 15.9923 35.9705 11.1498 45.7433
"559" 139.5 11.5757 15.9289 35.7596 11.1538 46.0381
"560" 139.75 11.5072 15.9337 35.5146 11.1458 46.2822
"561" 140 11.4838 16.0051 35.2376 11.1263 46.4767
"562" 140.25 11.5044 16.131 34.9321 11.0964 46.6252
"563" 140.5 11.5688 16.2793 34.608 11.0593 46.7412
"564" 140.75 11.6523 16.4464 34.273 11.0175 46.8356
"565" 141 11.7337 16.6331 33.9348 10.9736 46.9201
"566" 141.25 11.8132 16.8385 33.5943 10.9279 46.9955
"567" 141.5 11.8909 17.0618 33.2516 10.8804 47.0621
"568" 141.75 11.9668 17.3022 32.9072 10.8312 47.1201
"569" 142 12.0409 17.559 32.5613 10.7805 47.1697
"570" 142.25 12.1133 17.8315 32.2142 10.7282 47.2112
"571" 142.5 12.1839 18.1191 31.8662 10.6746 47.2448
"572" 142.75 12.2532 18.4164 31.5182 10.6198 47.272
"573" 143 12.322 18.7172 31.172 10.5646 47.2958
"574" 143.25 12.3903 19.0214 30.8278 10.509 47.3163
"575" 143.5 12.458 19.3291 30.4856 10.4531 47.3336
"576" 143.75 12.5252 19.6402 30.1455 10.3968 47.3477
"577" 144 12.5919 19.9547 29.8073 10.3401 47.3585
"578" 144.25 12.658 20.2726 29.4711 10.283 47.3661
"579" 144.5 12.7235 20.594 29.1371 10.2256 47.3704
"580" 144.75 12.7884 20.9188 28.805 10.1679 47.3715
"581" 145 12.8528 21.2471 28.4751 10.1099 47.3692
"582" 145.25 12.9165 21.5788 28.1472 10.0515 47.3637
"583" 145.5 12.9796 21.914 27.8215 9.9928 47.3549
"584" 145.75 13.042 22.2526 27.4979 9.9338 47.3428
"585" 146 13.1038 22.5946 27.1764 9.8745 47.3275
"586" 146.25 13.1649 22.94 26.857 9.8149 47.3088
"587" 146.5 13.2278 23.2599 26.544 9.7568 47.2945
"588" 146.75 13.298 23.5382 26.2627 9.7102 47.2446
"589" 147 13.3554 23.7893 26.0489 9.6896 47.1413
"590" 147.25 13.397 24.0127 25.9134 9.694 46.9856
"591" 147.5 13.4239 24.2097 25.868 9.7009 46.782
"592" 147.75 13.436 24.3799 25.9201 9.7079 46.5314
"593" 148 13.4325 24.521 26.075 9.715 46.2323
"594" 148.25 13.4126 24.631 26.3383 9.7223 45.8829
"595" 148.5 13.3754 24.7074 26.7161 9.7299 45.4815
"596" 148.75 13.3219 24.7514 27.1831 9.7381 45.0319
"597" 149 13.2632 24.785 27.654 9.75 44.5702
"598" 149.25 13.2028 24.8146 28.1279 9.7665 44.1071
"599" 149.5 13.1408 24.8403 28.6047 9.7875 43.6429
"600" 149.75 13.0771 24.8622 29.0845 9.8131 43.1778
"601" 150 13.0119 24.8803 29.5671 9.8434 42.7118
"602" 150.25 12.9451 24.8945 30.0523 9.8782 42.2452
"603" 150.5 12.8767 24.9047 30.5399 9.9177 41.7779
"604" 150.75 12.8068 24.9111 31.03 9.9618 41.3103
"605" 151 12.7354 24.9136 31.5222 10.0106 40.8423
"606" 151.25 12.6626 24.9121 32.0164 10.0641 40.374
"607" 151.5 12.5883 24.9067 32.5126 10.1224 39.9057
"608" 151.75 12.5126 24.8974 33.0104 10.1854 39.4374
"609" 152 12.4355 24.8841 33.5097 10.2533 38.9692
"610" 152.25 12.357 24.8668 34.0103 10.3261 38.5013
"611" 152.5 12.2772 24.8456 34.5121 10.4037 38.0338
"612" 152.75 12.196 24.8205 35.0148 10.4864 37.5667
"613" 153 12.1136 24.7914 35.5162 10.5741 37.1003
"614" 153.25 12.0389 24.778 35.9109 10.6694 36.6597
"615" 153.5 11.9756 24.795 36.1865 10.7752 36.2708
"616" 153.75 11.8981 24.7875 36.3942 10.894 35.952
"617" 154 11.8088 24.7522 36.5596 11.0276 35.7127
"618" 154.25 11.7103 24.6944 36.6903 11.1754 35.5418
"619" 154.5 11.6044 24.6181 36.7916 11.3325 35.4287
"620" 154.75 11.4933 24.5279 36.8706 11.4854 35.3686
"621" 155 11.3783 24.4265 36.9312 11.6338 35.3557
"622" 155.25 11.2603 24.3156 36.9758 11.7786 35.3839
"623" 155.5 11.1397 24.1966 37.0063 11.9201 35.4478
"624" 155.75 11.0172 24.0705 37.0245 12.0588 35.5426
"625" 156 10.8933 23.9385 37.0317 12.1952 35.6642
"626" 156.25 10.7684 23.8015 37.0293 12.3296 35.8091
"627" 156.5 10.6428 23.6601 37.0184 12.4623 35.9741
"628" 156.75 10.5168 23.515 37 12.5935 36.1563
"629" 157 10.3906 23.367 36.9749 12.7236 36.3532
"630" 157.25 10.2646 23.2164 36.9439 12.8528 36.5628
"631" 157.5 10.1388 23.0637 36.9078 12.9813 36.7829
"632" 157.75 10.0135 22.9094 36.8672 13.1092 37.0117
"633" 158 9.8889 22.7538 36.8226 13.2368 37.2477
"634" 158.25 9.765 22.5972 36.7745 13.3643 37.4895
"635" 158.5 9.6419 22.44 36.7235 13.4917 37.7358
"636" 158.75 9.5198 22.2824 36.6699 13.6192 37.9853
"637" 159 9.3992 22.1255 36.6157 13.7337 38.2396
"638" 159.25 9.2809 21.972 36.5656 13.8213 38.5055
"639" 159.5 9.1655 21.8102 36.5138 13.8866 38.7885
"640" 159.75 9.057 21.6324 36.4362 13.9393 39.1076
"641" 160 8.959 21.4457 36.3399 13.9844 39.4401
"642" 160.25 8.8734 21.2572 36.2374 14.0271 39.7676
"643" 160.5 8.8005 21.0674 36.13 14.0678 40.0912
"644" 160.75 8.7402 20.8765 36.0176 14.1063 40.4109
"645" 161 8.6925 20.6846 35.9004 14.1428 40.7265
"646" 161.25 8.6575 20.4916 35.7783 14.1771 41.0379
"647" 161.5 8.6351 20.2977 35.6514 14.2093 41.3449
"648" 161.75 8.6256 20.1029 35.5198 14.2394 41.6475
"649" 162 8.6289 19.9073 35.3835 14.2674 41.9454
"650" 162.25 8.6454 19.7109 35.2425 14.2931 42.2384
"651" 162.5 8.6752 19.5137 35.0969 14.3166 42.5264
"652" 162.75 8.7185 19.3158 34.9466 14.3379 42.8091
"653" 163 8.7758 19.1172 34.7916 14.3568 43.0863
"654" 163.25 8.8473 18.9179 34.6318 14.3733 43.3577
"655" 163.5 8.9335 18.7179 34.4673 14.3875 43.623
"656" 163.75 9.0349 18.5172 34.298 14.3991 43.8819
"657" 164 9.152 18.3158 34.1237 14.4081 44.1339
"658" 164.25 9.2856 18.1137 33.9444 14.4145 44.3788
"659" 164.5 9.4333 17.9111 33.7605 14.4183 44.6167
"660" 164.75 9.5838 17.7094 33.5748 14.4209 44.8518
"661" 165 9.7361 17.5091 33.3885 14.4227 45.0855
"662" 165.25 9.8902 17.3102 33.2013 14.4236 45.3177
"663" 165.5 10.0461 17.1128 33.0135 14.4238 45.5484
"664" 165.75 10.2037 16.9168 32.8251 14.4231 45.7775
"665" 166 10.3632 16.7222 32.636 14.4216 46.0051
"666" 166.25 10.5245 16.5291 32.4462 14.4193 46.2311
"667" 166.5 10.6876 16.3374 32.2559 14.4162 46.4554
"668" 166.75 10.8472 16.1474 32.0656 14.4126 46.6791
"669" 167 10.9736 15.9646 31.8642 14.4075 46.9155
"670" 167.25 11.0834 15.8143 31.6284 14.3887 47.1345
"671" 167.5 11.1895 15.7049 31.3832 14.3643 47.3353
"672" 167.75 11.2925 15.6326 31.1303 14.3353 47.5201
"673" 168 11.3925 15.594 30.8708 14.3019 47.6903
"674" 168.25 11.4899 15.5864 30.6054 14.2647 47.8468
"675" 168.5 11.5847 15.6073 30.3351 14.2239 47.9906
"676" 168.75 11.6772 15.6547 30.0604 14.1797 48.1224
"677" 169 11.7674 15.7268 29.7819 14.1324 48.2429
"678" 169.25 11.8554 15.8221 29.5 14.0823 48.3525
"679" 169.5 11.9414 15.9393 29.2153 14.0295 48.4518
"680" 169.75 12.0253 16.0773 28.9281 13.9741 48.5412
"681" 170 12.1073 16.2349 28.6387 13.9164 48.621
"682" 170.25 12.1874 16.4112 28.3475 13.8564 48.6917
"683" 170.5 12.2656 16.6054 28.0547 13.7942 48.7534
"684" 170.75 12.3421 16.8167 27.7607 13.7301 48.8064
"685" 171 12.4167 17.0443 27.4656 13.664 48.8511
"686" 171.25 12.4896 17.2876 27.1697 13.5961 48.8876
"687" 171.5 12.5608 17.5459 26.8733 13.5265 48.9163
"688" 171.75 12.6303 17.8185 26.5764 13.4552 48.9372
"689" 172 12.6982 18.1034 26.2795 13.3825 48.951
"690" 172.25 12.7654 18.3927 25.984 13.3092 48.9608
"691" 172.5 12.8321 18.6853 25.6905 13.2355 48.9675
"692" 172.75 12.8983 18.9811 25.3988 13.1614 48.971
"693" 173 12.964 19.2802 25.1092 13.087 48.9715
"694" 173.25 13.0291 19.5827 24.8214 13.0122 48.9689
"695" 173.5 13.0937 19.8884 24.5356 12.937 48.9632
"696" 173.75 13.1577 20.1974 24.2518 12.8616 48.9544
"697" 174 13.2211 20.5097 23.9699 12.7858 48.9424
"698" 174.25 13.284 20.8253 23.69 12.7097 48.9273
"699" 174.5 13.3462 21.1443 23.4121 12.6333 48.9091
"700" 174.75 13.4079 21.4665 23.1361 12.5565 48.8878
"701" 175 13.4689 21.7921 22.8621 12.4796 48.8633
"702" 175.25 13.5293 22.1209 22.5901 12.4023 48.8358
"703" 175.5 13.589 22.4531 22.3201 12.3248 48.8051
"704" 175.75 13.6481 22.7885 22.0521 12.247 48.7712
"705" 176 13.7065 23.1272 21.7861 12.1689 48.7343
"706" 176.25 13.7642 23.4693 21.5221 12.0907 48.6942
"707" 176.5 13.8212 23.8146 21.2601 12.0122 48.651
"708" 176.75 13.8775 24.1632 21.0001 11.9335 48.6047
"709" 177 13.9331 24.5151 20.7422 11.8546 48.5552
"710" 177.25 13.9886 24.8612 20.487 11.7759 48.5047
"711" 177.5 14.0521 25.1551 20.2481 11.7061 48.4427
"712" 177.75 14.1077 25.4137 20.063 11.6686 48.3205
"713" 178 14.1467 25.6428 19.9469 11.6667 48.1451
"714" 178.25 14.1715 25.8464 19.9101 11.6698 47.9253
"715" 178.5 14.183 26.0255 19.9577 11.6741 47.6646
"716" 178.75 14.1808 26.1791 20.0925 11.6798 47.3627
"717" 179 14.1644 26.3056 20.3176 11.687 47.019
"718" 179.25 14.1333 26.4034 20.6365 11.6958 46.6326
"719" 179.5 14.089 26.4749 21.0226 11.7068 46.2088
"720" 179.75 14.0405 26.5381 21.4119 11.7228 45.7761
"721" 180 13.9901 26.5973 21.8045 11.7446 45.3411
"722" 180.25 13.9378 26.6523 22.2003 11.772 44.9041
"723" 180.5 13.8837 26.7034 22.5992 11.8053 44.4653
"724" 180.75 13.8278 26.7503 23.0012 11.8442 44.0248
"725" 181 13.7701 26.7931 23.4061 11.889 43.5827
"726" 181.25 13.7106 26.8317 23.8139 11.9396 43.1391
"727" 181.5 13.6493 26.8661 24.2244 11.9961 42.6942
"728" 181.75 13.5862 26.8962 24.6375 12.0585 42.2479
"729" 182 13.5214 26.9221 25.053 12.1269 41.8005
"730" 182.25 13.4549 26.9436 25.4708 12.2013 41.3521
"731" 182.5 13.3866 26.9608 25.8908 12.2818 40.9027
"732" 182.75 13.3167 26.9736 26.3128 12.3685 40.4525
"733" 183 13.2451 26.982 26.7367 12.4615 40.0016
"734" 183.25 13.1719 26.9859 27.1622 12.5607 39.55
"735" 183.5 13.097 26.9854 27.5894 12.6663 39.0979
"736" 183.75 13.0205 26.9803 28.0178 12.7785 38.6453
"737" 184 12.9424 26.9707 28.4474 12.8972 38.1925
"738" 184.25 12.8628 26.9566 28.8781 13.0226 37.7394
"739" 184.5 12.7816 26.9379 29.3095 13.1548 37.2862
"740" 184.75 12.6989 26.9145 29.7414 13.294 36.833
"741" 185 12.6147 26.8866 30.1738 13.4402 36.3799
"742" 185.25 12.5289 26.854 30.6063 13.5936 35.9269
"743" 185.5 12.4418 26.8167 31.0388 13.7542 35.4742
"744" 185.75 12.3532 26.7747 31.4709 13.9223 35.0218
"745" 186 12.2631 26.7281 31.9025 14.098 34.5699
"746" 186.25 12.1717 26.6767 32.3333 14.2814 34.1185
"747" 186.5 12.0809 26.6251 32.7377 14.4734 33.6727
"748" 186.75 11.9944 26.5824 33.0961 14.6756 33.2422
"749" 187 11.9129 26.5502 33.4081 14.8884 32.8282
"750" 187.25 11.8369 26.5299 33.6743 15.104 32.4321
"751" 187.5 11.7681 26.5238 33.9041 15.3053 32.0576
"752" 187.75 11.709 26.5078 34.1083 15.4963 31.7106
"753" 188 11.662 26.4762 34.2921 15.6792 31.3968
"754" 188.25 11.6276 26.4291 34.4552 15.8538 31.1171
"755" 188.5 11.6065 26.3663 34.5971 16.0196 30.8722
"756" 188.75 11.5991 26.2878 34.7171 16.176 30.6628
"757" 189 11.6058 26.1937 34.8149 16.3227 30.4895
"758" 189.25 11.6272 26.0838 34.8899 16.4592 30.3528
"759" 189.5 11.6637 25.9583 34.9418 16.5852 30.2532
"760" 189.75 11.7158 25.817 34.9701 16.7001 30.1911
"761" 190 11.7839 25.6602 34.9744 16.8037 30.1671
"762" 190.25 11.8686 25.4877 34.9543 16.8953 30.1816
"763" 190.5 11.9703 25.2997 34.9094 16.9746 30.2349
"764" 190.75 12.0895 25.0962 34.8393 17.0412 30.3277
"765" 191 12.2268 24.8773 34.7437 17.0946 30.4602
"766" 191.25 12.3826 24.643 34.6221 17.1343 30.633
"767" 191.5 12.5582 24.3945 34.4761 17.1609 30.8347
"768" 191.75 12.7572 24.1406 34.3185 17.181 31.0296
"769" 192 12.972 23.8847 34.1543 17.1973 31.2183
"770" 192.25 13.1893 23.6297 33.9883 17.2121 31.4054
"771" 192.5 13.4092 23.3761 33.8209 17.2258 31.5913
"772" 192.75 13.6316 23.1238 33.6521 17.2383 31.776
"773" 193 13.8567 22.8729 33.4821 17.2497 31.9595
"774" 193.25 14.0813 22.6237 33.3112 17.26 32.1422
"775" 193.5 14.2885 22.3788 33.1438 17.2718 32.3289
"776" 193.75 14.4774 22.1413 32.9849 17.2726 32.5245
"777" 194 14.6502 21.92 32.8489 17.2539 32.7037
"778" 194.25 14.8093 21.7231 32.7494 17.2191 32.851
"779" 194.5 14.9554 21.5507 32.6875 17.1694 32.968
"780" 194.75 15.0887 21.4017 32.662 17.1056 33.056
"781" 195 15.2096 21.2751 32.6717 17.0285 33.1162
"782" 195.25 15.3184 21.1697 32.7153 16.9392 33.1499
"783" 195.5 15.4155 21.0843 32.7914 16.8383 33.1584
"784" 195.75 15.5013 21.0176 32.8985 16.7268 33.1428
"785" 196 15.5762 20.9685 33.0354 16.6055 33.1046
"786" 196.25 15.6407 20.9359 33.2004 16.4751 33.045
"787" 196.5 15.6952 20.9185 33.3923 16.3364 32.9652
"788" 196.75 15.7402 20.9153 33.6096 16.1901 32.8666
"789" 197 15.7761 20.9251 33.8507 16.037 32.7502
"790" 197.25 15.8034 20.9469 34.1144 15.8777 32.6174
"791" 197.5 15.8224 20.9797 34.3993 15.7129 32.4692
"792" 197.75 15.8337 21.0224 34.704 15.5432 32.3069
"793" 198 15.8377 21.0741 35.0271 15.3691 32.1314
"794" 198.25 15.8348 21.1339 35.3674 15.1913 31.9439
"795" 198.5 15.8254 21.2009 35.7235 15.0102 31.7453
"796" 198.75 15.81 21.2743 36.0944 14.8264 31.5367
"797" 199 15.7862 21.3533 36.4771 14.6404 31.3192
"798" 199.25 15.7222 21.4025 36.7881 14.4644 31.121
"799" 199.5 15.6338 21.4156 37.0353 14.3173 30.9869
"800" 199.75 15.5299 21.4051 37.2406 14.1999 30.9194
"801" 200 15.4134 21.3746 37.4098 14.1094 30.9133
"802" 200.25 15.2858 21.3263 37.5465 14.0431 30.9631
"803" 200.5 15.1487 21.2621 37.6534 13.9984 31.0637
"804" 200.75 15.0034 21.1837 37.7333 13.9732 31.2106
"805" 201 14.8509 21.0925 37.7883 13.9654 31.4002
"806" 201.25 14.6922 20.9897 37.8205 13.9733 31.6286
"807" 201.5 14.5283 20.8766 37.8317 13.9952 31.8929
"808" 201.75 14.3597 20.754 37.8234 14.0297 32.19
"809" 202 14.1873 20.6231 37.7973 14.0755 32.5173
"810" 202.25 14.0117 20.4846 37.7547 14.1312 32.8723
"811" 202.5 13.8336 20.3396 37.6973 14.1959 33.2491
"812" 202.75 13.6549 20.1911 37.6312 14.2697 33.6262
"813" 203 13.477 20.0412 37.56 14.3527 34.0022
"814" 203.25 13.2999 19.8901 37.4843 14.4445 34.3776
"815" 203.5 13.1238 19.7378 37.4042 14.5445 34.7524
"816" 203.75 12.9487 19.5846 37.3198 14.6525 35.1265
"817" 204 12.7747 19.4304 37.2313 14.768 35.4999
"818" 204.25 12.6018 19.2755 37.139 14.8897 35.8729
"819" 204.5 12.431 19.1213 37.0459 14.9966 36.2487
"820" 204.75 12.2656 18.9714 36.9637 15.0665 36.6093
"821" 205 12.1121 18.8155 36.8826 15.1226 36.9391
"822" 205.25 11.9744 18.6572 36.7939 15.1754 37.2631
"823" 205.5 11.8529 18.4972 36.6988 15.2255 37.5823
"824" 205.75 11.7478 18.3355 36.5973 15.2729 37.8967
"825" 206 11.659 18.1722 36.4896 15.3175 38.206
"826" 206.25 11.5869 18.0073 36.3756 15.3592 38.5101
"827" 206.5 11.5315 17.8409 36.2554 15.3981 38.8088
"828" 206.75 11.493 17.6731 36.129 15.4341 39.1018
"829" 207 11.4718 17.5039 35.9965 15.4672 39.3889
"830" 207.25 11.468 17.3333 35.8577 15.4972 39.6699
"831" 207.5 11.482 17.1613 35.7128 15.5242 39.9444
"832" 207.75 11.5142 16.9881 35.5617 15.5481 40.2123
"833" 208 11.565 16.8136 35.4043 15.5688 40.4731
"834" 208.25 11.635 16.6378 35.2407 15.5862 40.7266
"835" 208.5 11.7247 16.4608 35.0706 15.6003 40.9724
"836" 208.75 11.8349 16.2824 34.8941 15.6109 41.2099
"837" 209 11.9662 16.1028 34.7109 15.6179 41.4388
"838" 209.25 12.1197 15.9219 34.5211 15.6212 41.6585
"839" 209.5 12.2963 15.7397 34.3242 15.6206 41.8685
"840" 209.75 12.4865 15.5569 34.1222 15.6169 42.0707
"841" 210 12.6787 15.3752 33.9191 15.6121 42.2708
"842" 210.25 12.873 15.1949 33.7154 15.6064 42.4692
"843" 210.5 13.0693 15.016 33.5111 15.5998 42.6659
"844" 210.75 13.2678 14.8384 33.3062 15.5922 42.8609
"845" 211 13.4684 14.6621 33.1007 15.5838 43.0542
"846" 211.25 13.66 14.4881 32.8967 15.5755 43.2486
"847" 211.5 13.8342 14.3177 32.6979 15.5667 43.4497
"848" 211.75 13.9924 14.1532 32.5101 15.5431 43.6584
"849" 212 14.1377 14.0023 32.3524 15.5052 43.8352
"850" 212.25 14.2721 13.8688 32.2353 15.4556 43.9769
"851" 212.5 14.3962 13.7525 32.1585 15.3952 44.0852
"852" 212.75 14.5102 13.6524 32.1207 15.3247 44.1618
"853" 213 14.6144 13.5678 32.1204 15.2447 44.2079
"854" 213.25 14.7091 13.4978 32.1561 15.1558 44.225
"855" 213.5 14.7946 13.4416 32.2264 15.0586 44.2146
"856" 213.75 14.8713 13.3983 32.3297 14.9539 44.1778
"857" 214 14.9393 13.3672 32.4647 14.842 44.1162
"858" 214.25 14.9991 13.3474 32.6297 14.7237 44.031
"859" 214.5 15.0509 13.3383 32.8235 14.5994 43.9234
"860" 214.75 15.0951 13.3391 33.0446 14.4695 43.7948
