"time" "N1" "N2" "N3" "N4" "N5" "N6"
"21372" 5342.75 49.7297 23.0225 22.3996 6.8701 16.6555 0.2137
"21373" 5343 49.5773 23.0648 22.512 6.8371 16.749 0.2141
"21374" 5343.25 49.4194 23.1042 22.6415 6.8033 16.8339 0.2146
"21375" 5343.5 49.2565 23.1409 22.7879 6.769 16.9089 0.2153
"21376" 5343.75 49.089 23.1752 22.9513 6.7342 16.9724 0.2161
"21377" 5344 48.9175 23.2072 23.1317 6.6989 17.0231 0.2171
"21378" 5344.25 48.7428 23.2373 23.3225 6.6634 17.0598 0.2182
"21379" 5344.5 48.5694 23.2679 23.5003 6.6281 17.0847 0.2195
"21380" 5344.75 48.4009 23.3007 23.6666 6.5935 17.1008 0.221
"21381" 5345 48.2388 23.3339 23.8234 6.5599 17.1098 0.2228
"21382" 5345.25 48.0854 23.3603 23.9729 6.5276 17.1131 0.2248
"21383" 5345.5 47.9431 23.3805 24.1166 6.4968 17.1119 0.2269
"21384" 5345.75 47.8128 23.3948 24.2548 6.4677 17.1065 0.2292
"21385" 5346 47.6947 23.4036 24.3875 6.4404 17.0971 0.2316
"21386" 5346.25 47.5894 23.4066 24.5148 6.4147 17.0835 0.234
"21387" 5346.5 47.4969 23.404 24.6365 6.3909 17.0658 0.2366
"21388" 5346.75 47.4176 23.3957 24.7524 6.3688 17.0441 0.2392
"21389" 5347 47.3515 23.3817 24.8624 6.3485 17.0182 0.242
"21390" 5347.25 47.2991 23.3618 24.9664 6.3301 16.9882 0.2448
"21391" 5347.5 47.2602 23.3361 25.0643 6.3135 16.9541 0.2478
"21392" 5347.75 47.2354 23.3046 25.1558 6.2988 16.9158 0.2509
"21393" 5348 47.2247 23.2673 25.2409 6.2859 16.8733 0.2539
"21394" 5348.25 47.2283 23.2241 25.3195 6.275 16.8268 0.2568
"21395" 5348.5 47.2464 23.175 25.3916 6.2659 16.7761 0.2598
"21396" 5348.75 47.2791 23.1201 25.4569 6.2588 16.7213 0.2626
"21397" 5349 47.3266 23.0593 25.5155 6.2535 16.6624 0.2655
"21398" 5349.25 47.3889 22.9927 25.5671 6.2502 16.5994 0.2683
"21399" 5349.5 47.4664 22.9202 25.6116 6.2488 16.5323 0.271
"21400" 5349.75 47.559 22.8419 25.6491 6.2494 16.4612 0.2737
"21401" 5350 47.6669 22.7577 25.6792 6.2519 16.386 0.2763
"21402" 5350.25 47.7904 22.6676 25.7021 6.2564 16.3067 0.2789
"21403" 5350.5 47.9295 22.5716 25.7174 6.2629 16.2234 0.2813
"21404" 5350.75 48.0843 22.4698 25.7252 6.2713 16.136 0.2838
"21405" 5351 48.2551 22.3621 25.7253 6.2817 16.0447 0.2861
"21406" 5351.25 48.4419 22.2485 25.7175 6.2941 15.9493 0.2884
"21407" 5351.5 48.645 22.1291 25.702 6.3084 15.8499 0.2904
"21408" 5351.75 48.8643 22.004 25.6786 6.3248 15.7467 0.292
"21409" 5352 49.1 21.8733 25.6473 6.3432 15.6396 0.2931
"21410" 5352.25 49.352 21.7369 25.6082 6.3635 15.5288 0.2937
"21411" 5352.5 49.6204 21.5952 25.5612 6.3858 15.4143 0.2937
"21412" 5352.75 49.9 21.4481 25.5066 6.4101 15.2963 0.2932
"21413" 5353 50.1233 21.3031 25.4534 6.4372 15.18 0.2921
"21414" 5353.25 50.2983 21.1691 25.4099 6.4681 15.0715 0.2908
"21415" 5353.5 50.4452 21.0492 25.358 6.5026 14.9732 0.2893
"21416" 5353.75 50.5739 20.9452 25.2974 6.5404 14.8862 0.2877
"21417" 5354 50.6872 20.8567 25.2296 6.581 14.8103 0.2861
"21418" 5354.25 50.7864 20.783 25.1551 6.6237 14.7449 0.2844
"21419" 5354.5 50.8727 20.7235 25.0748 6.668 14.6895 0.2826
"21420" 5354.75 50.947 20.6774 24.9891 6.7134 14.6437 0.2808
"21421" 5355 51.0104 20.6442 24.8985 6.7592 14.6069 0.279
"21422" 5355.25 51.0635 20.6232 24.8035 6.8051 14.5787 0.2771
"21423" 5355.5 51.1074 20.6139 24.7047 6.8506 14.5587 0.2751
"21424" 5355.75 51.1427 20.6157 24.6023 6.8954 14.5465 0.2732
"21425" 5356 51.1703 20.628 24.4968 6.9388 14.5417 0.2712
"21426" 5356.25 51.1908 20.6504 24.3885 6.9808 14.5439 0.2692
"21427" 5356.5 51.2048 20.6825 24.2779 7.0208 14.5529 0.2672
"21428" 5356.75 51.2131 20.7238 24.1651 7.0585 14.5681 0.2652
"21429" 5357 51.2162 20.7738 24.0506 7.0937 14.5895 0.2631
"21430" 5357.25 51.2148 20.8321 23.9346 7.126 14.6165 0.2611
"21431" 5357.5 51.2092 20.8984 23.8174 7.1553 14.6491 0.2591
"21432" 5357.75 51.2001 20.9723 23.6991 7.1813 14.6867 0.257
"21433" 5358 51.1879 21.0533 23.5801 7.2038 14.7293 0.255
"21434" 5358.25 51.173 21.1412 23.4606 7.2225 14.7766 0.2529
"21435" 5358.5 51.1559 21.2356 23.3407 7.2375 14.8282 0.2509
"21436" 5358.75 51.1369 21.3361 23.2206 7.2484 14.884 0.2489
"21437" 5359 51.1165 21.4425 23.1005 7.2553 14.9437 0.2469
"21438" 5359.25 51.0949 21.5544 22.9805 7.258 15.0071 0.2449
"21439" 5359.5 51.0725 21.6715 22.8608 7.2565 15.0739 0.2429
"21440" 5359.75 51.0495 21.7935 22.7414 7.2507 15.144 0.2409
"21441" 5360 51.0272 21.9144 22.623 7.2407 15.2173 0.2389
"21442" 5360.25 51.01 22.0244 22.5073 7.2271 15.2946 0.237
"21443" 5360.5 50.986 22.1253 22.3966 7.2106 15.3769 0.2352
"21444" 5360.75 50.9469 22.2198 22.297 7.1921 15.4659 0.2334
"21445" 5361 50.8955 22.3089 22.2117 7.1719 15.5617 0.2318
"21446" 5361.25 50.833 22.3933 22.1418 7.1503 15.6637 0.2304
"21447" 5361.5 50.7602 22.4732 22.088 7.1272 15.7709 0.2292
"21448" 5361.75 50.6775 22.5486 22.0504 7.1029 15.8823 0.2281
"21449" 5362 50.5853 22.6197 22.0292 7.0774 15.9968 0.2272
"21450" 5362.25 50.4839 22.6867 22.0246 7.0506 16.113 0.2264
"21451" 5362.5 50.374 22.7497 22.0367 7.0228 16.2299 0.2258
"21452" 5362.75 50.2557 22.8087 22.0655 6.9939 16.3462 0.2254
"21453" 5363 50.1296 22.8641 22.1111 6.964 16.4606 0.2251
"21454" 5363.25 49.9962 22.9158 22.1736 6.9332 16.5718 0.2251
"21455" 5363.5 49.8558 22.9641 22.253 6.9015 16.6784 0.2251
"21456" 5363.75 49.709 23.0092 22.3493 6.8691 16.7792 0.2254
"21457" 5364 49.5562 23.0512 22.4626 6.836 16.8727 0.2258
"21458" 5364.25 49.3979 23.0904 22.5928 6.8022 16.9575 0.2263
"21459" 5364.5 49.2347 23.1269 22.7401 6.7678 17.0321 0.227
"21460" 5364.75 49.0669 23.161 22.9043 6.733 17.0952 0.2279
"21461" 5365 48.8952 23.1929 23.0855 6.6977 17.1452 0.229
"21462" 5365.25 48.7205 23.223 23.2754 6.6621 17.1812 0.2301
"21463" 5365.5 48.5475 23.2537 23.4519 6.6268 17.2056 0.2315
"21464" 5365.75 48.3796 23.2867 23.6171 6.5924 17.2214 0.2331
"21465" 5366 48.2181 23.3196 23.773 6.5589 17.2299 0.235
"21466" 5366.25 48.0656 23.3456 23.9217 6.5266 17.233 0.2371
"21467" 5366.5 47.9243 23.3654 24.0647 6.496 17.2316 0.2394
"21468" 5366.75 47.7949 23.3793 24.2022 6.467 17.2259 0.2418
"21469" 5367 47.6779 23.3877 24.3342 6.4398 17.216 0.2443
"21470" 5367.25 47.5737 23.3904 24.4608 6.4143 17.2021 0.2469
"21471" 5367.5 47.4823 23.3873 24.5817 6.3906 17.184 0.2496
"21472" 5367.75 47.4041 23.3786 24.6969 6.3687 17.1618 0.2524
"21473" 5368 47.3393 23.3641 24.8062 6.3486 17.1355 0.2554
"21474" 5368.25 47.288 23.3439 24.9095 6.3303 17.1049 0.2584
"21475" 5368.5 47.2505 23.3177 25.0065 6.3139 17.0702 0.2615
"21476" 5368.75 47.227 23.2857 25.0973 6.2993 17.0313 0.2647
"21477" 5369 47.2177 23.2479 25.1816 6.2866 16.9882 0.2679
"21478" 5369.25 47.2228 23.2042 25.2595 6.2759 16.9409 0.271
"21479" 5369.5 47.2423 23.1546 25.3307 6.267 16.8895 0.2741
"21480" 5369.75 47.2766 23.0992 25.3952 6.26 16.8339 0.2771
"21481" 5370 47.3256 23.0379 25.4529 6.255 16.7742 0.2801
"21482" 5370.25 47.3896 22.9707 25.5037 6.2519 16.7103 0.283
"21483" 5370.5 47.4688 22.8977 25.5474 6.2508 16.6423 0.2859
"21484" 5370.75 47.5631 22.8187 25.584 6.2515 16.5702 0.2887
"21485" 5371 47.6729 22.7339 25.6133 6.2543 16.494 0.2915
"21486" 5371.25 47.7982 22.6433 25.6352 6.259 16.4138 0.2942
"21487" 5371.5 47.9392 22.5467 25.6496 6.2657 16.3294 0.2968
"21488" 5371.75 48.096 22.4442 25.6565 6.2744 16.2409 0.2993
"21489" 5372 48.2688 22.3359 25.6557 6.285 16.1484 0.3018
"21490" 5372.25 48.4577 22.2217 25.647 6.2977 16.0519 0.3042
"21491" 5372.5 48.6629 22.1016 25.6305 6.3123 15.9513 0.3063
"21492" 5372.75 48.8844 21.9759 25.6062 6.329 15.8468 0.3079
"21493" 5373 49.1223 21.8445 25.574 6.3476 15.7385 0.309
"21494" 5373.25 49.3765 21.7075 25.534 6.3683 15.6265 0.3095
"21495" 5373.5 49.6472 21.5652 25.4862 6.3909 15.5107 0.3095
"21496" 5373.75 49.9237 21.4178 25.4311 6.4155 15.3916 0.3088
"21497" 5374 50.1392 21.2741 25.3794 6.4431 15.2753 0.3076
"21498" 5374.25 50.3097 21.1418 25.336 6.4744 15.1673 0.3062
"21499" 5374.5 50.4541 21.0241 25.2831 6.5094 15.0698 0.3046
"21500" 5374.75 50.5808 20.9223 25.2217 6.5477 14.9837 0.303
"21501" 5375 50.6922 20.8359 25.1531 6.5886 14.9087 0.3012
"21502" 5375.25 50.7898 20.7642 25.0781 6.6316 14.8442 0.2994
"21503" 5375.5 50.8745 20.7066 24.9973 6.6761 14.7897 0.2976
"21504" 5375.75 50.9473 20.6623 24.9111 6.7215 14.7448 0.2957
"21505" 5376 51.0092 20.6308 24.8202 6.7674 14.709 0.2937
"21506" 5376.25 51.0611 20.6115 24.7249 6.8133 14.6817 0.2917
"21507" 5376.5 51.1038 20.6037 24.6258 6.8587 14.6627 0.2897
"21508" 5376.75 51.138 20.6069 24.5232 6.9033 14.6514 0.2876
"21509" 5377 51.1645 20.6206 24.4176 6.9465 14.6476 0.2855
"21510" 5377.25 51.184 20.6444 24.3093 6.9882 14.6507 0.2834
"21511" 5377.5 51.1972 20.6777 24.1986 7.0279 14.6606 0.2813
"21512" 5377.75 51.2047 20.7201 24.0859 7.0653 14.6768 0.2792
"21513" 5378 51.2071 20.7712 23.9714 7.1001 14.6991 0.277
"21514" 5378.25 51.205 20.8306 23.8555 7.132 14.7271 0.2749
"21515" 5378.5 51.1988 20.8979 23.7384 7.1608 14.7605 0.2727
"21516" 5378.75 51.1892 20.9726 23.6203 7.1863 14.7991 0.2706
"21517" 5379 51.1765 21.0545 23.5015 7.2082 14.8426 0.2684
"21518" 5379.25 51.1612 21.1431 23.3822 7.2264 14.8908 0.2663
"21519" 5379.5 51.1438 21.2382 23.2625 7.2408 14.9433 0.2641
"21520" 5379.75 51.1245 21.3394 23.1427 7.2511 15 0.262
"21521" 5380 51.1038 21.4464 23.0229 7.2574 15.0605 0.2599
"21522" 5380.25 51.0821 21.5589 22.9032 7.2594 15.1248 0.2578
"21523" 5380.5 51.0595 21.6765 22.7839 7.2573 15.1924 0.2557
"21524" 5380.75 51.0364 21.7989 22.6649 7.2508 15.2634 0.2536
"21525" 5381 51.0145 21.9182 22.547 7.2403 15.3376 0.2515
"21526" 5381.25 50.9977 22.0266 22.432 7.2262 15.416 0.2495
"21527" 5381.5 50.971 22.1263 22.3229 7.2093 15.4996 0.2476
"21528" 5381.75 50.9298 22.2198 22.2254 7.1905 15.59 0.2458
"21529" 5382 50.8766 22.3081 22.1425 7.1701 15.6873 0.2441
"21530" 5382.25 50.8124 22.3917 22.0751 7.1482 15.7907 0.2426
"21531" 5382.5 50.7379 22.4707 22.0238 7.125 15.8992 0.2413
"21532" 5382.75 50.6535 22.5454 21.9887 7.1004 16.0117 0.2402
"21533" 5383 50.5598 22.6157 21.9701 7.0746 16.1271 0.2393
"21534" 5383.25 50.457 22.682 21.968 7.0477 16.2442 0.2385
"21535" 5383.5 50.3456 22.7442 21.9826 7.0197 16.3616 0.2379
"21536" 5383.75 50.226 22.8026 22.0139 6.9906 16.4783 0.2375
"21537" 5384 50.0986 22.8573 22.062 6.9605 16.5929 0.2373
"21538" 5384.25 49.964 22.9084 22.1269 6.9296 16.7041 0.2372
"21539" 5384.5 49.8225 22.9561 22.2087 6.8978 16.8105 0.2373
"21540" 5384.75 49.6746 23.0006 22.3074 6.8652 16.9107 0.2376
"21541" 5385 49.5209 23.0421 22.4231 6.8319 17.0034 0.238
"21542" 5385.25 49.3618 23.0808 22.5558 6.7981 17.0872 0.2386
"21543" 5385.5 49.1978 23.1169 22.7054 6.7636 17.1605 0.2394
"21544" 5385.75 49.0295 23.1506 22.8719 6.7287 17.2219 0.2404
"21545" 5386 48.8572 23.1821 23.0554 6.6933 17.2701 0.2415
"21546" 5386.25 48.6825 23.2121 23.2434 6.6577 17.3041 0.2428
"21547" 5386.5 48.5104 23.2431 23.4175 6.6226 17.3272 0.2443
"21548" 5386.75 48.3435 23.2766 23.5807 6.5883 17.3419 0.246
"21549" 5387 48.1834 23.3085 23.7349 6.5549 17.3496 0.248
"21550" 5387.25 48.0328 23.3335 23.8824 6.523 17.3519 0.2503
"21551" 5387.5 47.8935 23.3524 24.0241 6.4926 17.3498 0.2528
"21552" 5387.75 47.7662 23.3654 24.1604 6.4639 17.3434 0.2553
"21553" 5388 47.6515 23.3729 24.2912 6.437 17.3328 0.258
"21554" 5388.25 47.5495 23.3746 24.4166 6.4118 17.3181 0.2607
"21555" 5388.5 47.4605 23.3707 24.5363 6.3884 17.2992 0.2636
"21556" 5388.75 47.3846 23.361 24.6502 6.3668 17.2762 0.2665
"21557" 5389 47.3222 23.3456 24.7582 6.347 17.2489 0.2696
"21558" 5389.25 47.2735 23.3243 24.8601 6.3291 17.2175 0.2729
"21559" 5389.5 47.2386 23.2972 24.9558 6.313 17.1818 0.2762
"21560" 5389.75 47.2177 23.2642 25.0452 6.2988 17.1418 0.2796
"21561" 5390 47.2112 23.2253 25.1281 6.2865 17.0976 0.2829
"21562" 5390.25 47.219 23.1805 25.2046 6.2761 17.0493 0.2862
"21563" 5390.5 47.2415 23.1299 25.2744 6.2676 16.9967 0.2894
"21564" 5390.75 47.2786 23.0734 25.3374 6.261 16.9399 0.2926
"21565" 5391 47.3307 23.011 25.3936 6.2563 16.879 0.2957
"21566" 5391.25 47.3978 22.9427 25.4429 6.2536 16.8139 0.2988
"21567" 5391.5 47.48 22.8685 25.4851 6.2529 16.7446 0.3018
"21568" 5391.75 47.5776 22.7885 25.5201 6.2541 16.6712 0.3048
"21569" 5392 47.6907 22.7025 25.5478 6.2573 16.5936 0.3077
"21570" 5392.25 47.8193 22.6107 25.5681 6.2624 16.5119 0.3105
"21571" 5392.5 47.9637 22.5129 25.581 6.2695 16.4261 0.3132
"21572" 5392.75 48.1241 22.4093 25.5862 6.2787 16.3361 0.3159
"21573" 5393 48.3004 22.2997 25.5837 6.2898 16.2421 0.3185
"21574" 5393.25 48.4929 22.1843 25.5734 6.3029 16.144 0.3209
"21575" 5393.5 48.7018 22.063 25.5552 6.318 16.0418 0.323
"21576" 5393.75 48.927 21.9361 25.5292 6.3351 15.9357 0.3246
"21577" 5394 49.1687 21.8035 25.4954 6.3542 15.8258 0.3256
"21578" 5394.25 49.4268 21.6655 25.4538 6.3753 15.7121 0.3261
"21579" 5394.5 49.7012 21.522 25.4044 6.3984 15.5947 0.3259
"21580" 5394.75 49.9685 21.3743 25.3487 6.4236 15.4746 0.325
"21581" 5395 50.172 21.2331 25.2999 6.4521 15.3592 0.3237
"21582" 5395.25 50.3353 21.1039 25.2555 6.4843 15.2526 0.3222
"21583" 5395.5 50.4754 20.9899 25.2007 6.5201 15.1571 0.3205
"21584" 5395.75 50.5986 20.8918 25.1379 6.559 15.073 0.3187
"21585" 5396 50.7069 20.8089 25.068 6.6005 14.9999 0.3169
"21586" 5396.25 50.8015 20.7405 24.9919 6.6439 14.9374 0.315
"21587" 5396.5 50.8834 20.6861 24.91 6.6886 14.8848 0.313
"21588" 5396.75 50.9537 20.6449 24.823 6.7342 14.8417 0.311
"21589" 5397 51.0132 20.6163 24.7312 6.7801 14.8077 0.3089
"21590" 5397.25 51.0629 20.5997 24.6353 6.8259 14.7822 0.3068
"21591" 5397.5 51.1035 20.5945 24.5356 6.8712 14.7649 0.3046
"21592" 5397.75 51.1358 20.6002 24.4326 6.9155 14.7553 0.3024
"21593" 5398 51.1606 20.6162 24.3266 6.9584 14.7531 0.3002
"21594" 5398.25 51.1786 20.6422 24.2179 6.9996 14.7578 0.298
"21595" 5398.5 51.1903 20.6777 24.107 7.0388 14.7693 0.2958
"21596" 5398.75 51.1966 20.7221 23.9942 7.0756 14.787 0.2935
"21597" 5399 51.1978 20.7751 23.8796 7.1097 14.8108 0.2913
"21598" 5399.25 51.1946 20.8362 23.7637 7.1409 14.8403 0.289
"21599" 5399.5 51.1875 20.9052 23.6466 7.1689 14.8751 0.2867
"21600" 5399.75 51.1771 20.9815 23.5287 7.1935 14.9151 0.2845
"21601" 5400 51.1637 21.0649 23.41 7.2145 14.96 0.2822
"21602" 5400.25 51.1478 21.155 23.2909 7.2318 15.0095 0.2799
"21603" 5400.5 51.1298 21.2514 23.1715 7.2452 15.0633 0.2777
"21604" 5400.75 51.1101 21.3538 23.0519 7.2545 15.1213 0.2754
"21605" 5401 51.0891 21.4619 22.9324 7.2598 15.183 0.2732
"21606" 5401.25 51.067 21.5754 22.8131 7.2608 15.2485 0.271
"21607" 5401.5 51.0442 21.6939 22.6941 7.2576 15.3173 0.2688
"21608" 5401.75 51.021 21.8169 22.5756 7.2501 15.3894 0.2666
"21609" 5402 51.0001 21.9332 22.4585 7.2386 15.4649 0.2644
"21610" 5402.25 50.9828 22.0392 22.3447 7.2237 15.5448 0.2623
"21611" 5402.5 50.9521 22.1371 22.2382 7.2063 15.6305 0.2603
"21612" 5402.75 50.9076 22.2291 22.1444 7.1871 15.7231 0.2584
"21613" 5403 50.8514 22.3161 22.0654 7.1662 15.8224 0.2568
"21614" 5403.25 50.7845 22.3984 22.0021 7.144 15.9277 0.2552
"21615" 5403.5 50.7074 22.4762 21.9548 7.1204 16.0379 0.2539
"21616" 5403.75 50.6205 22.5497 21.9239 7.0955 16.1518 0.2528
"21617" 5404 50.5243 22.6189 21.9094 7.0694 16.2683 0.2518
"21618" 5404.25 50.4192 22.684 21.9114 7.0422 16.3862 0.2511
"21619" 5404.5 50.3056 22.7452 21.9301 7.0138 16.5042 0.2505
"21620" 5404.75 50.1838 22.8025 21.9655 6.9845 16.6211 0.2501
"21621" 5405 50.0545 22.8561 22.0177 6.9542 16.7355 0.2499
"21622" 5405.25 49.918 22.9063 22.0868 6.923 16.8462 0.2499
"21623" 5405.5 49.7748 22.9531 22.1727 6.8909 16.9517 0.25
"21624" 5405.75 49.6253 22.9968 22.2755 6.8582 17.0507 0.2504
"21625" 5406 49.4702 23.0375 22.3952 6.8247 17.1418 0.2509
"21626" 5406.25 49.3098 23.0754 22.5319 6.7907 17.2234 0.2516
"21627" 5406.5 49.1446 23.1109 22.6855 6.7561 17.2942 0.2525
"21628" 5406.75 48.9753 23.144 22.856 6.721 17.3527 0.2535
"21629" 5407 48.8022 23.175 23.0432 6.6856 17.3975 0.2547
"21630" 5407.25 48.6278 23.205 23.2269 6.65 17.4286 0.2561
"21631" 5407.5 48.457 23.2366 23.3976 6.6151 17.4495 0.2578
"21632" 5407.75 48.2919 23.2706 23.5579 6.581 17.4623 0.2597
"21633" 5408 48.134 23.3008 23.7098 6.548 17.4686 0.2619
"21634" 5408.25 47.9864 23.3241 23.8554 6.5165 17.4697 0.2644
"21635" 5408.5 47.8503 23.3415 23.9954 6.4865 17.4665 0.267
"21636" 5408.75 47.7264 23.3531 24.1299 6.4583 17.459 0.2697
"21637" 5409 47.6151 23.3591 24.259 6.4318 17.4473 0.2725
"21638" 5409.25 47.5166 23.3594 24.3826 6.4071 17.4314 0.2754
"21639" 5409.5 47.4312 23.354 24.5005 6.3842 17.4113 0.2785
"21640" 5409.75 47.3591 23.3428 24.6125 6.3631 17.387 0.2816
"21641" 5410 47.3005 23.3258 24.7186 6.3438 17.3584 0.2849
"21642" 5410.25 47.2557 23.303 24.8186 6.3264 17.3255 0.2884
"21643" 5410.5 47.2247 23.2742 24.9123 6.3108 17.2884 0.2919
"21644" 5410.75 47.208 23.2396 24.9997 6.2972 17.247 0.2954
"21645" 5411 47.2056 23.1991 25.0806 6.2854 17.2013 0.2989
"21646" 5411.25 47.2177 23.1527 25.1549 6.2755 17.1514 0.3024
"21647" 5411.5 47.2445 23.1004 25.2226 6.2676 17.0973 0.3058
"21648" 5411.75 47.2861 23.0422 25.2835 6.2616 17.0389 0.3091
"21649" 5412 47.3426 22.9781 25.3375 6.2576 16.9763 0.3124
"21650" 5412.25 47.4143 22.9082 25.3846 6.2555 16.9095 0.3156
"21651" 5412.5 47.5012 22.8323 25.4245 6.2553 16.8385 0.3188
"21652" 5412.75 47.6036 22.7505 25.4573 6.2571 16.7633 0.3219
"21653" 5413 47.7215 22.6628 25.4827 6.2609 16.6839 0.3249
"21654" 5413.25 47.8551 22.5691 25.5006 6.2667 16.6004 0.3278
"21655" 5413.5 48.0045 22.4696 25.5111 6.2744 16.5127 0.3307
"21656" 5413.75 48.17 22.3642 25.5139 6.2842 16.4208 0.3335
"21657" 5414 48.3515 22.2528 25.5089 6.296 16.3248 0.3362
"21658" 5414.25 48.5493 22.1356 25.4961 6.3097 16.2247 0.3386
"21659" 5414.5 48.7635 22.0125 25.4755 6.3255 16.1205 0.3407
"21660" 5414.75 48.9942 21.8838 25.4471 6.3433 16.0125 0.3422
"21661" 5415 49.2413 21.7496 25.4109 6.3631 15.9005 0.3431
"21662" 5415.25 49.5049 21.6098 25.3669 6.3849 15.7848 0.3433
"21663" 5415.5 49.7848 21.4646 25.3152 6.4086 15.6655 0.3429
"21664" 5415.75 50.0313 21.3178 25.2602 6.4347 15.545 0.3418
"21665" 5416 50.2197 21.1803 25.2155 6.4645 15.4316 0.3403
"21666" 5416.25 50.3742 21.0559 25.1679 6.4979 15.3277 0.3386
"21667" 5416.5 50.5086 20.9472 25.1105 6.5349 15.2353 0.3368
"21668" 5416.75 50.6268 20.8542 25.0455 6.5747 15.1543 0.3349
"21669" 5417 50.7306 20.7762 24.9738 6.6169 15.0843 0.333
"21670" 5417.25 50.8209 20.7126 24.896 6.6608 15.0247 0.3309
"21671" 5417.5 50.899 20.6626 24.8126 6.7059 14.975 0.3288
"21672" 5417.75 50.9656 20.6256 24.7242 6.7517 14.9346 0.3267
"21673" 5418 51.0218 20.601 24.6313 6.7976 14.9033 0.3245
"21674" 5418.25 51.0684 20.5883 24.5344 6.8433 14.8804 0.3223
"21675" 5418.5 51.1062 20.5867 24.4338 6.8883 14.8655 0.32
"21676" 5418.75 51.1359 20.5959 24.33 6.9321 14.8583 0.3177
"21677" 5419 51.1583 20.6153 24.2234 6.9745 14.8585 0.3154
"21678" 5419.25 51.1741 20.6444 24.1143 7.0151 14.8655 0.313
"21679" 5419.5 51.1839 20.6829 24.003 7.0535 14.8792 0.3106
"21680" 5419.75 51.1883 20.7301 23.8898 7.0894 14.8991 0.3083
"21681" 5420 51.188 20.7858 23.7751 7.1225 14.9249 0.3059
"21682" 5420.25 51.1834 20.8495 23.659 7.1526 14.9564 0.3035
"21683" 5420.5 51.1751 20.9208 23.5419 7.1795 14.9932 0.3011
"21684" 5420.75 51.1635 20.9995 23.424 7.2029 15.0351 0.2987
"21685" 5421 51.1492 21.085 23.3055 7.2227 15.0818 0.2963
"21686" 5421.25 51.1324 21.177 23.1865 7.2386 15.1331 0.294
"21687" 5421.5 51.1138 21.2753 23.0673 7.2506 15.1886 0.2916
"21688" 5421.75 51.0936 21.3795 22.9481 7.2586 15.2482 0.2892
"21689" 5422 51.0721 21.4893 22.8289 7.2624 15.3116 0.2869
"21690" 5422.25 51.0497 21.6043 22.71 7.2619 15.3785 0.2846
"21691" 5422.5 51.0267 21.7243 22.5915 7.2572 15.4488 0.2822
"21692" 5422.75 51.0035 21.8465 22.4735 7.2483 15.5224 0.2799
"21693" 5423 50.9843 21.9589 22.3577 7.2355 15.5997 0.2777
"21694" 5423.25 50.964 22.0617 22.2459 7.2197 15.6818 0.2755
"21695" 5423.5 50.9281 22.1573 22.1436 7.2016 15.7702 0.2734
"21696" 5423.75 50.8793 22.2474 22.0549 7.1817 15.8657 0.2715
"21697" 5424 50.8191 22.3326 21.9814 7.1604 15.9677 0.2698
"21698" 5424.25 50.7485 22.4132 21.9237 7.1376 16.0753 0.2683
"21699" 5424.5 50.6678 22.4894 21.8822 7.1135 16.1875 0.2669
"21700" 5424.75 50.5774 22.5612 21.857 7.0882 16.303 0.2658
"21701" 5425 50.4779 22.6289 21.8483 7.0616 16.4208 0.2649
"21702" 5425.25 50.3696 22.6925 21.8561 7.034 16.5394 0.2642
"21703" 5425.5 50.253 22.7522 21.8806 7.0052 16.6578 0.2636
"21704" 5425.75 50.1284 22.8081 21.9218 6.9755 16.7746 0.2633
"21705" 5426 49.9964 22.8604 21.9798 6.9449 16.8884 0.2631
"21706" 5426.25 49.8574 22.9092 22.0546 6.9134 16.998 0.2632
"21707" 5426.5 49.7119 22.9549 22.1462 6.881 17.1019 0.2634
"21708" 5426.75 49.5603 22.9974 22.2548 6.848 17.1988 0.2638
"21709" 5427 49.4032 23.0371 22.3802 6.8143 17.2871 0.2644
"21710" 5427.25 49.2411 23.0741 22.5226 6.7801 17.3655 0.2652
"21711" 5427.5 49.0744 23.1086 22.6818 6.7453 17.4325 0.2662
"21712" 5427.75 48.9038 23.1409 22.858 6.7101 17.4866 0.2674
"21713" 5428 48.7298 23.1713 23.0471 6.6745 17.5264 0.2687
"21714" 5428.25 48.5563 23.2017 23.2253 6.6391 17.5537 0.2703
"21715" 5428.5 48.3875 23.2342 23.3916 6.6045 17.5717 0.2721
"21716" 5428.75 48.2249 23.2681 23.5483 6.5708 17.5821 0.2743
"21717" 5429 48.0705 23.2957 23.6974 6.5383 17.5865 0.2767
"21718" 5429.25 47.9271 23.3169 23.8406 6.5073 17.5861 0.2793
"21719" 5429.5 47.7954 23.3322 23.9783 6.478 17.5813 0.2821
"21720" 5429.75 47.6762 23.3418 24.1105 6.4504 17.5722 0.285
"21721" 5430 47.5697 23.3458 24.2373 6.4245 17.5589 0.288
"21722" 5430.25 47.4761 23.344 24.3585 6.4005 17.5414 0.2912
"21723" 5430.5 47.3957 23.3365 24.474 6.3782 17.5196 0.2944
"21724" 5430.75 47.3286 23.3232 24.5836 6.3578 17.4936 0.2978
"21725" 5431 47.2752 23.3041 24.6871 6.3392 17.4632 0.3013
"21726" 5431.25 47.2357 23.279 24.7845 6.3225 17.4286 0.305
"21727" 5431.5 47.2102 23.2481 24.8756 6.3077 17.3896 0.3087
"21728" 5431.75 47.199 23.2112 24.9603 6.2947 17.3462 0.3124
"21729" 5432 47.2023 23.1685 25.0384 6.2837 17.2986 0.3161
