"time" "N1" "N2" "N3" "N4" "N5" "R1" "R2" "R3" "R4" "R5"
"48" 1011.5 14.9844 24.783 22.5374 9.6586 47.7763 0.5343 0.2276 0.115 0.1081 0.1226
"49" 1011.75 15.0331 25.0193 22.4506 9.5793 47.6244 0.5382 0.2319 0.1243 0.1081 0.1201
"50" 1012 15.0678 25.2326 22.4465 9.501 47.4314 0.5394 0.2356 0.1348 0.1083 0.1178
"51" 1012.25 15.088 25.4218 22.5291 9.424 47.1967 0.5377 0.2387 0.1462 0.1085 0.1154
"52" 1012.5 15.0931 25.5852 22.7026 9.3483 46.9193 0.533 0.2412 0.1584 0.1087 0.1129
"53" 1012.75 15.0824 25.7209 22.9712 9.2741 46.598 0.525 0.2428 0.1714 0.109 0.1103
"54" 1013 15.055 25.827 23.3398 9.2016 46.2314 0.5136 0.2436 0.1853 0.1093 0.1076
"55" 1013.25 15.0121 25.9051 23.7837 9.1313 45.8238 0.5002 0.2449 0.2014 0.1101 0.106
"56" 1013.5 14.9644 25.9742 24.2319 9.0657 45.4057 0.4874 0.2473 0.2196 0.1115 0.1056
"57" 1013.75 14.9146 26.0393 24.6839 9.0055 44.985 0.4744 0.2496 0.2378 0.1129 0.1052
"58" 1014 14.8627 26.1004 25.1398 8.9506 44.5622 0.4612 0.2517 0.2559 0.1143 0.1049
"59" 1014.25 14.8089 26.1576 25.5996 8.9008 44.1373 0.4478 0.2536 0.2741 0.1157 0.1046
"60" 1014.5 14.753 26.2108 26.0632 8.8561 43.7106 0.4343 0.2554 0.2922 0.1171 0.1042
"61" 1014.75 14.6953 26.2601 26.5305 8.8165 43.2822 0.4207 0.2569 0.3103 0.1186 0.1039
"62" 1015 14.6357 26.3054 27.0015 8.7817 42.8522 0.4069 0.2583 0.3283 0.12 0.1035
"63" 1015.25 14.5742 26.3467 27.4759 8.7518 42.4208 0.3929 0.2594 0.3462 0.1214 0.1032
"64" 1015.5 14.5108 26.384 27.9538 8.7267 41.9881 0.3788 0.2604 0.3641 0.1229 0.1029
"65" 1015.75 14.4457 26.4173 28.435 8.7064 41.5543 0.3646 0.2612 0.382 0.1243 0.1025
"66" 1016 14.3788 26.4466 28.9195 8.6907 41.1195 0.3502 0.2618 0.3997 0.1258 0.1022
"67" 1016.25 14.3101 26.4719 29.407 8.6797 40.6839 0.3357 0.2622 0.4174 0.1272 0.1019
"68" 1016.5 14.2397 26.4931 29.8976 8.6732 40.2475 0.321 0.2624 0.435 0.1287 0.1016
"69" 1016.75 14.1677 26.5104 30.391 8.6713 39.8106 0.3062 0.2625 0.4525 0.1301 0.1012
"70" 1017 14.094 26.5236 30.8872 8.6739 39.3732 0.2913 0.2624 0.4699 0.1316 0.1009
"71" 1017.25 14.0187 26.5327 31.386 8.6811 38.9354 0.2763 0.2621 0.4872 0.133 0.1006
"72" 1017.5 13.9418 26.5378 31.8873 8.6927 38.4974 0.2611 0.2616 0.5044 0.1345 0.1003
"73" 1017.75 13.8633 26.5389 32.391 8.7087 38.0594 0.2458 0.2609 0.5215 0.1359 0.0999
"74" 1018 13.7833 26.536 32.8969 8.7293 37.6214 0.2304 0.2601 0.5385 0.1373 0.0996
"75" 1018.25 13.7019 26.529 33.4049 8.7542 37.1835 0.2149 0.259 0.5553 0.1388 0.0993
"76" 1018.5 13.6189 26.518 33.9148 8.7836 36.7459 0.1993 0.2578 0.572 0.1402 0.099
"77" 1018.75 13.5346 26.503 34.4265 8.8175 36.3086 0.1836 0.2564 0.5886 0.1416 0.0986
"78" 1019 13.4488 26.4839 34.9398 8.8558 35.8718 0.1678 0.2549 0.6051 0.143 0.0983
"79" 1019.25 13.3617 26.4608 35.4545 8.8986 35.4357 0.1519 0.2531 0.6214 0.1444 0.098
"80" 1019.5 13.2733 26.4337 35.9706 8.9459 35.0002 0.1359 0.2512 0.6376 0.1458 0.0977
"81" 1019.75 13.1882 26.4125 36.4244 8.9987 34.5766 0.1232 0.252 0.6569 0.1482 0.0997
"82" 1020 13.1199 26.429 36.7392 9.0605 34.2009 0.1159 0.2548 0.677 0.1511 0.103
"83" 1020.25 13.0413 26.4346 36.9703 9.1329 33.8872 0.1122 0.26 0.6979 0.1552 0.1087
"84" 1020.5 12.9487 26.4086 37.1558 9.2188 33.6563 0.1098 0.2646 0.7149 0.1594 0.1147
