"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1277 0.1449 0.1567 0.168 0.1731 0 0 0 0 0 0 0
"3" 0.5 0.1482 0.175 0.189 0.2017 0.1996 0 0 0 0 0 0 0
"4" 0.75 0.1721 0.2114 0.2278 0.242 0.2303 0 0 0 0 0 0 0
"5" 1 0.1998 0.2553 0.2747 0.2905 0.2657 0 0 0 0 0 0 0
"6" 1.25 0.2319 0.3083 0.3312 0.3486 0.3065 0 0 0 0 0 0 0
"7" 1.5 0.2692 0.3723 0.3992 0.4183 0.3535 0 0 0 0 0 0 0
"8" 1.75 0.3125 0.4496 0.4813 0.5019 0.4078 0 0 0 0 0 0 0
"9" 2 0.3627 0.5428 0.5802 0.6022 0.4704 0 0 0 0 0 0 0
"10" 2.25 0.4209 0.6554 0.6994 0.7225 0.5425 0 0 0 0 0 0 0
"11" 2.5 0.4885 0.7913 0.8429 0.8668 0.6256 0 0 0 0 0 0 0
"12" 2.75 0.5668 0.9553 1.0159 1.0397 0.7214 0 0 0 0 0 0 0
"13" 3 0.6577 1.1532 1.2244 1.2469 0.8318 0 0 0 0 0 0 0
"14" 3.25 0.763 1.3918 1.4754 1.4951 0.959 0 0 0 0 0 0 0
"15" 3.5 0.8851 1.6797 1.7776 1.7924 1.1054 0 0 0 0 0 0 0
"16" 3.75 1.0265 2.0268 2.1414 2.1483 1.2739 0 0 0 0 0 0 0
"17" 4 1.1904 2.4451 2.5793 2.574 1.4679 0 0 0 0 0 0 0
"18" 4.25 1.38 2.949 3.106 3.083 1.6908 0 0 0 0 0 0 0
"19" 4.5 1.5993 3.5557 3.7392 3.691 1.9471 0 0 0 0 0 0 0
"20" 4.75 1.8528 4.2857 4.5 4.4164 2.2412 0 0 0 0 0 0 0
"21" 5 2.1454 5.1633 5.4133 5.2808 2.5784 0 0 0 0 0 0 0
"22" 5.25 2.4828 6.2169 6.5087 6.309 2.9645 0 0 0 0 0 0 0
"23" 5.5 2.8711 7.4802 7.8205 7.5291 3.4056 0 0 0 0 0 0 0
"24" 5.75 3.317 8.9918 9.3886 8.9725 3.9083 0 0 0 0 0 0 0
"25" 6 3.8272 10.7955 11.2584 10.6731 4.479 0 0 0 0 0 0 0
"26" 6.25 4.4085 12.9396 13.4801 12.6648 5.1237 0 0 0 0 0 0 0
"27" 6.5 5.0661 15.4739 16.1061 14.9774 5.8463 0 0 0 0 0 0 0
"28" 6.75 5.8021 18.443 19.1846 17.6267 6.6466 0 0 0 0 0 0 0
"29" 7 6.6107 21.8694 22.7437 20.5937 7.5148 0 0 0 0 0 0 0
"30" 7.25 7.4687 25.7094 26.7511 23.779 8.4205 0 0 0 0 0 0 0
"31" 7.5 8.3105 29.6842 30.9811 26.9024 9.287 0 0 0 0 0 0 0
"32" 7.75 8.9388 32.5093 34.1494 29.3649 9.9289 0 0 0 0 0 0 0
"33" 8 9.1369 32.6672 34.5288 29.9431 10.0326 0 0 0 0 0 0 0
"34" 8.25 9.227 32.4361 34.4756 30.1218 10.0207 0 0 0 0 0 0 0
"35" 8.5 9.3159 32.2006 34.4155 30.2949 10.0069 0 0 0 0 0 0 0
"36" 8.75 9.4054 31.9658 34.3544 30.4679 9.9928 0 0 0 0 0 0 0
"37" 9 9.4955 31.7319 34.2924 30.6409 9.9785 0 0 0 0 0 0 0
"38" 9.25 9.5861 31.4988 34.2296 30.814 9.9639 0 0 0 0 0 0 0
"39" 9.5 9.6773 31.2666 34.1658 30.987 9.9491 0 0 0 0 0 0 0
"40" 9.75 9.769 31.0352 34.1012 31.16 9.934 0 0 0 0 0 0 0
"41" 10 9.8614 30.8047 34.0357 31.3329 9.9187 0 0 0 0 0 0 0
"42" 10.25 9.9543 30.575 33.9693 31.5058 9.9031 0 0 0 0 0 0 0
"43" 10.5 10.0477 30.3463 33.9021 31.6787 9.8872 0 0 0 0 0 0 0
"44" 10.75 10.1417 30.1184 33.8339 31.8514 9.8711 0 0 0 0 0 0 0
"45" 11 10.2363 29.8914 33.7649 32.0241 9.8548 0 0 0 0 0 0 0
"46" 11.25 10.3314 29.6652 33.695 32.1966 9.8382 0 0 0 0 0 0 0
"47" 11.5 10.427 29.44 33.6243 32.369 9.8213 0 0 0 0 0 0 0
"48" 11.75 10.5233 29.2156 33.5527 32.5413 9.8042 0 0 0 0 0 0 0
"49" 12 10.62 28.9921 33.4803 32.7134 9.7868 0 0 0 0 0 0 0
"50" 12.25 10.7173 28.7695 33.407 32.8854 9.7692 0 0 0 0 0 0 0
