"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1284 0.1422 0.1581 0.1638 0.1783 0 0 0 0 0 0 0
"3" 0.5 0.1499 0.1684 0.1922 0.1916 0.212 0 0 0 0 0 0 0
"4" 0.75 0.175 0.1995 0.2337 0.2242 0.2519 0 0 0 0 0 0 0
"5" 1 0.2042 0.2363 0.2841 0.2623 0.2995 0 0 0 0 0 0 0
"6" 1.25 0.2384 0.2799 0.3455 0.3068 0.3559 0 0 0 0 0 0 0
"7" 1.5 0.2782 0.3315 0.42 0.3589 0.423 0 0 0 0 0 0 0
"8" 1.75 0.3247 0.3926 0.5106 0.4198 0.5028 0 0 0 0 0 0 0
"9" 2 0.379 0.465 0.6208 0.4909 0.5975 0 0 0 0 0 0 0
"10" 2.25 0.4423 0.5507 0.7546 0.5742 0.71 0 0 0 0 0 0 0
"11" 2.5 0.5161 0.6522 0.9172 0.6714 0.8436 0 0 0 0 0 0 0
"12" 2.75 0.6022 0.7723 1.1149 0.7851 1.0022 0 0 0 0 0 0 0
"13" 3 0.7026 0.9144 1.3549 0.9179 1.1906 0 0 0 0 0 0 0
"14" 3.25 0.8197 1.0825 1.6465 1.073 1.4141 0 0 0 0 0 0 0
"15" 3.5 0.9561 1.2815 2.0007 1.254 1.6793 0 0 0 0 0 0 0
"16" 3.75 1.115 1.5168 2.4305 1.4653 1.9939 0 0 0 0 0 0 0
"17" 4 1.3 1.7949 2.9523 1.7117 2.3668 0 0 0 0 0 0 0
"18" 4.25 1.5154 2.1236 3.5852 1.9989 2.8085 0 0 0 0 0 0 0
"19" 4.5 1.7658 2.5118 4.3525 2.3334 3.3314 0 0 0 0 0 0 0
"20" 4.75 2.057 2.97 5.2824 2.7225 3.9499 0 0 0 0 0 0 0
"21" 5 2.395 3.5103 6.4081 3.1746 4.6805 0 0 0 0 0 0 0
"22" 5.25 2.7868 4.1468 7.7698 3.699 5.5423 0 0 0 0 0 0 0
"23" 5.5 3.2404 4.8955 9.4144 4.3059 6.5568 0 0 0 0 0 0 0
"24" 5.75 3.7642 5.7746 11.3974 5.0063 7.7481 0 0 0 0 0 0 0
"25" 6 4.3672 6.8041 13.7826 5.8114 9.142 0 0 0 0 0 0 0
"26" 6.25 5.0584 8.0054 16.6419 6.7317 10.7649 0 0 0 0 0 0 0
"27" 6.5 5.8455 9.3998 20.0526 7.7754 12.6409 0 0 0 0 0 0 0
"28" 6.75 6.733 11.0043 24.09 8.944 14.7856 0 0 0 0 0 0 0
"29" 7 7.717 12.8157 28.8062 10.2257 17.1922 0 0 0 0 0 0 0
"30" 7.25 8.7698 14.7855 34.1273 11.5788 19.8034 0 0 0 0 0 0 0
"31" 7.5 9.7716 16.7296 39.6316 12.9014 22.4503 0 0 0 0 0 0 0
"32" 7.75 10.4052 18.0785 43.8275 14.0029 24.751 0 0 0 0 0 0 0
"33" 8 10.4189 18.287 45.0104 14.4067 25.6695 0 0 0 0 0 0 0
"34" 8.25 10.2436 18.1222 45.1314 14.4865 25.9755 0 0 0 0 0 0 0
"35" 8.5 10.058 17.9318 45.1719 14.5412 26.2352 0 0 0 0 0 0 0
"36" 8.75 9.8747 17.7414 45.2062 14.594 26.4936 0 0 0 0 0 0 0
"37" 9 9.6944 17.5522 45.2379 14.6463 26.7529 0 0 0 0 0 0 0
"38" 9.25 9.517 17.3641 45.2672 14.6979 27.0132 0 0 0 0 0 0 0
"39" 9.5 9.3425 17.1773 45.2941 14.7489 27.2745 0 0 0 0 0 0 0
"40" 9.75 9.1708 16.9918 45.3186 14.7994 27.5367 0 0 0 0 0 0 0
"41" 10 9.0019 16.8075 45.3407 14.8492 27.7999 0 0 0 0 0 0 0
"42" 10.25 8.8358 16.6245 45.3604 14.8984 28.064 0 0 0 0 0 0 0
"43" 10.5 8.6724 16.4427 45.3778 14.947 28.329 0 0 0 0 0 0 0
"44" 10.75 8.5117 16.2623 45.3928 14.995 28.595 0 0 0 0 0 0 0
"45" 11 8.3537 16.0831 45.4055 15.0424 28.8619 0 0 0 0 0 0 0
"46" 11.25 8.1983 15.9052 45.4159 15.0892 29.1297 0 0 0 0 0 0 0
