"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1291 0.1488 0.1512 0.1684 0.1769 0 0 0 0 0 0 0
"3" 0.5 0.1514 0.1846 0.176 0.2025 0.2085 0 0 0 0 0 0 0
"4" 0.75 0.1776 0.2289 0.2047 0.2436 0.2458 0 0 0 0 0 0 0
"5" 1 0.2084 0.2838 0.2381 0.2929 0.2898 0 0 0 0 0 0 0
"6" 1.25 0.2445 0.3519 0.277 0.3523 0.3417 0 0 0 0 0 0 0
"7" 1.5 0.2868 0.4364 0.3222 0.4236 0.4027 0 0 0 0 0 0 0
"8" 1.75 0.3365 0.5411 0.3748 0.5093 0.4747 0 0 0 0 0 0 0
"9" 2 0.3947 0.6709 0.436 0.6124 0.5596 0 0 0 0 0 0 0
"10" 2.25 0.4629 0.8318 0.5071 0.7362 0.6595 0 0 0 0 0 0 0
"11" 2.5 0.5429 1.0311 0.5898 0.885 0.7772 0 0 0 0 0 0 0
"12" 2.75 0.6366 1.2781 0.686 1.0636 0.9158 0 0 0 0 0 0 0
"13" 3 0.7465 1.5841 0.7977 1.2782 1.079 0 0 0 0 0 0 0
"14" 3.25 0.8752 1.9631 0.9276 1.5357 1.2711 0 0 0 0 0 0 0
"15" 3.5 1.0259 2.4323 1.0784 1.8447 1.4971 0 0 0 0 0 0 0
"16" 3.75 1.2023 3.013 1.2536 2.2152 1.7629 0 0 0 0 0 0 0
"17" 4 1.4088 3.7315 1.457 2.6592 2.0752 0 0 0 0 0 0 0
"18" 4.25 1.6501 4.6198 1.693 3.1908 2.442 0 0 0 0 0 0 0
"19" 4.5 1.932 5.7173 1.9667 3.8266 2.8724 0 0 0 0 0 0 0
"20" 4.75 2.261 7.0721 2.2839 4.5859 3.3768 0 0 0 0 0 0 0
"21" 5 2.6444 8.7425 2.651 5.4911 3.9669 0 0 0 0 0 0 0
"22" 5.25 3.0904 10.7988 3.0754 6.5679 4.656 0 0 0 0 0 0 0
"23" 5.5 3.6079 13.3247 3.5651 7.8444 5.4584 0 0 0 0 0 0 0
"24" 5.75 4.2064 16.4185 4.1287 9.3513 6.3892 0 0 0 0 0 0 0
"25" 6 4.895 20.1921 4.7748 11.1189 7.4628 0 0 0 0 0 0 0
"26" 6.25 5.6813 24.7657 5.5114 13.1725 8.6908 0 0 0 0 0 0 0
"27" 6.5 6.5683 30.253 6.3433 15.5224 10.0764 0 0 0 0 0 0 0
"28" 6.75 7.5473 36.7195 7.2672 18.1398 11.6025 0 0 0 0 0 0 0
"29" 7 8.581 44.0708 8.2587 20.9032 13.2032 0 0 0 0 0 0 0
"30" 7.25 9.5183 51.317 9.2195 23.4786 14.6212 0 0 0 0 0 0 0
"31" 7.5 9.6586 53.4274 9.5182 24.7957 14.7713 0 0 0 0 0 0 0
"32" 7.75 9.5082 53.4914 9.5107 25.2189 14.4886 0 0 0 0 0 0 0
"33" 8 9.3555 53.5195 9.4974 25.6299 14.2046 0 0 0 0 0 0 0
"34" 8.25 9.2043 53.5413 9.4831 26.0442 13.925 0 0 0 0 0 0 0
"35" 8.5 9.0549 53.5568 9.4678 26.4616 13.6497 0 0 0 0 0 0 0
"36" 8.75 8.9071 53.5662 9.4516 26.8823 13.3787 0 0 0 0 0 0 0
"37" 9 8.7609 53.5694 9.4345 27.3061 13.1121 0 0 0 0 0 0 0
"38" 9.25 8.6164 53.5665 9.4164 27.7331 12.8498 0 0 0 0 0 0 0
"39" 9.5 8.4736 53.5576 9.3973 28.1631 12.5916 0 0 0 0 0 0 0
"40" 9.75 8.3324 53.5426 9.3774 28.5961 12.3377 0 0 0 0 0 0 0
"41" 10 8.1929 53.5217 9.3566 29.0321 12.088 0 0 0 0 0 0 0
"42" 10.25 8.055 53.4948 9.3349 29.4711 11.8423 0 0 0 0 0 0 0
"43" 10.5 7.9188 53.462 9.3123 29.913 11.6007 0 0 0 0 0 0 0
"44" 10.75 7.7843 53.4234 9.2888 30.3577 11.3632 0 0 0 0 0 0 0
"45" 11 7.6514 53.379 9.2645 30.8052 11.1297 0 0 0 0 0 0 0
"46" 11.25 7.5202 53.3288 9.2393 31.2555 10.9001 0 0 0 0 0 0 0
"47" 11.5 7.3906 53.273 9.2133 31.7085 10.6745 0 0 0 0 0 0 0
"48" 11.75 7.2627 53.2115 9.1866 32.1642 10.4527 0 0 0 0 0 0 0
"49" 12 7.1364 53.1444 9.159 32.6225 10.2348 0 0 0 0 0 0 0
"50" 12.25 7.0118 53.0719 9.1306 33.0834 10.0206 0 0 0 0 0 0 0
"51" 12.5 6.8888 52.9938 9.1014 33.5468 9.8102 0 0 0 0 0 0 0
"52" 12.75 6.7674 52.9104 9.0715 34.0126 9.6035 0 0 0 0 0 0 0
"53" 13 6.6476 52.8216 9.0408 34.4809 9.4005 0 0 0 0 0 0 0
"54" 13.25 6.5295 52.7276 9.0094 34.9515 9.2011 0 0 0 0 0 0 0
"55" 13.5 6.413 52.6283 8.9773 35.4245 9.0053 0 0 0 0 0 0 0
"56" 13.75 6.298 52.5239 8.9445 35.8997 8.813 0 0 0 0 0 0 0
"57" 14 6.1847 52.4144 8.9109 36.3771 8.6242 0 0 0 0 0 0 0
"58" 14.25 6.0729 52.2999 8.8767 36.8566 8.4388 0 0 0 0 0 0 0
"59" 14.5 5.9627 52.1805 8.8419 37.3383 8.2568 0 0 0 0 0 0 0
"60" 14.75 5.8541 52.0562 8.8064 37.822 8.0782 0 0 0 0 0 0 0
"61" 15 5.747 51.9271 8.7702 38.3077 7.903 0 0 0 0 0 0 0
"62" 15.25 5.6415 51.7933 8.7334 38.7954 7.7309 0 0 0 0 0 0 0
"63" 15.5 5.5375 51.6548 8.696 39.2849 7.5621 0 0 0 0 0 0 0
