"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1369 0.1456 0.1558 0.1679 0.1779 0 0 0 0 0 0 0
"3" 0.5 0.1704 0.1767 0.1868 0.2013 0.2109 0 0 0 0 0 0 0
"4" 0.75 0.212 0.2144 0.2239 0.2413 0.25 0 0 0 0 0 0 0
"5" 1 0.2638 0.2602 0.2684 0.2894 0.2964 0 0 0 0 0 0 0
"6" 1.25 0.3283 0.3156 0.3217 0.3469 0.3514 0 0 0 0 0 0 0
"7" 1.5 0.4085 0.383 0.3856 0.4159 0.4165 0 0 0 0 0 0 0
"8" 1.75 0.5083 0.4646 0.4621 0.4985 0.4937 0 0 0 0 0 0 0
"9" 2 0.6323 0.5636 0.5538 0.5975 0.5852 0 0 0 0 0 0 0
"10" 2.25 0.7866 0.6837 0.6637 0.7161 0.6936 0 0 0 0 0 0 0
"11" 2.5 0.9784 0.8293 0.7952 0.8581 0.8219 0 0 0 0 0 0 0
"12" 2.75 1.2167 1.0057 0.9528 1.028 0.9738 0 0 0 0 0 0 0
"13" 3 1.5128 1.2196 1.1415 1.2314 1.1536 0 0 0 0 0 0 0
"14" 3.25 1.8805 1.4786 1.3673 1.4746 1.3663 0 0 0 0 0 0 0
"15" 3.5 2.337 1.7923 1.6374 1.7653 1.6178 0 0 0 0 0 0 0
"16" 3.75 2.9032 2.172 1.9605 2.1125 1.9149 0 0 0 0 0 0 0
"17" 4 3.6049 2.6312 2.3466 2.5267 2.2657 0 0 0 0 0 0 0
"18" 4.25 4.4737 3.1861 2.8077 3.0202 2.6792 0 0 0 0 0 0 0
"19" 4.5 5.5478 3.856 3.3579 3.6073 3.1662 0 0 0 0 0 0 0
"20" 4.75 6.8732 4.6634 4.0134 4.3039 3.7383 0 0 0 0 0 0 0
"21" 5 8.5048 5.6347 4.7929 5.1281 4.4087 0 0 0 0 0 0 0
"22" 5.25 10.506 6.7998 5.7175 6.099 5.1914 0 0 0 0 0 0 0
