"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1349 0.1441 0.1543 0.165 0.1725 0 0 0 0 0 0 0
"3" 0.5 0.1654 0.1731 0.1832 0.1946 0.1983 0 0 0 0 0 0 0
"4" 0.75 0.2029 0.2078 0.2175 0.2293 0.228 0 0 0 0 0 0 0
"5" 1 0.2488 0.2496 0.2582 0.2703 0.2621 0 0 0 0 0 0 0
"6" 1.25 0.3051 0.2997 0.3066 0.3187 0.3013 0 0 0 0 0 0 0
"7" 1.5 0.374 0.3598 0.3639 0.3756 0.3464 0 0 0 0 0 0 0
"8" 1.75 0.4586 0.4321 0.432 0.4427 0.3982 0 0 0 0 0 0 0
"9" 2 0.5623 0.5187 0.5128 0.5217 0.4577 0 0 0 0 0 0 0
"10" 2.25 0.6893 0.6228 0.6086 0.6147 0.5261 0 0 0 0 0 0 0
"11" 2.5 0.8449 0.7476 0.7224 0.7243 0.6046 0 0 0 0 0 0 0
"12" 2.75 1.0356 0.8975 0.8573 0.8533 0.6948 0 0 0 0 0 0 0
"13" 3 1.2691 1.0772 1.0173 1.0051 0.7984 0 0 0 0 0 0 0
"14" 3.25 1.5549 1.2927 1.2071 1.1838 0.9173 0 0 0 0 0 0 0
"15" 3.5 1.9049 1.5512 1.432 1.3939 1.0537 0 0 0 0 0 0 0
"16" 3.75 2.3329 1.861 1.6986 1.6408 1.2101 0 0 0 0 0 0 0
"17" 4 2.8563 2.2321 2.0145 1.9308 1.3894 0 0 0 0 0 0 0
"18" 4.25 3.4958 2.6766 2.3885 2.2712 1.5947 0 0 0 0 0 0 0
"19" 4.5 4.2766 3.2083 2.8311 2.6703 1.8296 0 0 0 0 0 0 0
"20" 4.75 5.2286 3.8441 3.3543 3.1376 2.0982 0 0 0 0 0 0 0
"21" 5 6.3879 4.6033 3.9724 3.6836 2.4047 0 0 0 0 0 0 0
"22" 5.25 7.7969 5.5086 4.7015 4.3204 2.7537 0 0 0 0 0 0 0
"23" 5.5 9.5051 6.5858 5.5598 5.0605 3.1501 0 0 0 0 0 0 0
"24" 5.75 11.5687 7.864 6.5677 5.9172 3.5986 0 0 0 0 0 0 0
"25" 6 14.0493 9.3747 7.747 6.9027 4.1034 0 0 0 0 0 0 0
"26" 6.25 17.009 11.1492 9.119 8.0259 4.6668 0 0 0 0 0 0 0
"27" 6.5 20.4984 13.2135 10.7009 9.2872 5.2872 0 0 0 0 0 0 0
"28" 6.75 24.5283 15.5742 12.4963 10.6674 5.9546 0 0 0 0 0 0 0
"29" 7 28.9975 18.184 14.4703 12.1027 6.6394 0 0 0 0 0 0 0
"30" 7.25 33.5115 20.8476 16.4835 13.4282 7.2675 0 0 0 0 0 0 0
"31" 7.5 37.0512 23.0237 18.1433 14.3038 7.6819 0 0 0 0 0 0 0
"32" 7.75 38.5716 24.0682 18.9607 14.4847 7.7589 0 0 0 0 0 0 0
"33" 8 38.9033 24.3947 19.23 14.311 7.658 0 0 0 0 0 0 0
"34" 8.25 38.9938 24.5702 19.3825 14.0733 7.5249 0 0 0 0 0 0 0
"35" 8.5 39.0515 24.7257 19.5197 13.8309 7.3895 0 0 0 0 0 0 0
"36" 8.75 39.1031 24.8782 19.6548 13.5911 7.2559 0 0 0 0 0 0 0
"37" 9 39.1518 25.0297 19.7892 13.3546 7.1242 0 0 0 0 0 0 0
"38" 9.25 39.1979 25.1805 19.9233 13.1216 6.9946 0 0 0 0 0 0 0
"39" 9.5 39.2416 25.3305 20.0569 12.8921 6.867 0 0 0 0 0 0 0
"40" 9.75 39.2829 25.4797 20.1902 12.666 6.7415 0 0 0 0 0 0 0
"41" 10 39.3217 25.6281 20.3231 12.4433 6.618 0 0 0 0 0 0 0
"42" 10.25 39.3581 25.7758 20.4555 12.2239 6.4964 0 0 0 0 0 0 0
"43" 10.5 39.3921 25.9228 20.5876 12.0079 6.3768 0 0 0 0 0 0 0
"44" 10.75 39.4239 26.069 20.7193 11.7951 6.2591 0 0 0 0 0 0 0
"45" 11 39.4532 26.2144 20.8505 11.5856 6.1434 0 0 0 0 0 0 0
"46" 11.25 39.4803 26.359 20.9814 11.3793 6.0295 0 0 0 0 0 0 0
"47" 11.5 39.5052 26.5029 21.1118 11.1763 5.9175 0 0 0 0 0 0 0
"48" 11.75 39.5278 26.646 21.2419 10.9763 5.8073 0 0 0 0 0 0 0
"49" 12 39.5482 26.7884 21.3715 10.7795 5.699 0 0 0 0 0 0 0
"50" 12.25 39.5664 26.93 21.5007 10.5859 5.5925 0 0 0 0 0 0 0
"51" 12.5 39.5825 27.0709 21.6295 10.3952 5.4877 0 0 0 0 0 0 0
"52" 12.75 39.5964 27.2109 21.758 10.2076 5.3847 0 0 0 0 0 0 0
"53" 13 39.6083 27.3503 21.886 10.023 5.2835 0 0 0 0 0 0 0
"54" 13.25 39.6181 27.4889 22.0136 9.8413 5.1839 0 0 0 0 0 0 0
"55" 13.5 39.6258 27.6267 22.1407 9.6626 5.0861 0 0 0 0 0 0 0
"56" 13.75 39.6315 27.7638 22.2675 9.4867 4.9899 0 0 0 0 0 0 0
"57" 14 39.6353 27.9001 22.3939 9.3137 4.8953 0 0 0 0 0 0 0
"58" 14.25 39.6371 28.0357 22.5199 9.1436 4.8024 0 0 0 0 0 0 0
"59" 14.5 39.637 28.1706 22.6455 8.9762 4.7111 0 0 0 0 0 0 0
"60" 14.75 39.6349 28.3047 22.7706 8.8115 4.6213 0 0 0 0 0 0 0
"61" 15 39.631 28.4381 22.8954 8.6496 4.5331 0 0 0 0 0 0 0
"62" 15.25 39.6253 28.5708 23.0198 8.4904 4.4465 0 0 0 0 0 0 0
"63" 15.5 39.6178 28.7027 23.1438 8.3338 4.3613 0 0 0 0 0 0 0
