"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1322 0.1452 0.1523 0.1618 0.1704 0 0 0 0 0 0 0
"3" 0.5 0.1589 0.1756 0.1784 0.1871 0.1937 0 0 0 0 0 0 0
"4" 0.75 0.1909 0.2124 0.2091 0.2163 0.22 0 0 0 0 0 0 0
"5" 1 0.2294 0.2569 0.2449 0.25 0.25 0 0 0 0 0 0 0
"6" 1.25 0.2756 0.3107 0.2869 0.289 0.2841 0 0 0 0 0 0 0
"7" 1.5 0.3312 0.3758 0.3361 0.334 0.3227 0 0 0 0 0 0 0
"8" 1.75 0.3979 0.4545 0.3938 0.386 0.3666 0 0 0 0 0 0 0
"9" 2 0.4781 0.5497 0.4613 0.4461 0.4165 0 0 0 0 0 0 0
"10" 2.25 0.5744 0.6648 0.5403 0.5156 0.4732 0 0 0 0 0 0 0
"11" 2.5 0.69 0.8039 0.6329 0.5957 0.5375 0 0 0 0 0 0 0
"12" 2.75 0.8288 0.972 0.7412 0.6883 0.6105 0 0 0 0 0 0 0
"13" 3 0.9954 1.1753 0.8681 0.7952 0.6933 0 0 0 0 0 0 0
"14" 3.25 1.1954 1.4208 1.0166 0.9186 0.7873 0 0 0 0 0 0 0
"15" 3.5 1.4353 1.7175 1.1903 1.061 0.8939 0 0 0 0 0 0 0
"16" 3.75 1.7231 2.0757 1.3937 1.2252 1.0149 0 0 0 0 0 0 0
"17" 4 2.0682 2.5083 1.6315 1.4145 1.1519 0 0 0 0 0 0 0
"18" 4.25 2.4817 3.0304 1.9095 1.6325 1.3072 0 0 0 0 0 0 0
"19" 4.5 2.9769 3.6602 2.2345 1.8836 1.483 0 0 0 0 0 0 0
"20" 4.75 3.5697 4.4194 2.6141 2.1724 1.6819 0 0 0 0 0 0 0
"21" 5 4.2784 5.3341 3.0572 2.5042 1.9067 0 0 0 0 0 0 0
"22" 5.25 5.1249 6.4349 3.574 2.8848 2.1605 0 0 0 0 0 0 0
"23" 5.5 6.1342 7.758 4.1761 3.3207 2.4464 0 0 0 0 0 0 0
"24" 5.75 7.3355 9.3458 4.8765 3.8187 2.768 0 0 0 0 0 0 0
"25" 6 8.7614 11.2471 5.6897 4.3857 3.1285 0 0 0 0 0 0 0
"26" 6.25 10.4477 13.517 6.6313 5.0283 3.5312 0 0 0 0 0 0 0
"27" 6.5 12.4317 16.2154 7.7173 5.7521 3.9783 0 0 0 0 0 0 0
"28" 6.75 14.748 19.4029 8.9627 6.5593 4.4703 0 0 0 0 0 0 0
"29" 7 17.4191 23.13 10.3774 7.4458 5.0045 0 0 0 0 0 0 0
"30" 7.25 20.4346 27.4124 11.9584 8.3935 5.5702 0 0 0 0 0 0 0
"31" 7.5 23.7016 32.1673 13.6691 9.3545 6.1409 0 0 0 0 0 0 0
"32" 7.75 26.925 37.0495 15.3857 10.2175 6.6544 0 0 0 0 0 0 0
"33" 8 29.4075 41.1207 16.7867 10.768 6.9865 0 0 0 0 0 0 0
"34" 8.25 30.4513 43.2361 17.4783 10.855 7.0398 0 0 0 0 0 0 0
"35" 8.5 30.6046 44.0128 17.6831 10.6932 6.9377 0 0 0 0 0 0 0
"36" 8.75 30.5588 44.4767 17.7727 10.4829 6.8047 0 0 0 0 0 0 0
"37" 9 30.4835 44.8961 17.8451 10.2692 6.6695 0 0 0 0 0 0 0
"38" 9.25 30.4023 45.3093 17.9141 10.0585 6.5361 0 0 0 0 0 0 0
"39" 9.5 30.3183 45.7212 17.9816 9.8514 6.4049 0 0 0 0 0 0 0
"40" 9.75 30.2321 46.1324 18.0478 9.648 6.2759 0 0 0 0 0 0 0
"41" 10 30.1435 46.543 18.1127 9.4481 6.1492 0 0 0 0 0 0 0
"42" 10.25 30.0528 46.9529 18.1762 9.2519 6.0246 0 0 0 0 0 0 0
"43" 10.5 29.96 47.362 18.2386 9.0592 5.9022 0 0 0 0 0 0 0
"44" 10.75 29.865 47.7704 18.2996 8.87 5.782 0 0 0 0 0 0 0
"45" 11 29.7681 48.178 18.3593 8.6842 5.6639 0 0 0 0 0 0 0
"46" 11.25 29.6691 48.5849 18.4178 8.5019 5.5479 0 0 0 0 0 0 0
"47" 11.5 29.5682 48.9909 18.4751 8.3229 5.434 0 0 0 0 0 0 0
"48" 11.75 29.4654 49.396 18.531 8.1472 5.3222 0 0 0 0 0 0 0
"49" 12 29.3608 49.8003 18.5857 7.9748 5.2123 0 0 0 0 0 0 0
"50" 12.25 29.2543 50.2037 18.6391 7.8056 5.1044 0 0 0 0 0 0 0
"51" 12.5 29.1462 50.6061 18.6913 7.6396 4.9986 0 0 0 0 0 0 0
"52" 12.75 29.0363 51.0076 18.7423 7.4768 4.8946 0 0 0 0 0 0 0
"53" 13 28.9248 51.4081 18.792 7.317 4.7926 0 0 0 0 0 0 0
"54" 13.25 28.8117 51.8077 18.8405 7.1603 4.6924 0 0 0 0 0 0 0
"55" 13.5 28.6971 52.2062 18.8878 7.0065 4.5941 0 0 0 0 0 0 0
"56" 13.75 28.5809 52.6037 18.9338 6.8558 4.4977 0 0 0 0 0 0 0
"57" 14 28.4633 53.0001 18.9786 6.7079 4.403 0 0 0 0 0 0 0
"58" 14.25 28.3443 53.3955 19.0223 6.5629 4.3102 0 0 0 0 0 0 0
"59" 14.5 28.224 53.7895 19.0647 6.4207 4.2191 0 0 0 0 0 0 0
"60" 14.75 28.1164 54.0736 19.1159 6.2836 4.1312 0 0 0 0 0 0 0
"61" 15 28.0262 54.2687 19.1928 6.1554 4.0455 0 0 0 0 0 0 0
"62" 15.25 27.9229 54.4332 19.3009 6.0367 3.96 0 0 0 0 0 0 0
"63" 15.5 27.8082 54.5733 19.4412 5.9273 3.8752 0 0 0 0 0 0 0
"64" 15.75 27.685 54.6944 19.598 5.827 3.7913 0 0 0 0 0 0 0
"65" 16 27.5589 54.8084 19.7535 5.7355 3.7089 0 0 0 0 0 0 0
"66" 16.25 27.4308 54.9169 19.9082 5.6525 3.628 0 0 0 0 0 0 0
"67" 16.5 27.3006 55.02 20.062 5.5776 3.5486 0 0 0 0 0 0 0
"68" 16.75 27.1687 55.118 20.2151 5.5104 3.4708 0 0 0 0 0 0 0
"69" 17 27.0351 55.2109 20.3674 5.4505 3.3944 0 0 0 0 0 0 0
"70" 17.25 26.8998 55.299 20.519 5.3975 3.3196 0 0 0 0 0 0 0
"71" 17.5 26.7631 55.3825 20.6699 5.3513 3.2461 0 0 0 0 0 0 0
"72" 17.75 26.625 55.4613 20.8202 5.3116 3.1742 0 0 0 0 0 0 0
"73" 18 26.4856 55.5357 20.9698 5.278 3.1036 0 0 0 0 0 0 0
"74" 18.25 26.345 55.6057 21.1188 5.2504 3.0345 0 0 0 0 0 0 0
"75" 18.5 26.2032 55.6715 21.2672 5.2287 2.9668 0 0 0 0 0 0 0
