"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1346 0.1458 0.1529 0.1643 0.1793 0 0 0 0 0 0 0
"3" 0.5 0.1647 0.1771 0.1798 0.1928 0.2143 0 0 0 0 0 0 0
"4" 0.75 0.2014 0.2152 0.2115 0.2263 0.2561 0 0 0 0 0 0 0
"5" 1 0.2464 0.2614 0.2487 0.2655 0.3061 0 0 0 0 0 0 0
"6" 1.25 0.3015 0.3175 0.2925 0.3115 0.3658 0 0 0 0 0 0 0
"7" 1.5 0.3688 0.3857 0.344 0.3655 0.4372 0 0 0 0 0 0 0
"8" 1.75 0.4511 0.4685 0.4046 0.4288 0.5224 0 0 0 0 0 0 0
"9" 2 0.5517 0.5691 0.4757 0.5031 0.6242 0 0 0 0 0 0 0
"10" 2.25 0.6747 0.6911 0.5594 0.5901 0.7458 0 0 0 0 0 0 0
"11" 2.5 0.8251 0.8393 0.6577 0.6922 0.891 0 0 0 0 0 0 0
"12" 2.75 1.0089 1.0192 0.7732 0.8117 1.0643 0 0 0 0 0 0 0
"13" 3 1.2334 1.2374 0.909 0.9518 1.2711 0 0 0 0 0 0 0
"14" 3.25 1.5076 1.5022 1.0684 1.1158 1.5178 0 0 0 0 0 0 0
"15" 3.5 1.8423 1.8234 1.2557 1.3078 1.8119 0 0 0 0 0 0 0
"16" 3.75 2.2508 2.2127 1.4755 1.5324 2.1625 0 0 0 0 0 0 0
"17" 4 2.7489 2.6844 1.7335 1.7949 2.5801 0 0 0 0 0 0 0
"18" 4.25 3.3558 3.2556 2.036 2.1014 3.0769 0 0 0 0 0 0 0
"19" 4.5 4.0946 3.9467 2.3904 2.459 3.6675 0 0 0 0 0 0 0
"20" 4.75 4.9928 4.7821 2.8055 2.8753 4.3686 0 0 0 0 0 0 0
"21" 5 6.083 5.7904 3.2908 3.3592 5.1992 0 0 0 0 0 0 0
"22" 5.25 7.4031 7.0053 3.8574 3.9199 6.1809 0 0 0 0 0 0 0
"23" 5.5 8.9969 8.4655 4.5174 4.5674 7.3373 0 0 0 0 0 0 0
"24" 5.75 10.9129 10.2145 5.2838 5.3111 8.6932 0 0 0 0 0 0 0
"25" 6 13.2018 12.2985 6.1696 6.1586 10.2719 0 0 0 0 0 0 0
"26" 6.25 15.9095 14.7619 7.1858 7.1128 12.0901 0 0 0 0 0 0 0
"27" 6.5 19.0605 17.6349 8.3373 8.1653 14.1465 0 0 0 0 0 0 0
"28" 6.75 22.6174 20.9016 9.6112 9.2824 16.3947 0 0 0 0 0 0 0
"29" 7 26.3765 24.4163 10.9485 10.3729 18.6777 0 0 0 0 0 0 0
"30" 7.25 29.7281 27.6863 12.1665 11.2261 20.5907 0 0 0 0 0 0 0
"31" 7.5 31.6263 29.7459 12.9103 11.5597 21.5194 0 0 0 0 0 0 0
"32" 7.75 32.1279 30.507 13.15 11.4768 21.5878 0 0 0 0 0 0 0
"33" 8 32.2254 30.87 13.2334 11.2865 21.4198 0 0 0 0 0 0 0
"34" 8.25 32.2638 31.1758 13.2936 11.0844 21.2197 0 0 0 0 0 0 0
"35" 8.5 32.2934 31.4752 13.3505 10.8837 21.0165 0 0 0 0 0 0 0
"36" 8.75 32.3201 31.7745 13.4065 10.6859 20.8136 0 0 0 0 0 0 0
"37" 9 32.3446 32.0742 13.4618 10.4912 20.6115 0 0 0 0 0 0 0
"38" 9.25 32.367 32.3744 13.5164 10.2995 20.4102 0 0 0 0 0 0 0
"39" 9.5 32.3872 32.6752 13.5705 10.1109 20.2097 0 0 0 0 0 0 0
"40" 9.75 32.4054 32.9764 13.6238 9.9252 20.0101 0 0 0 0 0 0 0
"41" 10 32.4215 33.2781 13.6766 9.7425 19.8114 0 0 0 0 0 0 0
"42" 10.25 32.4356 33.5803 13.7287 9.5627 19.6136 0 0 0 0 0 0 0
"43" 10.5 32.4476 33.8829 13.7801 9.3857 19.4167 0 0 0 0 0 0 0
"44" 10.75 32.4576 34.186 13.8309 9.2117 19.2207 0 0 0 0 0 0 0
"45" 11 32.4656 34.4894 13.881 9.0404 19.0257 0 0 0 0 0 0 0
"46" 11.25 32.4716 34.7933 13.9305 8.8719 18.8317 0 0 0 0 0 0 0
"47" 11.5 32.4755 35.0974 13.9793 8.7062 18.6387 0 0 0 0 0 0 0
"48" 11.75 32.4775 35.402 14.0274 8.5432 18.4467 0 0 0 0 0 0 0
"49" 12 32.4776 35.7068 14.0749 8.3829 18.2558 0 0 0 0 0 0 0
"50" 12.25 32.4757 36.012 14.1217 8.2252 18.0659 0 0 0 0 0 0 0
"51" 12.5 32.4719 36.3174 14.1679 8.0701 17.8771 0 0 0 0 0 0 0
"52" 12.75 32.4662 36.6231 14.2134 7.9176 17.6893 0 0 0 0 0 0 0
"53" 13 32.4586 36.9291 14.2582 7.7677 17.5027 0 0 0 0 0 0 0
"54" 13.25 32.4491 37.2353 14.3024 7.6203 17.3172 0 0 0 0 0 0 0
"55" 13.5 32.4378 37.5417 14.3459 7.4753 17.1328 0 0 0 0 0 0 0
"56" 13.75 32.4246 37.8483 14.3887 7.3329 16.9495 0 0 0 0 0 0 0
"57" 14 32.4096 38.1552 14.4309 7.1928 16.7674 0 0 0 0 0 0 0
"58" 14.25 32.3928 38.4621 14.4724 7.0551 16.5865 0 0 0 0 0 0 0
"59" 14.5 32.3742 38.7693 14.5132 6.9198 16.4067 0 0 0 0 0 0 0
"60" 14.75 32.3539 39.0766 14.5534 6.7868 16.2281 0 0 0 0 0 0 0
"61" 15 32.3318 39.384 14.5929 6.6561 16.0507 0 0 0 0 0 0 0
"62" 15.25 32.308 39.6915 14.6318 6.5276 15.8745 0 0 0 0 0 0 0
"63" 15.5 32.2825 39.9991 14.67 6.4014 15.6996 0 0 0 0 0 0 0
"64" 15.75 32.2553 40.3068 14.7075 6.2774 15.5259 0 0 0 0 0 0 0
"65" 16 32.2264 40.6145 14.7443 6.1555 15.3534 0 0 0 0 0 0 0
"66" 16.25 32.1959 40.9224 14.7805 6.0358 15.1821 0 0 0 0 0 0 0
"67" 16.5 32.1637 41.2302 14.8161 5.9182 15.0121 0 0 0 0 0 0 0
"68" 16.75 32.13 41.5381 14.851 5.8026 14.8433 0 0 0 0 0 0 0
"69" 17 32.0946 41.846 14.8852 5.6891 14.6759 0 0 0 0 0 0 0
"70" 17.25 32.0577 42.1539 14.9188 5.5776 14.5096 0 0 0 0 0 0 0
"71" 17.5 32.0193 42.4617 14.9517 5.4681 14.3447 0 0 0 0 0 0 0
"72" 17.75 31.9793 42.7696 14.984 5.3606 14.181 0 0 0 0 0 0 0
"73" 18 31.9378 43.0774 15.0156 5.255 14.0186 0 0 0 0 0 0 0
"74" 18.25 31.8948 43.3852 15.0466 5.1513 13.8575 0 0 0 0 0 0 0
"75" 18.5 31.8503 43.6928 15.0769 5.0494 13.6977 0 0 0 0 0 0 0
"76" 18.75 31.8044 44.0005 15.1066 4.9494 13.5392 0 0 0 0 0 0 0
"77" 19 31.7571 44.308 15.1357 4.8512 13.382 0 0 0 0 0 0 0
"78" 19.25 31.7083 44.6154 15.1641 4.7548 13.226 0 0 0 0 0 0 0
"79" 19.5 31.6582 44.9227 15.1919 4.6602 13.0714 0 0 0 0 0 0 0
"80" 19.75 31.6067 45.2299 15.2191 4.5672 12.9181 0 0 0 0 0 0 0
"81" 20 31.5538 45.537 15.2456 4.476 12.7661 0 0 0 0 0 0 0
"82" 20.25 31.4996 45.8439 15.2715 4.3865 12.6154 0 0 0 0 0 0 0
"83" 20.5 31.4441 46.1507 15.2968 4.2986 12.466 0 0 0 0 0 0 0
"84" 20.75 31.3874 46.4572 15.3214 4.2123 12.3179 0 0 0 0 0 0 0
"85" 21 31.3293 46.7637 15.3455 4.1277 12.1711 0 0 0 0 0 0 0
"86" 21.25 31.27 47.0699 15.3689 4.0446 12.0256 0 0 0 0 0 0 0
"87" 21.5 31.2095 47.3759 15.3917 3.9631 11.8814 0 0 0 0 0 0 0
"88" 21.75 31.1477 47.6817 15.4139 3.883 11.7385 0 0 0 0 0 0 0
"89" 22 31.0848 47.9874 15.4355 3.8045 11.5969 0 0 0 0 0 0 0
"90" 22.25 31.0207 48.2927 15.4564 3.7275 11.4566 0 0 0 0 0 0 0
"91" 22.5 30.9555 48.5979 15.4768 3.6519 11.3176 0 0 0 0 0 0 0
"92" 22.75 30.8891 48.9028 15.4966 3.5777 11.1799 0 0 0 0 0 0 0
"93" 23 30.8216 49.2074 15.5158 3.5049 11.0435 0 0 0 0 0 0 0
"94" 23.25 30.753 49.5118 15.5344 3.4335 10.9083 0 0 0 0 0 0 0
"95" 23.5 30.6833 49.8159 15.5524 3.3635 10.7745 0 0 0 0 0 0 0
"96" 23.75 30.6126 50.1197 15.5698 3.2948 10.6419 0 0 0 0 0 0 0
"97" 24 30.5408 50.4232 15.5867 3.2274 10.5107 0 0 0 0 0 0 0
"98" 24.25 30.4681 50.7265 15.6029 3.1613 10.3807 0 0 0 0 0 0 0
"99" 24.5 30.3943 51.0294 15.6186 3.0965 10.2519 0 0 0 0 0 0 0
"100" 24.75 30.3195 51.332 15.6338 3.0329 10.1245 0 0 0 0 0 0 0
"101" 25 30.2438 51.6343 15.6483 2.9705 9.9983 0 0 0 0 0 0 0
"102" 25.25 30.1671 51.9362 15.6623 2.9093 9.8733 0 0 0 0 0 0 0
"103" 25.5 30.0895 52.2378 15.6757 2.8494 9.7496 0 0 0 0 0 0 0
"104" 25.75 30.011 52.5391 15.6886 2.7905 9.6271 0 0 0 0 0 0 0
"105" 26 29.9316 52.84 15.7009 2.7329 9.5059 0 0 0 0 0 0 0
"106" 26.25 29.8514 53.1405 15.7127 2.6763 9.386 0 0 0 0 0 0 0
"107" 26.5 29.7702 53.4407 15.7239 2.6208 9.2672 0 0 0 0 0 0 0
"108" 26.75 29.6883 53.7404 15.7345 2.5665 9.1497 0 0 0 0 0 0 0
"109" 27 29.6055 54.0398 15.7447 2.5131 9.0334 0 0 0 0 0 0 0
"110" 27.25 29.5219 54.3388 15.7543 2.4609 8.9183 0 0 0 0 0 0 0
"111" 27.5 29.4375 54.6374 15.7633 2.4096 8.8044 0 0 0 0 0 0 0
"112" 27.75 29.3524 54.9356 15.7719 2.3594 8.6917 0 0 0 0 0 0 0
"113" 28 29.2665 55.2334 15.7799 2.3102 8.5802 0 0 0 0 0 0 0
"114" 28.25 29.1798 55.5307 15.7874 2.2619 8.4699 0 0 0 0 0 0 0
"115" 28.5 29.0958 55.7921 15.7961 2.2147 8.3616 0 0 0 0 0 0 0
"116" 28.75 29.0372 55.9571 15.8183 2.17 8.2607 0 0 0 0 0 0 0
"117" 29 28.9966 56.0798 15.8544 2.1275 8.162 0 0 0 0 0 0 0
"118" 29.25 28.951 56.1881 15.9052 2.0873 8.0626 0 0 0 0 0 0 0
"119" 29.5 28.9004 56.2864 15.9714 2.0493 7.9634 0 0 0 0 0 0 0
"120" 29.75 28.8448 56.3748 16.0532 2.0135 7.8641 0 0 0 0 0 0 0
"121" 30 28.7844 56.4532 16.1506 1.9797 7.765 0 0 0 0 0 0 0
"122" 30.25 28.7191 56.5217 16.2628 1.9479 7.666 0 0 0 0 0 0 0
"123" 30.5 28.6514 56.5852 16.378 1.918 7.5676 0 0 0 0 0 0 0
"124" 30.75 28.583 56.6468 16.4935 1.89 7.4704 0 0 0 0 0 0 0
"125" 31 28.5137 56.7065 16.6092 1.8638 7.3741 0 0 0 0 0 0 0
"126" 31.25 28.4438 56.7644 16.7251 1.8394 7.279 0 0 0 0 0 0 0
"127" 31.5 28.3731 56.8206 16.8413 1.8166 7.1848 0 0 0 0 0 0 0
"128" 31.75 28.3017 56.875 16.9578 1.7955 7.0917 0 0 0 0 0 0 0
"129" 32 28.2297 56.9277 17.0746 1.7759 6.9996 0 0 0 0 0 0 0
"130" 32.25 28.157 56.9788 17.1916 1.7578 6.9086 0 0 0 0 0 0 0
"131" 32.5 28.0837 57.0282 17.309 1.7411 6.8185 0 0 0 0 0 0 0
"132" 32.75 28.0097 57.0759 17.4266 1.7258 6.7295 0 0 0 0 0 0 0
"133" 33 27.9352 57.1221 17.5445 1.7118 6.6415 0 0 0 0 0 0 0
"134" 33.25 27.8602 57.1666 17.6627 1.6992 6.5544 0 0 0 0 0 0 0
"135" 33.5 27.7845 57.2096 17.7811 1.6878 6.4684 0 0 0 0 0 0 0
"136" 33.75 27.7084 57.2511 17.8999 1.6777 6.3834 0 0 0 0 0 0 0
"137" 34 27.6317 57.291 18.019 1.6687 6.2993 0 0 0 0 0 0 0
"138" 34.25 27.5545 57.3294 18.1384 1.661 6.2162 0 0 0 0 0 0 0
"139" 34.5 27.4768 57.3663 18.2581 1.6544 6.134 0 0 0 0 0 0 0
"140" 34.75 27.3986 57.4017 18.3781 1.6489 6.0529 0 0 0 0 0 0 0
"141" 35 27.32 57.4357 18.4984 1.6445 5.9726 0 0 0 0 0 0 0
"142" 35.25 27.2409 57.4682 18.619 1.6412 5.8933 0 0 0 0 0 0 0
"143" 35.5 27.1613 57.4992 18.7398 1.639 5.8149 0 0 0 0 0 0 0
"144" 35.75 27.0814 57.5288 18.861 1.6378 5.7375 0 0 0 0 0 0 0
"145" 36 27.001 57.557 18.9825 1.6377 5.661 0 0 0 0 0 0 0
"146" 36.25 26.9201 57.5838 19.1044 1.6386 5.5853 0 0 0 0 0 0 0
"147" 36.5 26.8389 57.6091 19.2265 1.6405 5.5106 0 0 0 0 0 0 0
"148" 36.75 26.7573 57.633 19.3489 1.6435 5.4368 0 0 0 0 0 0 0
"149" 37 26.6753 57.6555 19.4715 1.6474 5.3638 0 0 0 0 0 0 0
"150" 37.25 26.5929 57.6766 19.5945 1.6524 5.2917 0 0 0 0 0 0 0
"151" 37.5 26.5102 57.6963 19.7178 1.6584 5.2205 0 0 0 0 0 0 0
"152" 37.75 26.427 57.7146 19.8414 1.6655 5.1501 0 0 0 0 0 0 0
"153" 38 26.3435 57.7316 19.9652 1.6735 5.0806 0 0 0 0 0 0 0
"154" 38.25 26.2597 57.7471 20.0894 1.6826 5.0119 0 0 0 0 0 0 0
"155" 38.5 26.1755 57.7612 20.2138 1.6927 4.9441 0 0 0 0 0 0 0
"156" 38.75 26.091 57.7739 20.3385 1.7038 4.877 0 0 0 0 0 0 0
"157" 39 26.0061 57.7853 20.4634 1.716 4.8108 0 0 0 0 0 0 0
"158" 39.25 25.9209 57.7952 20.5886 1.7293 4.7454 0 0 0 0 0 0 0
"159" 39.5 25.8354 57.8037 20.7141 1.7437 4.6808 0 0 0 0 0 0 0
"160" 39.75 25.7495 57.8109 20.8399 1.7591 4.617 0 0 0 0 0 0 0
"161" 40 25.6633 57.8166 20.9658 1.7757 4.5539 0 0 0 0 0 0 0
"162" 40.25 25.5768 57.8209 21.092 1.7933 4.4916 0 0 0 0 0 0 0
"163" 40.5 25.49 57.8238 21.2185 1.8122 4.4301 0 0 0 0 0 0 0
"164" 40.75 25.4028 57.8252 21.3452 1.8322 4.3693 0 0 0 0 0 0 0
"165" 41 25.3154 57.8252 21.4721 1.8534 4.3093 0 0 0 0 0 0 0
"166" 41.25 25.2276 57.8238 21.5992 1.8759 4.25 0 0 0 0 0 0 0
"167" 41.5 25.1396 57.8209 21.7265 1.8996 4.1915 0 0 0 0 0 0 0
"168" 41.75 25.0513 57.8167 21.854 1.924 4.1337 0 0 0 0 0 0 0
"169" 42 24.9628 57.8116 21.9819 1.9487 4.0766 0 0 0 0 0 0 0
"170" 42.25 24.8743 57.8054 22.1102 1.9737 4.0202 0 0 0 0 0 0 0
"171" 42.5 24.7857 57.7982 22.2389 1.999 3.9646 0 0 0 0 0 0 0
"172" 42.75 24.697 57.79 22.3679 2.0245 3.9097 0 0 0 0 0 0 0
"173" 43 24.6082 57.7809 22.4972 2.0504 3.8555 0 0 0 0 0 0 0
"174" 43.25 24.5193 57.7708 22.6269 2.0765 3.802 0 0 0 0 0 0 0
"175" 43.5 24.4303 57.7597 22.757 2.1029 3.7492 0 0 0 0 0 0 0
"176" 43.75 24.3413 57.7476 22.8875 2.1297 3.697 0 0 0 0 0 0 0
"177" 44 24.2521 57.7346 23.0183 2.1567 3.6456 0 0 0 0 0 0 0
"178" 44.25 24.1629 57.7205 23.1494 2.184 3.5948 0 0 0 0 0 0 0
"179" 44.5 24.0737 57.7055 23.2809 2.2117 3.5446 0 0 0 0 0 0 0
"180" 44.75 23.9843 57.6896 23.4127 2.2396 3.4951 0 0 0 0 0 0 0
"181" 45 23.895 57.6726 23.5449 2.2679 3.4463 0 0 0 0 0 0 0
"182" 45.25 23.8055 57.6547 23.6774 2.2964 3.3981 0 0 0 0 0 0 0
"183" 45.5 23.716 57.6359 23.8103 2.3253 3.3505 0 0 0 0 0 0 0
"184" 45.75 23.6265 57.616 23.9435 2.3546 3.3035 0 0 0 0 0 0 0
"185" 46 23.5369 57.5953 24.0771 2.3841 3.2572 0 0 0 0 0 0 0
"186" 46.25 23.4473 57.5735 24.211 2.414 3.2115 0 0 0 0 0 0 0
"187" 46.5 23.3576 57.5508 24.3452 2.4441 3.1663 0 0 0 0 0 0 0
"188" 46.75 23.2679 57.5272 24.4797 2.4747 3.1218 0 0 0 0 0 0 0
"189" 47 23.1782 57.5026 24.6146 2.5055 3.0778 0 0 0 0 0 0 0
"190" 47.25 23.0884 57.4771 24.7498 2.5367 3.0344 0 0 0 0 0 0 0
"191" 47.5 22.9987 57.4506 24.8853 2.5683 2.9916 0 0 0 0 0 0 0
"192" 47.75 22.9089 57.4232 25.0212 2.6002 2.9494 0 0 0 0 0 0 0
"193" 48 22.819 57.3948 25.1573 2.6324 2.9077 0 0 0 0 0 0 0
"194" 48.25 22.7292 57.3655 25.2938 2.665 2.8665 0 0 0 0 0 0 0
"195" 48.5 22.6394 57.3353 25.4306 2.6979 2.8259 0 0 0 0 0 0 0
"196" 48.75 22.5495 57.3042 25.5677 2.7312 2.7859 0 0 0 0 0 0 0
"197" 49 22.4597 57.2721 25.7052 2.7649 2.7463 0 0 0 0 0 0 0
"198" 49.25 22.3698 57.239 25.8429 2.7989 2.7073 0 0 0 0 0 0 0
"199" 49.5 22.28 57.2051 25.9809 2.8333 2.6688 0 0 0 0 0 0 0
"200" 49.75 22.1901 57.1702 26.1192 2.8681 2.6308 0 0 0 0 0 0 0
"201" 50 22.1003 57.1344 26.2579 2.9033 2.5934 0 0 0 0 0 0 0
