"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1325 0.1474 0.1574 0.1616 0.1739 0 0 0 0 0 0 0
"3" 0.5 0.1596 0.1812 0.1906 0.1866 0.2015 0 0 0 0 0 0 0
"4" 0.75 0.1923 0.2226 0.2308 0.2154 0.2336 0 0 0 0 0 0 0
"5" 1 0.2316 0.2735 0.2795 0.2486 0.2708 0 0 0 0 0 0 0
"6" 1.25 0.2789 0.336 0.3385 0.287 0.3138 0 0 0 0 0 0 0
"7" 1.5 0.3359 0.4127 0.4098 0.3313 0.3637 0 0 0 0 0 0 0
"8" 1.75 0.4045 0.507 0.4962 0.3824 0.4215 0 0 0 0 0 0 0
"9" 2 0.4872 0.6228 0.6008 0.4413 0.4884 0 0 0 0 0 0 0
"10" 2.25 0.5866 0.765 0.7273 0.5093 0.566 0 0 0 0 0 0 0
"11" 2.5 0.7063 0.9396 0.8804 0.5877 0.6557 0 0 0 0 0 0 0
"12" 2.75 0.8503 1.1539 1.0657 0.6781 0.7597 0 0 0 0 0 0 0
"13" 3 1.0236 1.4169 1.2899 0.7822 0.88 0 0 0 0 0 0 0
"14" 3.25 1.232 1.7396 1.561 0.9022 1.0192 0 0 0 0 0 0 0
"15" 3.5 1.4825 2.1355 1.8888 1.0405 1.1803 0 0 0 0 0 0 0
"16" 3.75 1.7835 2.621 2.2851 1.1996 1.3665 0 0 0 0 0 0 0
"17" 4 2.145 3.2159 2.7639 1.3826 1.5816 0 0 0 0 0 0 0
"18" 4.25 2.5789 3.9447 3.342 1.5929 1.83 0 0 0 0 0 0 0
"19" 4.5 3.0992 4.8368 4.0398 1.8344 2.1164 0 0 0 0 0 0 0
"20" 4.75 3.7223 5.9277 4.8811 2.1113 2.4464 0 0 0 0 0 0 0
"21" 5 4.4676 7.26 5.8945 2.4281 2.826 0 0 0 0 0 0 0
"22" 5.25 5.3572 8.8847 7.1132 2.7898 3.2617 0 0 0 0 0 0 0
"23" 5.5 6.4163 10.8616 8.576 3.2014 3.7603 0 0 0 0 0 0 0
"24" 5.75 7.6725 13.2596 10.327 3.6677 4.3286 0 0 0 0 0 0 0
"25" 6 9.1547 16.1558 12.4143 4.1923 4.9726 0 0 0 0 0 0 0
"26" 6.25 10.8893 19.6301 14.8875 4.7768 5.6958 0 0 0 0 0 0 0
"27" 6.5 12.8927 23.7527 17.7882 5.4169 6.4959 0 0 0 0 0 0 0
"28" 6.75 15.152 28.5488 21.129 6.0972 7.3575 0 0 0 0 0 0 0
"29" 7 17.5767 33.9048 24.832 6.7753 8.2341 0 0 0 0 0 0 0
"30" 7.25 19.8732 39.2964 28.5538 7.3486 9.0044 0 0 0 0 0 0 0
"31" 7.5 21.3632 43.2775 31.3303 7.6264 9.4238 0 0 0 0 0 0 0
"32" 7.75 21.5099 44.0878 32.28 7.6078 9.3392 0 0 0 0 0 0 0
"33" 8 21.3246 44.1217 32.6908 7.5614 9.1416 0 0 0 0 0 0 0
"34" 8.25 21.1335 44.1382 33.0924 7.5244 8.9458 0 0 0 0 0 0 0
"35" 8.5 20.941 44.1471 33.4927 7.4966 8.7531 0 0 0 0 0 0 0
"36" 8.75 20.7473 44.1487 33.8917 7.4779 8.5636 0 0 0 0 0 0 0
"37" 9 20.5525 44.1432 34.2893 7.4679 8.3773 0 0 0 0 0 0 0
"38" 9.25 20.3567 44.1306 34.6855 7.4663 8.1941 0 0 0 0 0 0 0
"39" 9.5 20.1599 44.1112 35.0802 7.4731 8.0141 0 0 0 0 0 0 0
"40" 9.75 19.9624 44.0849 35.4734 7.4879 7.8372 0 0 0 0 0 0 0
"41" 10 19.7642 44.052 35.865 7.5108 7.6634 0 0 0 0 0 0 0
"42" 10.25 19.5657 44.013 36.2553 7.5391 7.4928 0 0 0 0 0 0 0
