"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1288 0.1418 0.1592 0.1665 0.1779 0 0 0 0 0 0 0
"3" 0.5 0.1508 0.1675 0.1949 0.198 0.2111 0 0 0 0 0 0 0
"4" 0.75 0.1765 0.198 0.2385 0.2354 0.2503 0 0 0 0 0 0 0
"5" 1 0.2066 0.2339 0.292 0.2799 0.2969 0 0 0 0 0 0 0
"6" 1.25 0.2419 0.2763 0.3575 0.3327 0.3522 0 0 0 0 0 0 0
"7" 1.5 0.2831 0.3265 0.4376 0.3956 0.4177 0 0 0 0 0 0 0
"8" 1.75 0.3314 0.3857 0.5357 0.4702 0.4953 0 0 0 0 0 0 0
"9" 2 0.3879 0.4556 0.6557 0.559 0.5874 0 0 0 0 0 0 0
"10" 2.25 0.454 0.5382 0.8025 0.6644 0.6965 0 0 0 0 0 0 0
"11" 2.5 0.5313 0.6357 0.9822 0.7896 0.8258 0 0 0 0 0 0 0
"12" 2.75 0.6217 0.7509 1.202 0.9383 0.979 0 0 0 0 0 0 0
"13" 3 0.7274 0.8868 1.4708 1.1149 1.1605 0 0 0 0 0 0 0
"14" 3.25 0.8509 1.0472 1.7995 1.3244 1.3754 0 0 0 0 0 0 0
"15" 3.5 0.9954 1.2364 2.2014 1.573 1.6298 0 0 0 0 0 0 0
"16" 3.75 1.164 1.4596 2.6926 1.8678 1.9309 0 0 0 0 0 0 0
"17" 4 1.361 1.7228 3.2927 2.217 2.2868 0 0 0 0 0 0 0
"18" 4.25 1.5909 2.0329 4.0254 2.6306 2.7076 0 0 0 0 0 0 0
"19" 4.5 1.8589 2.3981 4.9197 3.1198 3.2043 0 0 0 0 0 0 0
"20" 4.75 2.1711 2.8279 6.0103 3.6979 3.7903 0 0 0 0 0 0 0
"21" 5 2.5344 3.3332 7.3391 4.3798 4.4805 0 0 0 0 0 0 0
"22" 5.25 2.9564 3.9264 8.9559 5.1826 5.292 0 0 0 0 0 0 0
"23" 5.5 3.4456 4.6218 10.9202 6.1252 6.244 0 0 0 0 0 0 0
"24" 5.75 4.0112 5.4349 13.3014 7.228 7.3572 0 0 0 0 0 0 0
"25" 6 4.6623 6.3826 16.179 8.5117 8.6531 0 0 0 0 0 0 0
"26" 6.25 5.4078 7.4821 19.641 9.9952 10.1519 0 0 0 0 0 0 0
"27" 6.5 6.2537 8.7473 23.7781 11.6906 11.8684 0 0 0 0 0 0 0
"28" 6.75 7.1996 10.1784 28.6629 13.5934 13.8025 0 0 0 0 0 0 0
"29" 7 8.2244 11.7449 34.2545 15.6606 15.9196 0 0 0 0 0 0 0
"30" 7.25 9.2276 13.3215 40.1966 17.7678 18.1074 0 0 0 0 0 0 0
"31" 7.5 9.9216 14.4902 45.0529 19.65 20.0896 0 0 0 0 0 0 0
"32" 7.75 9.9788 14.7021 46.5919 20.4435 20.9075 0 0 0 0 0 0 0
"33" 8 9.8076 14.5457 46.737 20.6327 21.1141 0 0 0 0 0 0 0
"34" 8.25 9.6237 14.3648 46.7781 20.7757 21.2739 0 0 0 0 0 0 0
"35" 8.5 9.4422 14.1846 46.8125 20.9166 21.4318 0 0 0 0 0 0 0
"36" 8.75 9.2638 14.006 46.8443 21.0572 21.5895 0 0 0 0 0 0 0
"37" 9 9.0884 13.829 46.8737 21.1976 21.7472 0 0 0 0 0 0 0
"38" 9.25 8.916 13.6538 46.9007 21.3378 21.905 0 0 0 0 0 0 0
"39" 9.5 8.7465 13.4802 46.9253 21.4779 22.0627 0 0 0 0 0 0 0
"40" 9.75 8.58 13.3082 46.9476 21.6177 22.2204 0 0 0 0 0 0 0
"41" 10 8.4163 13.1379 46.9676 21.7573 22.378 0 0 0 0 0 0 0
"42" 10.25 8.2555 12.9693 46.9852 21.8967 22.5357 0 0 0 0 0 0 0
"43" 10.5 8.0974 12.8024 47.0006 22.0358 22.6933 0 0 0 0 0 0 0
"44" 10.75 7.9421 12.6371 47.0137 22.1748 22.8508 0 0 0 0 0 0 0
"45" 11 7.7895 12.4734 47.0246 22.3135 23.0084 0 0 0 0 0 0 0
"46" 11.25 7.6395 12.3114 47.0333 22.452 23.1659 0 0 0 0 0 0 0
"47" 11.5 7.4922 12.1511 47.0397 22.5902 23.3233 0 0 0 0 0 0 0
"48" 11.75 7.3475 11.9923 47.044 22.7282 23.4807 0 0 0 0 0 0 0
"49" 12 7.2054 11.8353 47.0462 22.866 23.638 0 0 0 0 0 0 0
"50" 12.25 7.0658 11.6798 47.0462 23.0035 23.7953 0 0 0 0 0 0 0
"51" 12.5 6.9286 11.526 47.0441 23.1408 23.9525 0 0 0 0 0 0 0
"52" 12.75 6.7939 11.3738 47.04 23.2778 24.1096 0 0 0 0 0 0 0
"53" 13 6.6616 11.2232 47.0338 23.4146 24.2667 0 0 0 0 0 0 0
"54" 13.25 6.5317 11.0742 47.0255 23.5511 24.4237 0 0 0 0 0 0 0
"55" 13.5 6.4041 10.9268 47.0152 23.6874 24.5806 0 0 0 0 0 0 0
"56" 13.75 6.2788 10.781 47.003 23.8234 24.7374 0 0 0 0 0 0 0
"57" 14 6.1558 10.6368 46.9888 23.9591 24.8942 0 0 0 0 0 0 0
"58" 14.25 6.035 10.4942 46.9726 24.0946 25.0509 0 0 0 0 0 0 0
"59" 14.5 5.9164 10.3531 46.9545 24.2298 25.2075 0 0 0 0 0 0 0
"60" 14.75 5.7999 10.2136 46.9346 24.3648 25.364 0 0 0 0 0 0 0
"61" 15 5.6856 10.0756 46.9127 24.4995 25.5204 0 0 0 0 0 0 0
"62" 15.25 5.5734 9.9392 46.889 24.6339 25.6768 0 0 0 0 0 0 0
"63" 15.5 5.4633 9.8044 46.8635 24.768 25.833 0 0 0 0 0 0 0
"64" 15.75 5.3551 9.671 46.8362 24.9019 25.9892 0 0 0 0 0 0 0
"65" 16 5.249 9.5392 46.8071 25.0355 26.1452 0 0 0 0 0 0 0
"66" 16.25 5.1448 9.4089 46.7763 25.1688 26.3012 0 0 0 0 0 0 0
"67" 16.5 5.0426 9.2801 46.7437 25.3019 26.4571 0 0 0 0 0 0 0
"68" 16.75 4.9422 9.1527 46.7095 25.4347 26.6128 0 0 0 0 0 0 0
"69" 17 4.8437 9.0269 46.6735 25.5672 26.7685 0 0 0 0 0 0 0
"70" 17.25 4.7471 8.9025 46.6359 25.6994 26.9241 0 0 0 0 0 0 0
"71" 17.5 4.6523 8.7796 46.5966 25.8313 27.0795 0 0 0 0 0 0 0
"72" 17.75 4.5592 8.6581 46.5558 25.963 27.2349 0 0 0 0 0 0 0
"73" 18 4.4679 8.5381 46.5133 26.0944 27.3902 0 0 0 0 0 0 0
"74" 18.25 4.3783 8.4195 46.4693 26.2255 27.5453 0 0 0 0 0 0 0
"75" 18.5 4.2904 8.3023 46.4237 26.3563 27.7004 0 0 0 0 0 0 0
"76" 18.75 4.2042 8.1865 46.3766 26.4869 27.8553 0 0 0 0 0 0 0
"77" 19 4.1196 8.0721 46.328 26.6172 28.0101 0 0 0 0 0 0 0
"78" 19.25 4.0366 7.9591 46.2779 26.7472 28.1649 0 0 0 0 0 0 0
"79" 19.5 3.9552 7.8475 46.2263 26.8769 28.3195 0 0 0 0 0 0 0
"80" 19.75 3.8753 7.7372 46.1733 27.0063 28.474 0 0 0 0 0 0 0
"81" 20 3.797 7.6283 46.1189 27.1354 28.6284 0 0 0 0 0 0 0
"82" 20.25 3.7201 7.5207 46.0631 27.2643 28.7827 0 0 0 0 0 0 0
"83" 20.5 3.6448 7.4145 46.0059 27.3929 28.9369 0 0 0 0 0 0 0
"84" 20.75 3.5709 7.3096 45.9474 27.5212 29.091 0 0 0 0 0 0 0
"85" 21 3.4983 7.206 45.8875 27.6492 29.2449 0 0 0 0 0 0 0
"86" 21.25 3.4272 7.1036 45.8263 27.777 29.3988 0 0 0 0 0 0 0
"87" 21.5 3.3575 7.0026 45.7638 27.9044 29.5525 0 0 0 0 0 0 0
"88" 21.75 3.2891 6.9028 45.7001 28.0316 29.7061 0 0 0 0 0 0 0
"89" 22 3.2221 6.8043 45.6351 28.1585 29.8596 0 0 0 0 0 0 0
"90" 22.25 3.1563 6.7071 45.5689 28.2851 30.013 0 0 0 0 0 0 0
"91" 22.5 3.0918 6.611 45.5014 28.4115 30.1663 0 0 0 0 0 0 0
"92" 22.75 3.0286 6.5162 45.4328 28.5375 30.3195 0 0 0 0 0 0 0
"93" 23 2.9666 6.4226 45.363 28.6633 30.4726 0 0 0 0 0 0 0
"94" 23.25 2.9058 6.3303 45.292 28.7888 30.6255 0 0 0 0 0 0 0
"95" 23.5 2.8462 6.2391 45.2199 28.914 30.7783 0 0 0 0 0 0 0
"96" 23.75 2.7878 6.149 45.1467 29.0389 30.931 0 0 0 0 0 0 0
"97" 24 2.7305 6.0602 45.0723 29.1636 31.0836 0 0 0 0 0 0 0
"98" 24.25 2.6744 5.9725 44.9969 29.2879 31.2361 0 0 0 0 0 0 0
"99" 24.5 2.6193 5.8859 44.9205 29.412 31.3885 0 0 0 0 0 0 0
"100" 24.75 2.5654 5.8005 44.843 29.5358 31.5408 0 0 0 0 0 0 0
"101" 25 2.5125 5.7162 44.7644 29.6594 31.6929 0 0 0 0 0 0 0
"102" 25.25 2.4606 5.633 44.6849 29.7826 31.8449 0 0 0 0 0 0 0
"103" 25.5 2.4098 5.5509 44.6044 29.9056 31.9968 0 0 0 0 0 0 0
"104" 25.75 2.36 5.4699 44.5229 30.0283 32.1486 0 0 0 0 0 0 0
"105" 26 2.3111 5.39 44.4404 30.1507 32.3003 0 0 0 0 0 0 0
"106" 26.25 2.2633 5.3111 44.357 30.2729 32.4519 0 0 0 0 0 0 0
"107" 26.5 2.2163 5.2333 44.2726 30.3947 32.6033 0 0 0 0 0 0 0
"108" 26.75 2.1704 5.1565 44.1874 30.5163 32.7546 0 0 0 0 0 0 0
"109" 27 2.1253 5.0807 44.1013 30.6376 32.9059 0 0 0 0 0 0 0
"110" 27.25 2.0811 5.006 44.0143 30.7587 33.057 0 0 0 0 0 0 0
"111" 27.5 2.0379 4.9323 43.9264 30.8794 33.2079 0 0 0 0 0 0 0
"112" 27.75 1.9955 4.8595 43.8377 30.9999 33.3588 0 0 0 0 0 0 0
"113" 28 1.9539 4.7878 43.7482 31.1201 33.5096 0 0 0 0 0 0 0
"114" 28.25 1.9132 4.717 43.6578 31.2401 33.6602 0 0 0 0 0 0 0
"115" 28.5 1.8733 4.6472 43.5667 31.3597 33.8107 0 0 0 0 0 0 0
"116" 28.75 1.8342 4.5783 43.4748 31.4791 33.9611 0 0 0 0 0 0 0
"117" 29 1.7958 4.5104 43.3821 31.5982 34.1114 0 0 0 0 0 0 0
"118" 29.25 1.7583 4.4434 43.2886 31.717 34.2615 0 0 0 0 0 0 0
"119" 29.5 1.7215 4.3773 43.1944 31.8356 34.4116 0 0 0 0 0 0 0
"120" 29.75 1.6855 4.3121 43.0995 31.9539 34.5615 0 0 0 0 0 0 0
"121" 30 1.6502 4.2478 43.0039 32.0719 34.7113 0 0 0 0 0 0 0
"122" 30.25 1.6158 4.185 42.9148 32.1511 34.8672 0 0 0 0 0 0 0
"123" 30.5 1.5827 4.1249 42.8504 32.1746 35.0208 0 0 0 0 0 0 0
"124" 30.75 1.5511 4.0655 42.8051 32.1803 35.1558 0 0 0 0 0 0 0
"125" 31 1.5209 4.0067 42.7584 32.1834 35.2883 0 0 0 0 0 0 0
"126" 31.25 1.4922 3.9487 42.7107 32.1857 35.4205 0 0 0 0 0 0 0
"127" 31.5 1.4649 3.8914 42.662 32.1873 35.5523 0 0 0 0 0 0 0
"128" 31.75 1.4389 3.8349 42.6125 32.1881 35.6838 0 0 0 0 0 0 0
"129" 32 1.4142 3.7792 42.5621 32.1883 35.815 0 0 0 0 0 0 0
"130" 32.25 1.3907 3.7242 42.5108 32.1877 35.9459 0 0 0 0 0 0 0
"131" 32.5 1.3685 3.6699 42.4587 32.1865 36.0765 0 0 0 0 0 0 0
"132" 32.75 1.3474 3.6164 42.4058 32.1847 36.2068 0 0 0 0 0 0 0
"133" 33 1.3275 3.5636 42.3522 32.1822 36.3368 0 0 0 0 0 0 0
"134" 33.25 1.3086 3.5115 42.2977 32.1791 36.4666 0 0 0 0 0 0 0
"135" 33.5 1.2908 3.4601 42.2425 32.1754 36.5961 0 0 0 0 0 0 0
"136" 33.75 1.2741 3.4094 42.1866 32.171 36.7254 0 0 0 0 0 0 0
"137" 34 1.2583 3.3594 42.13 32.1661 36.8544 0 0 0 0 0 0 0
"138" 34.25 1.2435 3.3101 42.0727 32.1606 36.9831 0 0 0 0 0 0 0
"139" 34.5 1.2296 3.2614 42.0147 32.1545 37.1117 0 0 0 0 0 0 0
"140" 34.75 1.2166 3.2135 41.956 32.1479 37.24 0 0 0 0 0 0 0
"141" 35 1.2045 3.1662 41.8967 32.1407 37.3681 0 0 0 0 0 0 0
"142" 35.25 1.1933 3.1195 41.8368 32.1329 37.496 0 0 0 0 0 0 0
"143" 35.5 1.1829 3.0735 41.7763 32.1247 37.6237 0 0 0 0 0 0 0
"144" 35.75 1.1733 3.0282 41.7151 32.1159 37.7512 0 0 0 0 0 0 0
"145" 36 1.1645 2.9834 41.6534 32.1066 37.8785 0 0 0 0 0 0 0
"146" 36.25 1.1565 2.9393 41.5911 32.0968 38.0055 0 0 0 0 0 0 0
"147" 36.5 1.1493 2.8958 41.5282 32.0864 38.1324 0 0 0 0 0 0 0
"148" 36.75 1.1429 2.8529 41.4647 32.0756 38.2591 0 0 0 0 0 0 0
"149" 37 1.1372 2.8106 41.4007 32.0643 38.3856 0 0 0 0 0 0 0
"150" 37.25 1.1322 2.7689 41.3362 32.0525 38.5119 0 0 0 0 0 0 0
"151" 37.5 1.1279 2.7278 41.2712 32.0402 38.6381 0 0 0 0 0 0 0
"152" 37.75 1.1244 2.6873 41.2056 32.0275 38.764 0 0 0 0 0 0 0
"153" 38 1.1216 2.6473 41.1395 32.0143 38.8898 0 0 0 0 0 0 0
"154" 38.25 1.1194 2.6079 41.0729 32.0006 39.0154 0 0 0 0 0 0 0
"155" 38.5 1.118 2.5691 41.0058 31.9865 39.1408 0 0 0 0 0 0 0
"156" 38.75 1.1173 2.5308 40.9382 31.9719 39.266 0 0 0 0 0 0 0
"157" 39 1.1172 2.493 40.8702 31.9568 39.391 0 0 0 0 0 0 0
"158" 39.25 1.1178 2.4558 40.8017 31.9413 39.5159 0 0 0 0 0 0 0
"159" 39.5 1.1192 2.4191 40.7326 31.9254 39.6405 0 0 0 0 0 0 0
"160" 39.75 1.1212 2.383 40.6632 31.909 39.765 0 0 0 0 0 0 0
"161" 40 1.1239 2.3473 40.5932 31.8921 39.8893 0 0 0 0 0 0 0
"162" 40.25 1.1273 2.3122 40.5229 31.8748 40.0134 0 0 0 0 0 0 0
