"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1335 0.1381 0.1567 0.1665 0.178 0 0 0 0 0 0 0
"3" 0.5 0.162 0.1589 0.1888 0.198 0.2112 0 0 0 0 0 0 0
"4" 0.75 0.1966 0.1829 0.2276 0.2354 0.2506 0 0 0 0 0 0 0
"5" 1 0.2386 0.2105 0.2743 0.2799 0.2974 0 0 0 0 0 0 0
"6" 1.25 0.2895 0.2422 0.3305 0.3329 0.3528 0 0 0 0 0 0 0
"7" 1.5 0.3512 0.2787 0.3983 0.3958 0.4186 0 0 0 0 0 0 0
"8" 1.75 0.4261 0.3207 0.48 0.4705 0.4966 0 0 0 0 0 0 0
"9" 2 0.517 0.369 0.5784 0.5594 0.5891 0 0 0 0 0 0 0
"10" 2.25 0.6272 0.4246 0.6969 0.6649 0.6987 0 0 0 0 0 0 0
"11" 2.5 0.7608 0.4885 0.8396 0.7903 0.8287 0 0 0 0 0 0 0
"12" 2.75 0.9228 0.562 1.0115 0.9392 0.9828 0 0 0 0 0 0 0
"13" 3 1.119 0.6464 1.2185 1.116 1.1654 0 0 0 0 0 0 0
"14" 3.25 1.3569 0.7436 1.4677 1.3258 1.3817 0 0 0 0 0 0 0
"15" 3.5 1.6449 0.8551 1.7675 1.5747 1.6378 0 0 0 0 0 0 0
"16" 3.75 1.9937 0.9833 2.1283 1.8698 1.9409 0 0 0 0 0 0 0
"17" 4 2.4157 1.1305 2.5621 2.2195 2.2994 0 0 0 0 0 0 0
"18" 4.25 2.926 1.2994 3.0836 2.6335 2.7232 0 0 0 0 0 0 0
"19" 4.5 3.5425 1.4932 3.7101 3.1232 3.2236 0 0 0 0 0 0 0
"20" 4.75 4.2866 1.7152 4.4621 3.7015 3.8139 0 0 0 0 0 0 0
"21" 5 5.1836 1.9694 5.3638 4.3835 4.5091 0 0 0 0 0 0 0
"22" 5.25 6.2627 2.26 6.4437 5.186 5.3264 0 0 0 0 0 0 0
"23" 5.5 7.5581 2.5916 7.7347 6.1273 6.2846 0 0 0 0 0 0 0
"24" 5.75 9.1081 2.969 9.2742 7.2273 7.4041 0 0 0 0 0 0 0
"25" 6 10.9543 3.397 11.104 8.5054 8.7056 0 0 0 0 0 0 0
"26" 6.25 13.1387 3.8797 13.2678 9.9781 10.2075 0 0 0 0 0 0 0
"27" 6.5 15.6967 4.4197 15.8067 11.6535 11.921 0 0 0 0 0 0 0
"28" 6.75 18.6409 5.0148 18.7465 13.5186 13.8384 0 0 0 0 0 0 0
