"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1313 0.1437 0.151 0.1656 0.1749 0 0 0 0 0 0 0
"3" 0.5 0.1566 0.172 0.1754 0.196 0.204 0 0 0 0 0 0 0
"4" 0.75 0.1868 0.2059 0.2038 0.2318 0.2379 0 0 0 0 0 0 0
"5" 1 0.2229 0.2465 0.2367 0.2742 0.2774 0 0 0 0 0 0 0
"6" 1.25 0.266 0.2951 0.2749 0.3244 0.3235 0 0 0 0 0 0 0
"7" 1.5 0.3173 0.3533 0.3193 0.3838 0.3773 0 0 0 0 0 0 0
"8" 1.75 0.3785 0.4229 0.3709 0.4539 0.4399 0 0 0 0 0 0 0
"9" 2 0.4515 0.5062 0.4307 0.5369 0.5129 0 0 0 0 0 0 0
"10" 2.25 0.5386 0.6059 0.5003 0.6349 0.598 0 0 0 0 0 0 0
"11" 2.5 0.6424 0.7252 0.581 0.7508 0.6971 0 0 0 0 0 0 0
"12" 2.75 0.7661 0.8678 0.6746 0.8878 0.8126 0 0 0 0 0 0 0
"13" 3 0.9136 1.0385 0.7834 1.0496 0.9471 0 0 0 0 0 0 0
"14" 3.25 1.0893 1.2426 0.9096 1.2407 1.1038 0 0 0 0 0 0 0
"15" 3.5 1.2987 1.4867 1.056 1.4664 1.2862 0 0 0 0 0 0 0
"16" 3.75 1.548 1.7784 1.2258 1.7327 1.4984 0 0 0 0 0 0 0
"17" 4 1.8447 2.127 1.4228 2.0468 1.7454 0 0 0 0 0 0 0
"18" 4.25 2.1978 2.5434 1.6511 2.4172 2.0324 0 0 0 0 0 0 0
"19" 4.5 2.6177 3.0406 1.9157 2.8535 2.366 0 0 0 0 0 0 0
"20" 4.75 3.1166 3.6338 2.2221 3.367 2.7532 0 0 0 0 0 0 0
"21" 5 3.7088 4.341 2.5767 3.9706 3.2023 0 0 0 0 0 0 0
"22" 5.25 4.4111 5.1834 2.9867 4.6792 3.7226 0 0 0 0 0 0 0
"23" 5.5 5.2426 6.1857 3.4603 5.5095 4.3241 0 0 0 0 0 0 0
"24" 5.75 6.2252 7.3762 4.0067 6.4799 5.0183 0 0 0 0 0 0 0
"25" 6 7.3834 8.7874 4.6356 7.6104 5.8171 0 0 0 0 0 0 0
"26" 6.25 8.7437 10.4552 5.3578 8.9219 6.7328 0 0 0 0 0 0 0
"27" 6.5 10.3336 12.4187 6.184 10.4337 7.7766 0 0 0 0 0 0 0
"28" 6.75 12.1786 14.7163 7.1241 12.1609 8.9571 0 0 0 0 0 0 0
"29" 7 14.2955 17.3802 8.1846 14.1067 10.2754 0 0 0 0 0 0 0
"30" 7.25 16.6793 20.4213 9.3638 16.248 11.7171 0 0 0 0 0 0 0
"31" 7.5 19.2719 23.7943 10.6395 18.5051 13.2331 0 0 0 0 0 0 0
"32" 7.75 21.8923 27.3131 11.9409 20.6786 14.7001 0 0 0 0 0 0 0
"33" 8 24.1116 30.4763 13.0871 22.3605 15.8568 0 0 0 0 0 0 0
"34" 8.25 25.3509 32.4975 13.7957 23.1012 16.3926 0 0 0 0 0 0 0
"35" 8.5 25.7134 33.3762 14.0696 23.0995 16.418 0 0 0 0 0 0 0
"36" 8.75 25.7793 33.8462 14.1867 22.866 16.2792 0 0 0 0 0 0 0
"37" 9 25.788 34.2386 14.2731 22.592 16.1111 0 0 0 0 0 0 0
"38" 9.25 25.7861 34.6197 14.3541 22.3134 15.939 0 0 0 0 0 0 0
"39" 9.5 25.7809 35 14.4337 22.0359 15.7671 0 0 0 0 0 0 0
"40" 9.75 25.7736 35.3813 14.5126 21.7603 15.5959 0 0 0 0 0 0 0
"41" 10 25.7644 35.7637 14.5907 21.4868 15.4256 0 0 0 0 0 0 0
"42" 10.25 25.7532 36.1472 14.6682 21.2154 15.2562 0 0 0 0 0 0 0
"43" 10.5 25.74 36.5318 14.745 20.9461 15.0877 0 0 0 0 0 0 0
"44" 10.75 25.725 36.9175 14.821 20.6788 14.9201 0 0 0 0 0 0 0
"45" 11 25.7081 37.3041 14.8964 20.4137 14.7534 0 0 0 0 0 0 0
"46" 11.25 25.6893 37.6917 14.971 20.1508 14.5876 0 0 0 0 0 0 0
"47" 11.5 25.6686 38.0802 15.0449 19.89 14.4229 0 0 0 0 0 0 0
"48" 11.75 25.6461 38.4696 15.118 19.6313 14.259 0 0 0 0 0 0 0
"49" 12 25.6217 38.8598 15.1904 19.3748 14.0962 0 0 0 0 0 0 0
"50" 12.25 25.5954 39.2507 15.262 19.1205 13.9344 0 0 0 0 0 0 0
"51" 12.5 25.5674 39.6424 15.3328 18.8683 13.7735 0 0 0 0 0 0 0
"52" 12.75 25.5375 40.0349 15.4029 18.6184 13.6137 0 0 0 0 0 0 0
"53" 13 25.5058 40.4279 15.4721 18.3706 13.455 0 0 0 0 0 0 0
"54" 13.25 25.4724 40.8216 15.5405 18.125 13.2972 0 0 0 0 0 0 0
"55" 13.5 25.4372 41.2158 15.6082 17.8817 13.1405 0 0 0 0 0 0 0
"56" 13.75 25.4002 41.6106 15.675 17.6405 12.9849 0 0 0 0 0 0 0
"57" 14 25.3616 42.0059 15.7409 17.4016 12.8304 0 0 0 0 0 0 0
"58" 14.25 25.3212 42.4016 15.8061 17.1649 12.6769 0 0 0 0 0 0 0
"59" 14.5 25.2791 42.7977 15.8704 16.9304 12.5245 0 0 0 0 0 0 0
"60" 14.75 25.2353 43.1942 15.9338 16.6981 12.3733 0 0 0 0 0 0 0
"61" 15 25.1899 43.591 15.9964 16.4681 12.2231 0 0 0 0 0 0 0
"62" 15.25 25.1428 43.9882 16.0581 16.2402 12.0741 0 0 0 0 0 0 0
"63" 15.5 25.0941 44.3855 16.119 16.0146 11.9262 0 0 0 0 0 0 0
"64" 15.75 25.0438 44.7831 16.1789 15.7913 11.7794 0 0 0 0 0 0 0
"65" 16 24.9919 45.1808 16.238 15.5701 11.6337 0 0 0 0 0 0 0
"66" 16.25 24.9385 45.5787 16.2963 15.3512 11.4892 0 0 0 0 0 0 0
"67" 16.5 24.8835 45.9767 16.3536 15.1345 11.3459 0 0 0 0 0 0 0
"68" 16.75 24.8273 46.3677 16.4102 14.9202 11.2038 0 0 0 0 0 0 0
"69" 17 24.782 46.6661 16.4743 14.7144 11.0676 0 0 0 0 0 0 0
"70" 17.25 24.7522 46.9021 16.5527 14.5218 10.9353 0 0 0 0 0 0 0
"71" 17.5 24.7136 47.1114 16.6482 14.3439 10.7997 0 0 0 0 0 0 0
"72" 17.75 24.6657 47.3023 16.7623 14.1812 10.6623 0 0 0 0 0 0 0
"73" 18 24.6087 47.4752 16.8954 14.0332 10.5233 0 0 0 0 0 0 0
"74" 18.25 24.543 47.6304 17.045 13.8998 10.383 0 0 0 0 0 0 0
"75" 18.5 24.4719 47.7745 17.1948 13.7812 10.2427 0 0 0 0 0 0 0
"76" 18.75 24.397 47.9108 17.3429 13.6772 10.1028 0 0 0 0 0 0 0
"77" 19 24.3186 48.0394 17.4894 13.5876 9.9635 0 0 0 0 0 0 0
"78" 19.25 24.2367 48.1606 17.6342 13.512 9.8248 0 0 0 0 0 0 0
"79" 19.5 24.1515 48.2743 17.7774 13.45 9.6869 0 0 0 0 0 0 0
"80" 19.75 24.0631 48.3808 17.9191 13.4014 9.5497 0 0 0 0 0 0 0
"81" 20 23.9716 48.4801 18.059 13.3658 9.4134 0 0 0 0 0 0 0
"82" 20.25 23.877 48.5723 18.1974 13.3432 9.2778 0 0 0 0 0 0 0
"83" 20.5 23.7795 48.6575 18.3341 13.3333 9.1432 0 0 0 0 0 0 0
"84" 20.75 23.6792 48.7356 18.4691 13.3359 9.0095 0 0 0 0 0 0 0
"85" 21 23.5761 48.8069 18.6024 13.3509 8.8767 0 0 0 0 0 0 0
"86" 21.25 23.4703 48.8712 18.734 13.3783 8.7448 0 0 0 0 0 0 0
"87" 21.5 23.3618 48.9286 18.8638 13.4179 8.614 0 0 0 0 0 0 0
"88" 21.75 23.2508 48.9791 18.9919 13.4697 8.4841 0 0 0 0 0 0 0
