"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1324 0.1428 0.154 0.1595 0.1766 0 0 0 0 0 0 0
"3" 0.5 0.1592 0.17 0.1825 0.1817 0.208 0 0 0 0 0 0 0
"4" 0.75 0.1916 0.2023 0.2163 0.2071 0.2449 0 0 0 0 0 0 0
"5" 1 0.2305 0.2408 0.2563 0.2359 0.2883 0 0 0 0 0 0 0
"6" 1.25 0.2773 0.2865 0.3037 0.2687 0.3394 0 0 0 0 0 0 0
"7" 1.5 0.3336 0.341 0.3598 0.3061 0.3996 0 0 0 0 0 0 0
"8" 1.75 0.4014 0.4057 0.4263 0.3487 0.4704 0 0 0 0 0 0 0
"9" 2 0.4828 0.4828 0.505 0.3972 0.5538 0 0 0 0 0 0 0
"10" 2.25 0.5807 0.5745 0.5983 0.4525 0.6518 0 0 0 0 0 0 0
"11" 2.5 0.6984 0.6835 0.7087 0.5153 0.7672 0 0 0 0 0 0 0
"12" 2.75 0.84 0.8132 0.8395 0.5868 0.9029 0 0 0 0 0 0 0
"13" 3 1.01 0.9674 0.9944 0.6682 1.0625 0 0 0 0 0 0 0
"14" 3.25 1.2144 1.1507 1.1777 0.7608 1.2502 0 0 0 0 0 0 0
"15" 3.5 1.4599 1.3685 1.3947 0.8661 1.4707 0 0 0 0 0 0 0
"16" 3.75 1.7547 1.6275 1.6514 0.9857 1.7299 0 0 0 0 0 0 0
"17" 4 2.1085 1.935 1.9551 1.1217 2.0342 0 0 0 0 0 0 0
"18" 4.25 2.5331 2.3002 2.3141 1.276 2.3914 0 0 0 0 0 0 0
"19" 4.5 3.042 2.7336 2.7385 1.4511 2.8103 0 0 0 0 0 0 0
"20" 4.75 3.6518 3.2476 3.2397 1.6496 3.3013 0 0 0 0 0 0 0
"21" 5 4.3816 3.8568 3.8314 1.8743 3.8761 0 0 0 0 0 0 0
"22" 5.25 5.254 4.578 4.5291 2.1283 4.5481 0 0 0 0 0 0 0
"23" 5.5 6.2951 5.4308 5.3509 2.4148 5.3323 0 0 0 0 0 0 0
"24" 5.75 7.5351 6.4375 6.3174 2.7373 6.2454 0 0 0 0 0 0 0
"25" 6 9.0077 7.6231 7.4517 3.0989 7.3053 0 0 0 0 0 0 0
"26" 6.25 10.7498 9.015 8.779 3.5025 8.5303 0 0 0 0 0 0 0
"27" 6.5 12.7994 10.6417 10.3257 3.9497 9.9374 0 0 0 0 0 0 0
"28" 6.75 15.1908 12.5302 12.1169 4.4403 11.5391 0 0 0 0 0 0 0
"29" 7 17.9442 14.6985 14.1702 4.9693 13.3353 0 0 0 0 0 0 0
"30" 7.25 21.042 17.141 16.4827 5.5229 15.2984 0 0 0 0 0 0 0
"31" 7.5 24.3733 19.79 18.9966 6.0688 17.3378 0 0 0 0 0 0 0
"32" 7.75 27.6045 22.4216 21.5137 6.5365 19.2229 0 0 0 0 0 0 0
"33" 8 30.0053 24.4966 23.5399 6.8029 20.5007 0 0 0 0 0 0 0
"34" 8.25 30.9921 25.496 24.568 6.809 20.8738 0 0 0 0 0 0 0
