"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1294 0.1431 0.1501 0.1673 0.1786 0 0 0 0 0 0 0
"3" 0.5 0.1522 0.1706 0.1733 0.1999 0.2126 0 0 0 0 0 0 0
"4" 0.75 0.179 0.2035 0.2001 0.2389 0.2532 0 0 0 0 0 0 0
"5" 1 0.2106 0.2426 0.231 0.2855 0.3014 0 0 0 0 0 0 0
"6" 1.25 0.2477 0.2893 0.2667 0.3411 0.3588 0 0 0 0 0 0 0
"7" 1.5 0.2914 0.3449 0.3079 0.4075 0.4271 0 0 0 0 0 0 0
"8" 1.75 0.3427 0.4112 0.3555 0.4869 0.5085 0 0 0 0 0 0 0
"9" 2 0.403 0.4902 0.4104 0.5817 0.6052 0 0 0 0 0 0 0
"10" 2.25 0.4739 0.5844 0.4738 0.6948 0.7204 0 0 0 0 0 0 0
"11" 2.5 0.5573 0.6967 0.5469 0.8299 0.8573 0 0 0 0 0 0 0
"12" 2.75 0.6553 0.8304 0.6312 0.9911 1.0202 0 0 0 0 0 0 0
"13" 3 0.7704 0.9898 0.7285 1.1835 1.2139 0 0 0 0 0 0 0
"14" 3.25 0.9056 1.1796 0.8408 1.4131 1.4442 0 0 0 0 0 0 0
"15" 3.5 1.0645 1.4056 0.9703 1.6868 1.7179 0 0 0 0 0 0 0
"16" 3.75 1.2509 1.6747 1.1195 2.0131 2.043 0 0 0 0 0 0 0
"17" 4 1.4698 1.995 1.2916 2.4018 2.4291 0 0 0 0 0 0 0
"18" 4.25 1.7265 2.376 1.4898 2.8647 2.8873 0 0 0 0 0 0 0
"19" 4.5 2.0275 2.8291 1.7182 3.4154 3.4307 0 0 0 0 0 0 0
"20" 4.75 2.38 3.3675 1.981 4.0699 4.0747 0 0 0 0 0 0 0
