"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1263 0.1485 0.1555 0.1683 0.1803 0 0 0 0 0 0 0
"3" 0.5 0.145 0.1838 0.1859 0.2023 0.2167 0 0 0 0 0 0 0
"4" 0.75 0.1665 0.2275 0.2223 0.2432 0.2605 0 0 0 0 0 0 0
"5" 1 0.1911 0.2815 0.2659 0.2924 0.3131 0 0 0 0 0 0 0
"6" 1.25 0.2194 0.3484 0.3179 0.3515 0.3763 0 0 0 0 0 0 0
"7" 1.5 0.2519 0.4311 0.3801 0.4225 0.4522 0 0 0 0 0 0 0
"8" 1.75 0.2892 0.5335 0.4545 0.5078 0.5434 0 0 0 0 0 0 0
"9" 2 0.3319 0.6601 0.5435 0.6102 0.6529 0 0 0 0 0 0 0
"10" 2.25 0.381 0.8167 0.6497 0.7333 0.7845 0 0 0 0 0 0 0
"11" 2.5 0.4373 1.0103 0.7768 0.881 0.9425 0 0 0 0 0 0 0
"12" 2.75 0.5019 1.2498 0.9285 1.0584 1.1322 0 0 0 0 0 0 0
"13" 3 0.5759 1.5458 1.1099 1.2713 1.3598 0 0 0 0 0 0 0
"14" 3.25 0.6608 1.9117 1.3264 1.5268 1.6329 0 0 0 0 0 0 0
"15" 3.5 0.758 2.3637 1.585 1.833 1.9604 0 0 0 0 0 0 0
"16" 3.75 0.8694 2.922 1.8937 2.2 2.353 0 0 0 0 0 0 0
"17" 4 0.9969 3.6111 2.262 2.6395 2.8232 0 0 0 0 0 0 0
"18" 4.25 1.1427 4.4612 2.7011 3.1652 3.3859 0 0 0 0 0 0 0
"19" 4.5 1.3094 5.5091 3.2244 3.7934 4.0587 0 0 0 0 0 0 0
"20" 4.75 1.4996 6.7994 3.8475 4.5429 4.8619 0 0 0 0 0 0 0
"21" 5 1.7165 8.3862 4.5883 5.4353 5.8192 0 0 0 0 0 0 0
"22" 5.25 1.9632 10.334 5.4678 6.4949 6.9573 0 0 0 0 0 0 0
"23" 5.5 2.2429 12.7192 6.5097 7.7485 8.306 0 0 0 0 0 0 0
