"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1301 0.1364 0.1488 0.1692 0.18 0.1896 0.2099 0.2134 0.2356 0.2428 0.2504 0.2589 5.9505 9.9423 13.9326 3.9733 8.9593
"3" 0.5 0.1539 0.155 0.1702 0.2044 0.2161 0.2246 0.2591 0.2531 0.2921 0.2948 0.2986 0.3046 5.8943 9.8763 13.8557 3.943 8.9127
"4" 0.75 0.182 0.1761 0.1947 0.2469 0.2593 0.266 0.3199 0.3 0.3622 0.3578 0.356 0.3583 5.8298 9.7999 13.7673 3.9083 8.8587
"5" 1 0.2152 0.2001 0.2228 0.2982 0.3111 0.3151 0.3949 0.3555 0.4489 0.4342 0.4244 0.4213 5.7553 9.7109 13.6647 3.8682 8.7956
"6" 1.25 0.2545 0.2273 0.2548 0.36 0.3731 0.3731 0.4874 0.4213 0.5563 0.5268 0.5058 0.4954 5.6685 9.6063 13.5448 3.8215 8.7214
"7" 1.5 0.3008 0.2581 0.2914 0.4346 0.4474 0.4417 0.6014 0.499 0.6892 0.639 0.6026 0.5823 5.5671 9.4828 13.404 3.7669 8.6336
"8" 1.75 0.3554 0.2932 0.3333 0.5243 0.5363 0.5228 0.7421 0.5909 0.8537 0.7748 0.7178 0.6843 5.4479 9.3362 13.2378 3.7027 8.5292
"9" 2 0.4199 0.3328 0.381 0.6323 0.6426 0.6186 0.9154 0.6994 1.057 0.9391 0.8547 0.8037 5.3073 9.1617 13.0411 3.627 8.4048
"10" 2.25 0.4958 0.3778 0.4355 0.7622 0.7697 0.7317 1.129 0.8275 1.3082 1.1377 1.0172 0.9435 5.1412 8.9533 12.8075 3.5375 8.2558
"11" 2.5 0.5852 0.4287 0.4976 0.9181 0.9213 0.8649 1.392 0.9783 1.6181 1.3775 1.21 1.1069 4.9446 8.704 12.5297 3.4315 8.0773
"12" 2.75 0.6902 0.4863 0.5683 1.105 1.102 1.0215 1.7156 1.1557 2.0002 1.6665 1.4381 1.2976 4.7116 8.4056 12.199 3.3058 7.8631
"13" 3 0.8135 0.5512 0.6488 1.3284 1.317 1.2053 2.1133 1.3637 2.4703 2.0143 1.7077 1.5196 4.4356 8.048 11.8053 3.1568 7.6059
"14" 3.25 0.9578 0.6243 0.7402 1.5948 1.5719 1.4203 2.6016 1.6069 3.0476 2.4317 2.0253 1.7772 4.1089 7.62 11.3369 2.9802 7.2973
"15" 3.5 1.1262 0.7062 0.8436 1.911 1.8732 1.6707 3.2002 1.8897 3.7542 2.9308 2.3978 2.0749 3.7231 7.1085 10.7807 2.7714 6.9274
"16" 3.75 1.3218 0.7974 0.96 2.2844 2.2274 1.9603 3.9324 2.2163 4.6155 3.5246 2.832 2.417 3.2695 6.4991 10.1227 2.5256 6.4853
"17" 4 1.5464 0.8981 1.0898 2.7214 2.6409 2.2914 4.8251 2.5887 5.6588 4.226 3.3326 2.8064 2.7399 5.7776 9.3491 2.2379 5.9597
"18" 4.25 1.7986 1.0071 1.2321 3.2261 3.1176 2.6623 5.9086 3.0041 6.9101 5.0448 3.899 3.2438 2.1298 4.9317 8.4495 1.9055 5.3399
"19" 4.5 2.0704 1.1208 1.3831 3.7962 3.6567 3.0603 7.1936 3.4462 8.3866 5.9824 4.5143 3.7237 1.4469 3.9637 7.4302 1.5322 4.6255
"20" 4.75 2.3314 1.2267 1.5281 4.4158 4.245 3.439 8.6132 3.8601 10.0797 7.0204 5.1121 4.2287 0.7366 2.9208 6.3493 1.1421 3.8482
"21" 5 2.4836 1.2852 1.6164 4.9255 4.7167 3.6535 9.7944 4.0821 11.754 8.0262 5.4707 4.595 0.191 2.0572 5.484 0.8452 3.1929
"22" 5.25 2.4614 1.2672 1.6039 5.0377 4.8203 3.6139 10.1701 4.0246 12.5435 8.4577 5.4348 4.6233 0.0762 1.8014 5.263 0.7856 2.9871
"23" 5.5 2.4042 1.2336 1.5692 5.0471 4.8273 3.5245 10.3189 3.915 13.0416 8.7004 5.3182 4.5716 0.0715 1.7117 5.2137 0.7856 2.9074
"24" 5.75 2.3465 1.2 1.5341 5.0502 4.8286 3.4347 10.4551 3.8056 13.5371 8.9364 5.1997 4.516 0.0706 1.6276 5.1712 0.7878 2.8329
"25" 6 2.2893 1.1669 1.4992 5.0506 4.8272 3.346 10.5865 3.698 14.0409 9.1725 5.0819 4.459 0.0699 1.5433 5.1299 0.7901 2.7592
