"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1313 0.1408 0.1656 0.1679 0.1773 0.191 0.204 0.2147 0.2241 0.238 0.249 0.26 5.9508 9.9445 13.9335 3.9735 8.9606
"3" 0.5 0.1566 0.1651 0.211 0.2014 0.2096 0.228 0.2448 0.256 0.2642 0.2833 0.2953 0.3071 5.895 9.8817 13.8581 3.9436 8.9158
"4" 0.75 0.1868 0.1937 0.2688 0.2415 0.2477 0.272 0.2938 0.3051 0.3115 0.337 0.3501 0.3628 5.8312 9.8097 13.7716 3.9094 8.8645
"5" 1 0.2229 0.2271 0.3423 0.2895 0.2927 0.3246 0.3525 0.3637 0.3672 0.401 0.415 0.4284 5.7575 9.7268 13.6718 3.8699 8.8052
"6" 1.25 0.2658 0.2663 0.4358 0.347 0.3457 0.3873 0.4229 0.4334 0.4329 0.4769 0.4919 0.5058 5.672 9.6306 13.5557 3.8242 8.7361
"7" 1.5 0.3169 0.3122 0.5549 0.4158 0.4083 0.4619 0.5073 0.5163 0.5101 0.5671 0.5828 0.5971 5.5721 9.5182 13.4199 3.771 8.6553
"8" 1.75 0.3778 0.3659 0.7062 0.498 0.4821 0.5508 0.6084 0.6149 0.601 0.6741 0.6903 0.7045 5.4549 9.3865 13.2605 3.7086 8.5602
"9" 2 0.4501 0.4287 0.8985 0.5963 0.5691 0.6566 0.7296 0.7319 0.7079 0.8011 0.8174 0.831 5.317 9.2314 13.0726 3.6353 8.4479
"10" 2.25 0.5362 0.5022 1.1428 0.7135 0.6714 0.7824 0.8748 0.8708 0.8335 0.9516 0.9675 0.9796 5.1543 9.0485 12.8506 3.549 8.315
"11" 2.5 0.6384 0.5881 1.4527 0.8533 0.7917 0.9317 1.0486 1.0354 0.981 1.1297 1.1445 1.1541 4.9619 8.8321 12.5876 3.4472 8.1574
"12" 2.75 0.7595 0.6884 1.8457 1.0196 0.933 1.1086 1.2566 1.23 1.154 1.3403 1.353 1.3586 4.7341 8.576 12.2759 3.3269 7.9701
"13" 3 0.903 0.8052 2.3433 1.2172 1.0985 1.3179 1.5052 1.4597 1.3566 1.5888 1.5979 1.5978 4.4645 8.2726 11.9062 3.1847 7.7475
"14" 3.25 1.0725 0.941 2.9722 1.4512 1.292 1.5646 1.8023 1.7298 1.5934 1.8815 1.885 1.8768 4.1454 7.9132 11.468 3.0169 7.4828
"15" 3.5 1.2723 1.098 3.7646 1.7274 1.5176 1.8542 2.1567 2.046 1.8694 2.2249 2.2201 2.201 3.7685 7.4883 10.9492 2.8191 7.1685
"16" 3.75 1.5065 1.2788 4.757 2.0515 1.7792 2.1918 2.5788 2.4135 2.19 2.6262 2.6089 2.5756 3.3252 6.9875 10.3374 2.5868 6.7964
"17" 4 1.778 1.4849 5.9893 2.4293 2.0807 2.5815 3.0805 2.8357 2.5603 3.0921 3.0554 3.0051 2.8073 6.4007 9.6203 2.316 6.358
"18" 4.25 2.0867 1.7164 7.4978 2.8644 2.4247 3.0228 3.6744 3.3111 2.9846 3.6276 3.5594 3.4918 2.21 5.7207 8.7895 2.0043 5.8466
"19" 4.5 2.4249 1.9677 9.291 3.3568 2.8109 3.5037 4.3594 3.8246 3.4644 4.2337 4.108 4.0331 1.5403 4.9527 7.8522 1.6555 5.2643
"20" 4.75 2.7619 2.2178 11.2688 3.8979 3.233 3.9783 5.1054 4.323 3.9952 4.9022 4.6515 4.6165 0.8395 4.1371 6.8595 1.2911 4.6381
"21" 5 2.9979 2.3965 12.9355 4.3857 3.6003 4.303 5.7638 4.6492 4.5262 5.5804 5.0302 5.0977 0.2701 3.4538 6.0299 0.9994 4.0985
"22" 5.25 3.0242 2.4187 13.5173 4.5637 3.7287 4.3289 6.0418 4.6565 4.8132 5.9491 5.0676 5.2273 0.096 3.22 5.7485 0.9165 3.8956
"23" 5.5 2.9778 2.3841 13.6522 4.6051 3.7514 4.2537 6.1393 4.5605 4.9632 6.1406 4.986 5.2147 0.0838 3.1774 5.6998 0.9173 3.8417
"24" 5.75 2.9268 2.3458 13.7523 4.6354 3.7656 4.1726 6.2225 4.4592 5.1042 6.3206 4.8971 5.191 0.0828 3.1487 5.6676 0.9239 3.7989
"25" 6 2.8757 2.3073 13.8467 4.6639 3.7781 4.0918 6.3038 4.3588 5.2467 6.5026 4.8083 5.1654 0.0822 3.1209 5.6365 0.931 3.757
"26" 6.25 2.8248 2.2689 13.9363 4.6908 3.7894 4.0115 6.3838 4.2597 5.3909 6.6871 4.7199 5.1384 0.0816 3.0937 5.6057 0.9382 3.7156
"27" 6.5 2.7741 2.2305 14.0211 4.7163 3.7995 3.9318 6.4623 4.1619 5.5369 6.874 4.6319 5.1098 0.081 3.0669 5.5754 0.9456 3.6748
"28" 6.75 2.7236 2.1923 14.101 4.7401 3.8083 3.8527 6.5394 4.0654 5.6846 7.0631 4.5444 5.0799 0.0805 3.0407 5.5454 0.9532 3.6345
"29" 7 2.6733 2.1541 14.176 4.7623 3.8158 3.7743 6.6149 3.9701 5.8338 7.2544 4.4574 5.0485 0.0799 3.015 5.5158 0.9609 3.5949
"30" 7.25 2.6232 2.116 14.246 4.783 3.822 3.6965 6.6887 3.8762 5.9846 7.4479 4.371 5.0158 0.0793 2.9898 5.4866 0.9689 3.556
