"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1317 0.1499 0.1529 0.1632 0.1819 0.1909 0.2071 0.2124 0.2233 0.2306 0.252 0.2601 5.9518 9.9443 13.9345 3.9735 8.9608
"3" 0.5 0.1577 0.1872 0.1797 0.1903 0.2205 0.2277 0.2523 0.2505 0.2625 0.2659 0.3023 0.3076 5.8973 9.8811 13.8604 3.9434 8.9162
"4" 0.75 0.1889 0.2337 0.2113 0.2218 0.2674 0.2716 0.3073 0.2955 0.3085 0.3065 0.3626 0.3636 5.8351 9.8087 13.7757 3.9091 8.8651
"5" 1 0.2261 0.2918 0.2484 0.2586 0.324 0.3239 0.3742 0.3484 0.3625 0.3532 0.4349 0.4297 5.7637 9.7251 13.678 3.8694 8.806
"6" 1.25 0.2706 0.3642 0.292 0.3013 0.3927 0.3862 0.4557 0.4108 0.4259 0.4071 0.5215 0.5077 5.6812 9.6279 13.5648 3.8235 8.7371
"7" 1.5 0.3237 0.4545 0.3432 0.3509 0.4757 0.4604 0.5549 0.4842 0.5003 0.469 0.6251 0.5997 5.5852 9.5144 13.4326 3.7698 8.6565
"8" 1.75 0.3873 0.567 0.4032 0.4087 0.5761 0.5487 0.6756 0.5705 0.5875 0.5402 0.7492 0.7082 5.473 9.3811 13.2777 3.707 8.5616
"9" 2 0.4631 0.7072 0.4737 0.4757 0.6974 0.6537 0.8224 0.6719 0.6898 0.622 0.8975 0.8359 5.3416 9.2241 13.0955 3.6331 8.4496
"10" 2.25 0.5536 0.8817 0.5563 0.5536 0.8438 0.7785 1.0009 0.7911 0.8095 0.716 1.0748 0.9861 5.1871 9.0386 12.8805 3.546 8.3168
"11" 2.5 0.6614 1.0987 0.6531 0.6437 1.0204 0.9267 1.2178 0.9308 0.9497 0.8238 1.2864 1.1626 5.0052 8.819 12.6264 3.4431 8.1593
"12" 2.75 0.7897 1.3684 0.7664 0.7481 1.233 1.1023 1.4813 1.0943 1.1136 0.9472 1.5386 1.3696 4.7908 8.5589 12.3256 3.3215 7.9719
"13" 3 0.9421 1.7029 0.8988 0.8685 1.4885 1.31 1.801 1.2854 1.3048 1.0884 1.8387 1.6119 4.5381 8.2505 11.9695 3.1778 7.7491
"14" 3.25 1.1228 2.117 1.0534 1.0073 1.7949 1.5549 2.1887 1.5081 1.5276 1.2494 2.1948 1.8946 4.2403 7.8851 11.548 3.008 7.484
"15" 3.5 1.3364 2.6278 1.2334 1.1664 2.1609 1.8428 2.6581 1.7663 1.7865 1.4325 2.6159 2.2232 3.8902 7.4528 11.0499 2.8077 7.169
"16" 3.75 1.5879 3.2548 1.4424 1.348 2.5961 2.1792 3.2257 2.0642 2.0861 1.6398 3.1113 2.6031 3.4798 6.9428 10.4628 2.5724 6.7956
"17" 4 1.882 4.0185 1.6832 1.5537 3.1101 2.569 3.9102 2.4046 2.4309 1.8728 3.6896 3.0387 3.0016 6.3441 9.7744 2.2973 6.3547
"18" 4.25 2.2215 4.9374 1.9574 1.7838 3.7107 3.0142 4.7335 2.7875 2.8244 2.1321 4.3554 3.5321 2.4505 5.6476 8.9746 1.9791 5.838
"19" 4.5 2.6022 6.018 2.2633 2.0364 4.4004 3.5091 5.7134 3.2058 3.267 2.4159 5.1028 4.0797 1.8281 4.8515 8.0624 1.6184 5.242
"20" 4.75 3.0052 7.2256 2.5887 2.3042 5.1689 4.0269 6.8336 3.6335 3.7525 2.717 5.8958 4.6664 1.1588 3.9804 7.0677 1.2283 4.5824
"21" 5 3.366 8.3926 2.8897 2.5709 5.9775 4.4818 7.9951 3.9947 4.2609 3.0191 6.6098 5.2534 0.5272 3.1292 6.103 0.8559 3.9247
"22" 5.25 3.5377 9.0667 3.0511 2.7498 6.553 4.6855 8.8315 4.1353 4.6959 3.2717 6.9558 5.6169 0.1598 2.5855 5.5007 0.6356 3.4858
"23" 5.5 3.5274 9.1942 3.0611 2.7897 6.7519 4.6559 9.1705 4.084 4.9137 3.3838 6.9426 5.6817 0.0964 2.4376 5.3514 0.5935 3.3468
"24" 5.75 3.485 9.2175 3.0419 2.8007 6.8709 4.5863 9.4006 4.0015 5.0797 3.4611 6.8654 5.6871 0.092 2.3698 5.293 0.586 3.2703
"25" 6 3.4405 9.2319 3.0204 2.8091 6.9844 4.5143 9.6256 3.918 5.2456 3.5366 6.7837 5.6873 0.0913 2.3067 5.2403 0.5807 3.1974
"26" 6.25 3.3956 9.2434 2.9982 2.8167 7.0974 4.4425 9.8524 3.8355 5.4151 3.6127 6.7013 5.6859 0.0907 2.2433 5.1877 0.5756 3.1244
"27" 6.5 3.3507 9.2524 2.9756 2.8237 7.21 4.3709 10.0813 3.754 5.5882 3.6893 6.6185 5.6829 0.0902 2.1794 5.135 0.5704 3.051
"28" 6.75 3.3056 9.2589 2.9524 2.8299 7.322 4.2995 10.3121 3.6735 5.7651 3.7664 6.5352 5.6786 0.0897 2.115 5.0821 0.5652 2.9772
"29" 7 3.2603 9.2627 2.9287 2.8354 7.4335 4.2284 10.5447 3.5941 5.9456 3.844 6.4515 5.6727 0.0892 2.05 5.0291 0.56 2.9032
"30" 7.25 3.215 9.264 2.9045 2.8401 7.5443 4.1576 10.779 3.5157 6.1299 3.9221 6.3674 5.6654 0.0887 1.9846 4.9761 0.5548 2.8289
"31" 7.5 3.1696 9.2626 2.8798 2.8441 7.6543 4.0871 11.0149 3.4383 6.3178 4.0006 6.283 5.6565 0.0882 1.9187 4.923 0.5496 2.7544
"32" 7.75 3.1241 9.2587 2.8546 2.8473 7.7634 4.017 11.2522 3.3621 6.5093 4.0794 6.1983 5.6463 0.0877 1.8524 4.8699 0.5444 2.6796
"33" 8 3.0786 9.2521 2.829 2.8498 7.8717 3.9472 11.4908 3.2869 6.7045 4.1586 6.1134 5.6345 0.0872 1.7857 4.8168 0.5393 2.6048
"34" 8.25 3.0331 9.2429 2.803 2.8515 7.9789 3.8778 11.7305 3.2127 6.9033 4.238 6.0282 5.6213 0.0867 1.7186 4.7638 0.5341 2.5297
"35" 8.5 2.9876 9.2311 2.7765 2.8525 8.0849 3.8088 11.9712 3.1396 7.1056 4.3177 5.9429 5.6066 0.0862 1.6511 4.7109 0.5289 2.4546
"36" 8.75 2.9421 9.2168 2.7496 2.8526 8.1898 3.7403 12.2127 3.0676 7.3115 4.3976 5.8575 5.5904 0.0857 1.5832 4.658 0.5237 2.3795
"37" 9 2.8966 9.1998 2.7224 2.8521 8.2934 3.6722 12.455 2.9967 7.521 4.4776 5.7719 5.5729 0.0852 1.5151 4.6053 0.5185 2.3043
"38" 9.25 2.8513 9.1804 2.6948 2.8508 8.3957 3.6045 12.6979 2.9269 7.7339 4.5577 5.6864 5.554 0.0847 1.4466 4.5528 0.5133 2.2291
"39" 9.5 2.806 9.1584 2.6668 2.8487 8.4966 3.5374 12.9412 2.8581 7.9502 4.6379 5.6009 5.5336 0.0843 1.3778 4.5005 0.5082 2.154
"40" 9.75 2.7608 9.1339 2.6385 2.8459 8.5959 3.4708 13.1848 2.7905 8.1699 4.7181 5.5154 5.5119 0.0838 1.3088 4.4484 0.503 2.0789
"41" 10 2.7157 9.107 2.6099 2.8423 8.6937 3.4048 13.4286 2.7239 8.393 4.7983 5.43 5.4889 0.0833 1.2395 4.3966 0.4979 2.004
