"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.129 0.1371 0.1579 0.163 0.1822 0.199 0.2102 0.2103 0.2276 0.233 0.2405 0.2572 5.9526 9.9449 13.9346 3.9742 8.9605
"3" 0.5 0.1513 0.1567 0.1917 0.1898 0.2213 0.2474 0.2599 0.2457 0.2727 0.2714 0.2754 0.3006 5.899 9.8823 13.8603 3.9451 8.9154
"4" 0.75 0.1774 0.1791 0.2327 0.2209 0.2688 0.3076 0.3214 0.287 0.3266 0.316 0.3153 0.3512 5.8378 9.8105 13.7751 3.9119 8.8635
"5" 1 0.2081 0.2046 0.2825 0.2571 0.3264 0.3824 0.3974 0.3352 0.3912 0.368 0.361 0.4103 5.7674 9.7275 13.6765 3.8736 8.8033
"6" 1.25 0.2439 0.2337 0.3429 0.2991 0.3962 0.4753 0.4912 0.3913 0.4684 0.4284 0.4132 0.4793 5.6857 9.6307 13.5616 3.8292 8.7328
"7" 1.5 0.2859 0.2669 0.4161 0.348 0.4808 0.5905 0.6071 0.4568 0.5608 0.4987 0.4729 0.5597 5.5904 9.5173 13.4269 3.7774 8.6499
"8" 1.75 0.335 0.3048 0.5049 0.4047 0.5833 0.7335 0.7503 0.5331 0.6713 0.5803 0.541 0.6534 5.4784 9.3835 13.2681 3.7166 8.5519
"9" 2 0.3924 0.3481 0.6124 0.4705 0.7074 0.9108 0.927 0.6219 0.8032 0.675 0.6189 0.7625 5.3464 9.2251 13.08 3.6449 8.4355
"10" 2.25 0.4595 0.3973 0.7426 0.5467 0.8575 1.1305 1.1452 0.7252 0.9607 0.785 0.7076 0.8894 5.1903 9.0371 12.8566 3.5602 8.2968
"11" 2.5 0.5378 0.4533 0.9002 0.6349 1.0389 1.4022 1.4142 0.8451 1.1487 0.9124 0.8088 1.0368 5.005 8.8132 12.5906 3.4597 8.1312
"12" 2.75 0.6292 0.5171 1.0906 0.7368 1.2577 1.7377 1.7459 0.9841 1.3726 1.0598 0.9238 1.2077 4.7848 8.5463 12.2733 3.3404 7.9332
"13" 3 0.7355 0.5895 1.3205 0.8544 1.5212 2.1512 2.1543 1.145 1.639 1.2302 1.0545 1.4056 4.5229 8.2277 11.8945 3.1986 7.6961
"14" 3.25 0.8591 0.6716 1.5977 0.9897 1.8377 2.6591 2.6569 1.3305 1.9554 1.4266 1.2025 1.6339 4.2112 7.8474 11.4422 3.03 7.4123
