"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1287 0.1456 0.1601 0.1649 0.1814 0.1995 0.2052 0.2217 0.2339 0.2403 0.2587 0.2658 5.9453 9.939 13.928 3.9707 8.9581
"3" 0.5 0.1506 0.1766 0.1972 0.1943 0.2193 0.2486 0.2478 0.2729 0.2879 0.2887 0.3185 0.3211 5.8818 9.8682 13.8448 3.9367 8.91
"4" 0.75 0.1762 0.2142 0.2429 0.2288 0.2651 0.3099 0.2991 0.3359 0.3544 0.3468 0.3922 0.3879 5.8073 9.7855 13.7477 3.8968 8.8539
"5" 1 0.206 0.2598 0.299 0.2694 0.3204 0.3861 0.361 0.4134 0.4361 0.4164 0.4828 0.4683 5.7191 9.6879 13.6334 3.8498 8.7883
"6" 1.25 0.2409 0.315 0.3681 0.3171 0.3872 0.481 0.4358 0.5086 0.5364 0.5 0.5941 0.5653 5.614 9.5719 13.4979 3.7938 8.7109
"7" 1.5 0.2817 0.3818 0.4531 0.3732 0.4676 0.599 0.5259 0.6254 0.6597 0.6 0.7309 0.6821 5.4883 9.4336 13.3365 3.727 8.619
"8" 1.75 0.3292 0.4626 0.5575 0.4389 0.5646 0.7457 0.6345 0.7686 0.8111 0.7199 0.8987 0.8227 5.3371 9.2677 13.1435 3.6468 8.5097
"9" 2 0.3845 0.5604 0.6856 0.516 0.6813 0.9277 0.7654 0.944 0.9967 0.8632 1.1045 0.9916 5.1549 9.0684 12.912 3.5503 8.3791
"10" 2.25 0.449 0.6785 0.8429 0.6062 0.8216 1.1533 0.9231 1.1585 1.2241 1.0345 1.3564 1.1942 4.935 8.8284 12.6338 3.4341 8.2228
"11" 2.5 0.5239 0.821 1.0356 0.7116 0.99 1.4322 1.1129 1.4202 1.5023 1.2387 1.6641 1.4369 4.6694 8.5391 12.2992 3.2939 8.0357
"12" 2.75 0.6108 0.9924 1.2713 0.8344 1.1915 1.776 1.3413 1.7384 1.842 1.4818 2.0392 1.7266 4.3488 8.1907 11.8971 3.125 7.8115
"13" 3 0.7113 1.1979 1.559 0.9769 1.4321 2.198 1.6159 2.1237 2.2557 1.7701 2.4944 2.0712 3.9627 7.7715 11.4145 2.9218 7.5433
"14" 3.25 0.827 1.4428 1.9083 1.1415 1.7178 2.7127 1.9454 2.5868 2.7575 2.1105 3.0436 2.4788 3.4996 7.2692 10.8375 2.6785 7.2233
"15" 3.5 0.9591 1.7322 2.3287 1.3301 2.0548 3.334 2.3403 3.1373 3.3627 2.5098 3.6998 2.9572 2.9485 6.671 10.1524 2.3891 6.8437
"16" 3.75 1.1066 2.0688 2.8274 1.5437 2.4482 4.0698 2.8111 3.7784 4.0865 2.9734 4.4702 3.5116 2.3023 5.9674 9.3498 2.0501 6.3981
"17" 4 1.265 2.447 3.4013 1.7809 2.8992 4.9074 3.3568 4.4936 4.9393 3.5024 5.3414 4.141 1.5688 5.163 8.4377 1.6653 5.8886
"18" 4.25 1.4176 2.834 4.0084 2.0353 3.4006 5.764 3.9513 5.2045 5.9196 4.0884 6.2315 4.8298 0.803 4.3045 7.4769 1.2621 5.3408
"19" 4.5 1.511 3.1053 4.4667 2.246 3.8251 6.3439 4.4529 5.6557 6.9097 4.6672 6.8416 5.3791 0.2258 3.6125 6.7288 0.9583 4.8869
"20" 4.75 1.5053 3.143 4.5721 2.3007 3.9635 6.4084 4.6381 5.67 7.4465 4.9545 6.9144 5.5144 0.09 3.3965 6.5259 0.8873 4.7331
"21" 5 1.4749 3.1164 4.5738 2.3059 4.008 6.3402 4.714 5.5776 7.7988 5.1237 6.8453 5.5249 0.0825 3.3292 6.4882 0.884 4.6768
"22" 5.25 1.4436 3.0862 4.5689 2.3079 4.0467 6.2647 4.7833 5.4803 8.1515 5.289 6.7683 5.5273 0.0818 3.2685 6.4592 0.8841 4.6252
"23" 5.5 1.4127 3.0553 4.5626 2.3091 4.0842 6.1884 4.8518 5.3834 8.5163 5.4574 6.6903 5.5279 0.0813 3.2066 6.4303 0.8844 4.5732
"24" 5.75 1.3821 3.024 4.5548 2.3097 4.1207 6.1114 4.9195 5.2869 8.8935 5.629 6.6114 5.5268 0.0808 3.1432 6.4012 0.8846 4.5204
"25" 6 1.3519 2.9922 4.5457 2.3095 4.1561 6.0338 4.9865 5.1909 9.2836 5.8038 6.5317 5.524 0.0803 3.0782 6.3721 0.8848 4.467
"26" 6.25 1.3221 2.9598 4.5352 2.3087 4.1904 5.9555 5.0527 5.0954 9.6865 5.9816 6.4512 5.5195 0.0797 3.0117 6.3429 0.8849 4.4128
"27" 6.5 1.2926 2.9271 4.5233 2.3072 4.2235 5.8767 5.1179 5.0004 10.1024 6.1625 6.37 5.5133 0.0792 2.9437 6.3136 0.8851 4.3581
"28" 6.75 1.2635 2.8939 4.51 2.3049 4.2554 5.7973 5.182 4.906 10.5315 6.3461 6.288 5.5053 0.0787 2.874 6.2843 0.8851 4.3027
"29" 7 1.2348 2.8602 4.4953 2.3019 4.286 5.7173 5.245 4.8121 10.9738 6.5326 6.2054 5.4955 0.0781 2.8028 6.255 0.8851 4.2467
"30" 7.25 1.2065 2.8262 4.4791 2.2982 4.3153 5.6369 5.3068 4.7188 11.4293 6.7218 6.1221 5.4839 0.0776 2.73 6.2256 0.8851 4.1901
"31" 7.5 1.1785 2.7917 4.4616 2.2937 4.3431 5.556 5.3673 4.6262 11.8982 6.9135 6.0382 5.4705 0.077 2.6556 6.1963 0.885 4.1329
"32" 7.75 1.151 2.7568 4.4426 2.2885 4.3695 5.4747 5.4264 4.5342 12.3805 7.1076 5.9537 5.4553 0.0765 2.5796 6.1671 0.8849 4.0752
"33" 8 1.1238 2.7216 4.4223 2.2826 4.3945 5.393 5.4841 4.4428 12.8762 7.304 5.8687 5.4383 0.0759 2.5019 6.1379 0.8846 4.0169
"34" 8.25 1.097 2.686 4.4005 2.2759 4.4179 5.3109 5.5402 4.3521 13.3852 7.5026 5.7832 5.4195 0.0754 2.4227 6.1088 0.8844 3.9581
"35" 8.5 1.0705 2.6501 4.3774 2.2684 4.4398 5.2286 5.5948 4.2622 13.9077 7.7032 5.6973 5.399 0.0748 2.3419 6.0798 0.884 3.8988
"36" 8.75 1.0445 2.614 4.3529 2.2603 4.4602 5.146 5.6476 4.173 14.4434 7.9057 5.611 5.3766 0.0742 2.2595 6.051 0.8835 3.8391
"37" 9 1.0189 2.5775 4.3271 2.2514 4.4789 5.0633 5.6987 4.0846 14.9924 8.1099 5.5243 5.3525 0.0737 2.1756 6.0223 0.883 3.7789
"38" 9.25 0.9936 2.5407 4.2999 2.2418 4.4959 4.9804 5.748 3.997 15.5546 8.3156 5.4374 5.3266 0.0731 2.09 5.9939 0.8824 3.7182
"39" 9.5 0.9687 2.5038 4.2715 2.2314 4.5113 4.8974 5.7955 3.9103 16.1299 8.5228 5.3503 5.2991 0.0726 2.003 5.9656 0.8816 3.6572
"40" 9.75 0.9443 2.4666 4.2417 2.2204 4.5251 4.8143 5.841 3.8244 16.7182 8.7312 5.263 5.2698 0.072 1.9143 5.9376 0.8808 3.5959
"41" 10 0.9202 2.4293 4.2108 2.2087 4.5371 4.7313 5.8845 3.7393 17.3192 8.9407 5.1756 5.2389 0.0715 1.8242 5.9098 0.8798 3.5341
"42" 10.25 0.8966 2.3918 4.1786 2.1962 4.5474 4.6483 5.926 3.6553 17.933 9.1511 5.0881 5.2064 0.0709 1.7325 5.8823 0.8788 3.4721
"43" 10.5 0.8733 2.3542 4.1453 2.1832 4.556 4.5654 5.9655 3.5721 18.5592 9.3622 5.0007 5.1722 0.0704 1.6394 5.8551 0.8776 3.4098
"44" 10.75 0.8504 2.3164 4.1108 2.1694 4.5629 4.4827 6.0028 3.4899 19.1977 9.574 4.9133 5.1366 0.0698 1.5448 5.8282 0.8763 3.3472
"45" 11 0.828 2.2786 4.0752 2.155 4.5681 4.4003 6.038 3.4088 19.8484 9.7861 4.826 5.0994 0.0693 1.4487 5.8017 0.8749 3.2844
"46" 11.25 0.8059 2.2408 4.0386 2.14 4.5715 4.318 6.071 3.3286 20.5109 9.9984 4.7388 5.0607 0.0687 1.3512 5.7755 0.8734 3.2214
"47" 11.5 0.7843 2.2029 4.0009 2.1244 4.5732 4.2361 6.1018 3.2495 21.185 10.2109 4.6519 5.0207 0.0682 1.2524 5.7497 0.8717 3.1581
"48" 11.75 0.763 2.1651 3.9623 2.1082 4.5732 4.1546 6.1304 3.1714 21.8706 10.4232 4.5653 4.9792 0.0677 1.1522 5.7242 0.8698 3.0948
"49" 12 0.7422 2.1273 3.9228 2.0915 4.5715 4.0734 6.1567 3.0945 22.5672 10.6352 4.479 4.9365 0.0672 1.0506 5.6992 0.8679 3.0313
"50" 12.25 0.7217 2.0895 3.8823 2.0742 4.5682 3.9927 6.1808 3.0186 23.2748 10.8468 4.3931 4.8925 0.0667 0.9478 5.6746 0.8657 2.9677
"51" 12.5 0.7017 2.0518 3.8411 2.0564 4.5631 3.9126 6.2026 2.9438 23.9929 11.0578 4.3077 4.8472 0.0661 0.8437 5.6504 0.8635 2.904
"52" 12.75 0.6821 2.0142 3.799 2.038 4.5564 3.8329 6.2222 2.8702 24.7212 11.268 4.2227 4.8008 0.0656 0.7383 5.6267 0.861 2.8403
"53" 13 0.6629 1.9768 3.7562 2.0192 4.5481 3.7539 6.2394 2.7978 25.4596 11.4773 4.1383 4.7534 0.0651 0.6318 5.6034 0.8584 2.7766
"54" 13.25 0.644 1.9395 3.7127 2 4.5382 3.6755 6.2544 2.7265 26.2076 11.6856 4.0544 4.7048 0.0647 0.524 5.5806 0.8557 2.7128
"55" 13.5 0.6256 1.9025 3.6686 1.9803 4.5267 3.5978 6.2671 2.6564 26.9649 11.8926 3.9712 4.6553 0.0642 0.4152 5.5583 0.8527 2.6491
"56" 13.75 0.6076 1.8656 3.6239 1.9602 4.5137 3.5208 6.2776 2.5875 27.7313 12.0982 3.8887 4.6049 0.0637 0.3052 5.5364 0.8497 2.5853
"57" 14 0.5899 1.8289 3.5786 1.9397 4.4991 3.4445 6.2858 2.5198 28.5064 12.3023 3.8069 4.5536 0.0632 0.1942 5.5151 0.8464 2.5217
"58" 14.25 0.5729 1.7933 3.5346 1.9198 4.4856 3.3705 6.2955 2.4542 29.0374 12.5131 3.7274 4.5038 0.0649 0.1251 5.4975 0.8493 2.4759
"59" 14.5 0.5573 1.762 3.4995 1.9046 4.4842 3.3048 6.3229 2.3947 29.2058 12.695 3.6571 4.4653 0.0705 0.1129 5.4856 0.8591 2.4542
"60" 14.75 0.5433 1.7364 3.4762 1.8958 4.4994 3.2496 6.3748 2.3427 29.274 12.8328 3.5984 4.4421 0.0748 0.1077 5.4712 0.8668 2.4341
"61" 15 0.5305 1.7142 3.4602 1.8908 4.525 3.2011 6.4425 2.2954 29.2897 12.9475 3.547 4.4282 0.0773 0.1048 5.4538 0.8727 2.4139
"62" 15.25 0.5184 1.694 3.4484 1.888 4.5567 3.1565 6.5196 2.2512 29.2751 13.0488 3.4999 4.4196 0.0788 0.1032 5.4345 0.8776 2.3934
"63" 15.5 0.5068 1.675 3.4387 1.8865 4.5919 3.1142 6.6024 2.209 29.2427 13.1424 3.4553 4.4138 0.0795 0.1022 5.4141 0.8818 2.3727
"64" 15.75 0.4955 1.6566 3.4302 1.8855 4.6289 3.0734 6.6886 2.168 29.2 13.2317 3.4122 4.4094 0.0798 0.1016 5.3929 0.8856 2.352
"65" 16 0.4846 1.6387 3.422 1.8846 4.6667 3.0333 6.7768 2.128 29.1514 13.3187 3.37 4.4055 0.0799 0.1013 5.3713 0.8892 2.3312
"66" 16.25 0.4738 1.6209 3.4138 1.8838 4.7048 2.9938 6.866 2.0888 29.0999 13.4048 3.3282 4.4016 0.0798 0.1011 5.3495 0.8927 2.3104
"67" 16.5 0.4633 1.6031 3.4053 1.8828 4.7427 2.9545 6.9557 2.05 29.047 13.4908 3.2867 4.3972 0.0796 0.1011 5.3275 0.8962 2.2896
"68" 16.75 0.453 1.5853 3.3963 1.8815 4.78 2.9153 7.0452 2.0118 28.9941 13.5772 3.2452 4.3921 0.0793 0.1011 5.3055 0.8997 2.2688
"69" 17 0.4428 1.5675 3.3867 1.8799 4.8167 2.8762 7.1344 1.974 28.942 13.6645 3.2038 4.3862 0.0789 0.1012 5.2835 0.9032 2.2482
"70" 17.25 0.4328 1.5496 3.3764 1.8778 4.8525 2.8371 7.223 1.9365 28.8912 13.7531 3.1623 4.3794 0.0786 0.1013 5.2616 0.9068 2.2276
