"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1282 0.1422 0.1561 0.1661 0.1719 0.1987 0.2029 0.2074 0.2236 0.2288 0.251 0.2556 5.952 9.9459 13.9369 3.9743 8.9632
"3" 0.5 0.1493 0.1685 0.1875 0.1972 0.197 0.2468 0.2423 0.2391 0.2632 0.2617 0.3 0.297 5.8978 9.8848 13.866 3.9452 8.9219
"4" 0.75 0.1739 0.1997 0.2251 0.2339 0.2258 0.3064 0.2892 0.2754 0.3097 0.2992 0.3585 0.345 5.8358 9.8153 13.7855 3.9122 8.8753
"5" 1 0.2026 0.2366 0.2703 0.2775 0.2587 0.3804 0.3451 0.3173 0.3643 0.3422 0.4283 0.4007 5.7646 9.7355 13.6933 3.8743 8.8223
"6" 1.25 0.2359 0.2803 0.3244 0.329 0.2963 0.4722 0.4119 0.3655 0.4286 0.3912 0.5116 0.4653 5.6819 9.6433 13.587 3.8304 8.7614
"7" 1.5 0.2746 0.332 0.3894 0.3901 0.3394 0.586 0.4916 0.4208 0.504 0.4472 0.6109 0.5402 5.5854 9.5362 13.4636 3.7795 8.6912
"8" 1.75 0.3196 0.3931 0.4673 0.4624 0.3886 0.727 0.5865 0.4845 0.5927 0.511 0.7294 0.6269 5.4724 9.4111 13.3198 3.72 8.6098
"9" 2 0.372 0.4654 0.5606 0.5478 0.4448 0.9016 0.6998 0.5575 0.6967 0.5839 0.8705 0.7273 5.3393 9.2644 13.1515 3.6502 8.5152
"10" 2.25 0.4327 0.5509 0.6723 0.6487 0.509 1.1175 0.8347 0.6413 0.8188 0.6668 1.0384 0.8434 5.1822 9.092 12.9538 3.5681 8.4048
"11" 2.5 0.5031 0.6518 0.8061 0.7678 0.5822 1.3843 0.9955 0.7373 0.9619 0.7613 1.2381 0.9775 4.9963 8.889 12.7211 3.4713 8.2756
"12" 2.75 0.5847 0.7707 0.966 0.9081 0.6655 1.7133 1.187 0.847 1.1294 0.8686 1.4752 1.1322 4.7761 8.6496 12.4468 3.3571 8.1244
"13" 3 0.6791 0.9109 1.157 1.0731 0.7603 2.1182 1.4149 0.9723 1.3252 0.9905 1.7561 1.3102 4.5149 8.3671 12.1231 3.2222 7.9471
"14" 3.25 0.7881 1.0754 1.3848 1.2666 0.8679 2.6149 1.6861 1.1148 1.5538 1.1285 2.0881 1.5146 4.2055 8.0339 11.7412 3.063 7.7393
"15" 3.5 0.9136 1.268 1.6557 1.4928 0.9896 3.2218 2.0083 1.2762 1.82 1.2844 2.479 1.7484 3.8395 7.6415 11.2912 2.8754 7.496
"16" 3.75 1.0575 1.4921 1.976 1.756 1.1267 3.9588 2.3909 1.4578 2.1289 1.4598 2.9365 2.0147 3.4082 7.1807 10.7627 2.655 7.2116
"17" 4 1.2208 1.7508 2.3519 2.0603 1.2802 4.8449 2.8444 1.66 2.4857 1.6561 3.4673 2.3158 2.9034 6.6428 10.1457 2.3979 6.8808
"18" 4.25 1.4027 2.0453 2.7875 2.4087 1.4507 5.8926 3.3793 1.881 2.8949 1.8737 4.0734 2.6528 2.3203 6.0219 9.4337 2.1017 6.4994
"19" 4.5 1.5989 2.3711 3.2797 2.8014 1.6375 7.0911 3.9946 2.1138 3.359 2.1118 4.7444 3.0241 1.6652 5.3226 8.6333 1.7695 6.0696
"20" 4.75 1.7946 2.7075 3.8026 3.2338 1.8376 8.3596 4.6717 2.3378 3.8762 2.3669 5.4334 3.423 0.9756 4.577 7.7851 1.419 5.608
"21" 5 1.9455 2.9852 4.2579 3.6557 2.0217 9.4153 5.3163 2.4975 4.4217 2.628 5.9902 3.7823 0.384 3.9098 7.0406 1.1162 5.1846
"22" 5.25 1.9861 3.0876 4.4599 3.8782 2.1085 9.8144 5.6938 2.5215 4.8035 2.7983 6.1789 3.9362 0.1326 3.5864 6.6999 0.9851 4.9648
