"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1319 0.1458 0.1448 0.1694 0.1799 0.1917 0.1962 0.2067 0.2245 0.2385 0.2407 0.2691 5.9548 9.9485 13.9384 3.9753 8.9632
"3" 0.5 0.1581 0.1771 0.1612 0.2051 0.2158 0.2297 0.2265 0.2374 0.2651 0.2845 0.2759 0.3292 5.9045 9.891 13.8695 3.9476 8.922
"4" 0.75 0.1895 0.2152 0.1795 0.2481 0.2587 0.2751 0.2614 0.2726 0.3132 0.3392 0.3161 0.4026 5.8478 9.8262 13.7917 3.9163 8.8754
"5" 1 0.2271 0.2613 0.1998 0.3002 0.3102 0.3295 0.3017 0.3129 0.3698 0.4044 0.3622 0.4923 5.7835 9.7525 13.7033 3.8807 8.8222
"6" 1.25 0.2721 0.3174 0.2225 0.363 0.3718 0.3945 0.3481 0.3591 0.4367 0.482 0.415 0.6018 5.7101 9.6683 13.602 3.84 8.7612
"7" 1.5 0.3259 0.3853 0.2476 0.4389 0.4455 0.4724 0.4017 0.4122 0.5156 0.5744 0.4753 0.7354 5.6258 9.5714 13.4854 3.793 8.6908
"8" 1.75 0.3903 0.4678 0.2756 0.5306 0.5338 0.5654 0.4635 0.4729 0.6086 0.6844 0.5443 0.8984 5.5286 9.4594 13.3504 3.7385 8.609
"9" 2 0.4673 0.5677 0.3067 0.6411 0.6393 0.6766 0.5347 0.5424 0.7181 0.8152 0.6232 1.0971 5.4158 9.3294 13.1937 3.6752 8.5138
"10" 2.25 0.5594 0.6888 0.3413 0.7743 0.7654 0.8094 0.6168 0.6219 0.8472 0.9706 0.7133 1.339 5.2848 9.178 13.011 3.6013 8.4026
