"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1333 0.145 0.1522 0.1686 0.1667 0.1938 0.2053 0.2196 0.214 0.2341 0.2553 0.2526 5.9503 9.9461 13.9344 3.9735 8.9624
"3" 0.5 0.1615 0.1752 0.1783 0.2029 0.1853 0.2347 0.248 0.2679 0.2411 0.274 0.3104 0.29 5.8936 9.8851 13.8599 3.9433 8.92
"4" 0.75 0.1957 0.2116 0.2087 0.2442 0.206 0.2842 0.2994 0.3268 0.2715 0.3206 0.3773 0.3328 5.8286 9.8156 13.7747 3.9088 8.8717
"5" 1 0.237 0.2556 0.2443 0.2939 0.2289 0.3441 0.3616 0.3985 0.3057 0.3751 0.4585 0.382 5.7532 9.7356 13.6763 3.8688 8.8162
"6" 1.25 0.2871 0.3087 0.286 0.3536 0.2543 0.4165 0.4366 0.4858 0.3443 0.4388 0.5571 0.4383 5.6653 9.6428 13.5618 3.8222 8.7522
"7" 1.5 0.3476 0.3728 0.3347 0.4253 0.2824 0.504 0.527 0.5921 0.3876 0.5132 0.6767 0.5027 5.5622 9.5347 13.428 3.7677 8.6777
"8" 1.75 0.4207 0.45 0.3917 0.5113 0.3137 0.6098 0.6362 0.7213 0.4362 0.6 0.8216 0.5765 5.4407 9.408 13.2708 3.7035 8.5906
"9" 2 0.5091 0.5431 0.4582 0.6144 0.3483 0.7375 0.7679 0.8783 0.4909 0.7012 0.9973 0.6608 5.2972 9.2589 13.0855 3.6277 8.4885
"10" 2.25 0.6157 0.6552 0.5359 0.738 0.3866 0.8915 0.9266 1.0688 0.5523 0.8193 1.2098 0.7571 5.1271 9.0832 12.8665 3.538 8.3684
"11" 2.5 0.7442 0.7901 0.6265 0.8857 0.4289 1.077 1.1179 1.2996 0.6211 0.9567 1.4668 0.867 4.9253 8.8754 12.6071 3.4317 8.2268
"12" 2.75 0.899 0.9522 0.7321 1.0622 0.4756 1.2999 1.3483 1.5788 0.6982 1.1164 1.7768 0.992 4.6856 8.6296 12.2998 3.3054 8.0596
"13" 3 1.085 1.1467 0.8551 1.2725 0.5271 1.5671 1.6257 1.9156 0.7844 1.3017 2.1501 1.1342 4.4012 8.3387 11.9356 3.1556 7.8621
"14" 3.25 1.308 1.3791 0.998 1.5223 0.5836 1.8864 1.9593 2.3202 0.8805 1.5161 2.598 1.2951 4.064 7.9945 11.5044 2.9779 7.629
"15" 3.5 1.5745 1.6557 1.1633 1.8178 0.6455 2.2661 2.3602 2.8039 0.9876 1.7634 3.1332 1.4766 3.6654 7.5884 10.9952 2.768 7.354
"16" 3.75 1.8912 1.983 1.3534 2.1653 0.7129 2.7143 2.8413 3.3774 1.1062 2.0472 3.7681 1.6801 3.1969 7.111 10.3966 2.5211 7.0309
"17" 4 2.2621 2.3659 1.5699 2.5706 0.7858 3.2367 3.4177 4.0481 1.2368 2.3704 4.5125 1.9062 2.6512 6.5542 9.6986 2.2333 6.6535
"18" 4.25 2.687 2.8056 1.8123 3.0369 0.8635 3.8319 4.0991 4.8136 1.3792 2.7344 5.3671 2.1539 2.0274 5.9158 8.8988 1.9041 6.2194
"19" 4.5 3.1515 3.2899 2.0734 3.5624 0.9448 4.4781 4.8798 5.643 1.532 3.1369 6.3045 2.4192 1.3425 5.2102 8.0162 1.5426 5.7363
"20" 4.75 3.5989 3.7655 2.3261 4.1335 1.0261 5.093 5.7106 6.4239 1.6916 3.5686 7.2127 2.6897 0.6654 4.501 7.1312 1.1852 5.2417
"21" 5 3.872 4.0734 2.4884 4.587 1.0797 5.4564 6.3786 6.8692 1.8294 3.9682 7.7755 2.8698 0.2078 4.0037 6.5079 0.9471 4.875
"22" 5.25 3.9025 4.1276 2.5121 4.7514 1.0849 5.4827 6.6648 6.8855 1.889 4.1702 7.8484 2.8965 0.1023 3.8686 6.3361 0.8957 4.7535
"23" 5.5 3.8709 4.1134 2.4975 4.8265 1.0757 5.4247 6.826 6.7979 1.9208 4.3006 7.7945 2.8799 0.0942 3.8371 6.2933 0.8956 4.7056
"24" 5.75 3.8344 4.0935 2.4797 4.8946 1.0654 5.3605 6.9786 6.703 1.9502 4.4273 7.7306 2.8598 0.0933 3.8136 6.26 0.8993 4.6632
"25" 6 3.7973 4.0726 2.4614 4.9619 1.0549 5.2957 7.1322 6.6079 1.9796 4.5562 7.6651 2.839 0.0929 3.7907 6.227 0.9034 4.6208
"26" 6.25 3.7598 4.0509 2.4427 5.0288 1.0444 5.2306 7.2871 6.5128 2.0089 4.6877 7.5986 2.8179 0.0924 3.7679 6.1937 0.9077 4.5781
