"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1277 0.144 0.1483 0.1607 0.1773 0.1844 0.1996 0.2185 0.2297 0.2327 0.2406 0.2564 5.9569 9.9495 13.9407 3.9761 8.9639
"3" 0.5 0.1483 0.1727 0.1691 0.1844 0.2096 0.2124 0.2343 0.2652 0.2777 0.2706 0.2757 0.2989 5.9094 9.8935 13.8749 3.9497 8.9236
"4" 0.75 0.1721 0.2072 0.1928 0.2115 0.2477 0.2447 0.275 0.3218 0.3356 0.3147 0.3159 0.3483 5.8566 9.8306 13.8014 3.9201 8.8784
"5" 1 0.1997 0.2485 0.2198 0.2427 0.2927 0.2819 0.3228 0.3905 0.4056 0.366 0.3619 0.4059 5.7974 9.7596 13.7187 3.8867 8.827
"6" 1.25 0.2318 0.298 0.2506 0.2784 0.3458 0.3246 0.3788 0.4737 0.4901 0.4256 0.4145 0.4728 5.7306 9.6788 13.6249 3.8489 8.7685
"7" 1.5 0.2689 0.3573 0.2857 0.3192 0.4085 0.3738 0.4445 0.5745 0.5921 0.4947 0.4747 0.5507 5.655 9.5865 13.5179 3.8057 8.7014
"8" 1.75 0.312 0.4284 0.3257 0.366 0.4824 0.4304 0.5216 0.6966 0.7151 0.575 0.5436 0.6412 5.5688 9.4803 13.3955 3.7563 8.624
"9" 2 0.3618 0.5135 0.3712 0.4195 0.5696 0.4955 0.612 0.8443 0.8636 0.6681 0.6223 0.7464 5.4702 9.3578 13.2548 3.6993 8.5345
"10" 2.25 0.4195 0.6153 0.423 0.4807 0.6723 0.5703 0.718 1.023 1.0426 0.7761 0.7122 0.8686 5.3571 9.2161 13.0925 3.6336 8.4307
"11" 2.5 0.4863 0.7371 0.4818 0.5506 0.7932 0.6561 0.8421 1.2389 1.2582 0.9012 0.8149 1.0103 5.227 9.0516 12.9048 3.5575 8.3099
"12" 2.75 0.5634 0.8827 0.5488 0.6304 0.9354 0.7547 0.9875 1.4996 1.5178 1.0461 0.9321 1.1745 5.0772 8.8603 12.6876 3.4693 8.1691
"13" 3 0.6526 1.0567 0.6248 0.7213 1.1025 0.8676 1.1578 1.814 1.8301 1.2137 1.0656 1.3646 4.9043 8.6376 12.4356 3.3669 8.0049
"14" 3.25 0.7554 1.2642 0.7112 0.8249 1.2985 0.9968 1.357 2.1926 2.2054 1.4072 1.2176 1.5842 4.7047 8.3782 12.1433 3.2479 7.8132
"15" 3.5 0.8737 1.5115 0.809 0.9425 1.5281 1.1445 1.59 2.6475 2.6555 1.6303 1.3904 1.8375 4.4742 8.0759 11.8041 3.1096 7.5894
