"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1332 0.1433 0.1516 0.167 0.1829 0.1841 0.1938 0.2023 0.2321 0.2313 0.2509 0.2561 5.9556 9.9474 13.9404 3.9757 8.9645
"3" 0.5 0.1612 0.1712 0.1769 0.1991 0.223 0.2117 0.2208 0.2273 0.2834 0.2675 0.2997 0.298 5.9063 9.8884 13.8741 3.9486 8.9249
"4" 0.75 0.1951 0.2045 0.2063 0.2374 0.2718 0.2436 0.2517 0.2555 0.3461 0.3093 0.358 0.3468 5.851 9.8214 13.7998 3.9181 8.8805
"5" 1 0.2361 0.2442 0.2405 0.2829 0.3312 0.2801 0.2868 0.287 0.4226 0.3575 0.4275 0.4034 5.7885 9.745 13.7158 3.8836 8.8301
"6" 1.25 0.2857 0.2915 0.2804 0.3372 0.4036 0.3221 0.3268 0.3224 0.5158 0.4133 0.5105 0.4693 5.7175 9.6571 13.6203 3.8442 8.7726
"7" 1.5 0.3456 0.348 0.3269 0.4018 0.4917 0.3704 0.3723 0.3621 0.6296 0.4776 0.6094 0.5457 5.6364 9.5553 13.5109 3.7989 8.7067
"8" 1.75 0.418 0.4154 0.3811 0.4786 0.5988 0.4258 0.4242 0.4066 0.7683 0.5519 0.7273 0.6345 5.5431 9.4369 13.3851 3.7467 8.6306
"9" 2 0.5054 0.4957 0.4442 0.5699 0.729 0.4894 0.4833 0.4565 0.9372 0.6375 0.8679 0.7374 5.4355 9.2987 13.2398 3.6862 8.5425
"10" 2.25 0.6109 0.5913 0.5175 0.6783 0.8872 0.5623 0.5505 0.5123 1.143 0.7363 1.0352 0.8567 5.311 9.1367 13.0714 3.6159 8.44
"11" 2.5 0.738 0.7053 0.6029 0.807 1.0792 0.6459 0.6269 0.5748 1.3934 0.8499 1.2343 0.9949 5.1666 8.9466 12.8758 3.5339 8.3206
"12" 2.75 0.8912 0.8408 0.702 0.9595 1.312 0.7417 0.7139 0.6446 1.6979 0.9808 1.4709 1.1547 4.9988 8.7229 12.648 3.4383 8.181
"13" 3 1.0756 1.0019 0.8172 1.14 1.594 0.8511 0.8128 0.7225 2.0677 1.1311 1.7519 1.3393 4.8036 8.4594 12.3826 3.3266 8.0178
"14" 3.25 1.2971 1.1932 0.9509 1.3533 1.9348 0.976 0.9251 0.8093 2.5163 1.3036 2.0849 1.5521 4.5764 8.1489 12.073 3.1959 7.8267
"15" 3.5 1.5628 1.4199 1.1057 1.6046 2.346 1.1183 1.0526 0.9058 3.0595 1.5011 2.4788 1.7967 4.3122 7.7832 11.712 3.0432 7.6029
"16" 3.75 1.8806 1.688 1.2847 1.8999 2.8406 1.2799 1.1972 1.0126 3.7156 1.7266 2.9434 2.0772 4.0051 7.3529 11.2915 2.8649 7.3411
"17" 4 2.2594 2.0036 1.4911 2.2454 3.4332 1.4625 1.3611 1.1303 4.5058 1.9833 3.4892 2.3972 3.6493 6.8478 10.8028 2.6572 7.0355
"18" 4.25 2.7088 2.3733 1.7282 2.647 4.1394 1.6677 1.5465 1.2593 5.4532 2.2738 4.1266 2.7601 3.2388 6.2571 10.2371 2.4164 6.6799
"19" 4.5 3.2381 2.8026 1.9981 3.11 4.9744 1.8961 1.7558 1.3989 6.5816 2.6002 4.8643 3.1679 2.7685 5.571 9.5867 2.1391 6.2686
"20" 4.75 3.8513 3.2944 2.3015 3.6364 5.9497 2.146 1.9913 1.5474 7.9124 2.9626 5.7052 3.6197 2.2368 4.7831 8.8478 1.8237 5.798
"21" 5 4.5399 3.8434 2.6348 4.2218 7.0666 2.4111 2.2507 1.6998 9.4565 3.3571 6.6365 4.1086 1.6504 3.8978 8.0279 1.4736 5.2708
"22" 5.25 5.2652 4.4217 2.9817 4.8484 8.3026 2.6731 2.5244 1.8441 11.1977 3.772 7.605 4.6167 1.0368 2.9454 7.1605 1.1039 4.7041
"23" 5.5 5.9049 4.939 3.2912 5.4741 9.586 2.884 2.7818 1.9511 13.0629 4.1816 8.4476 5.1052 0.4764 2.0205 6.344 0.7593 4.1507
"24" 5.75 6.2092 5.198 3.4471 5.9093 10.495 2.9558 2.9383 1.9722 14.7292 4.5226 8.8344 5.3887 0.1566 1.3889 5.841 0.5541 3.7701
"25" 6 6.2113 5.2114 3.452 6.0476 10.8434 2.9135 2.9756 1.9278 15.7131 4.6875 8.8131 5.4265 0.099 1.1577 5.7124 0.5072 3.6312
"26" 6.25 6.1572 5.1774 3.4271 6.1219 11.07 2.8517 2.9862 1.8733 16.5408 4.8071 8.7163 5.4142 0.0942 1.0104 5.6617 0.4921 3.5442
"27" 6.5 6.0978 5.1387 3.3992 6.1897 11.2866 2.7891 2.9939 1.8192 17.3859 4.924 8.6128 5.3965 0.0932 0.8651 5.6166 0.479 3.4594
"28" 6.75 6.0367 5.0984 3.3703 6.2554 11.5015 2.7272 3.0004 1.7663 18.2632 5.0413 8.5074 5.3767 0.0924 0.7155 5.572 0.4655 3.373
"29" 7 5.9741 5.0565 3.3405 6.319 11.7148 2.6659 3.0058 1.7145 19.174 5.1591 8.4005 5.3551 0.0917 0.561 5.5275 0.4515 3.2848
"30" 7.25 5.9101 5.0132 3.3098 6.3804 11.9264 2.6052 3.0102 1.6639 20.1191 5.2773 8.2922 5.3316 0.0909 0.4016 5.4831 0.4371 3.1948
"31" 7.5 5.8447 4.9685 3.2783 6.4396 12.1359 2.5453 3.0134 1.6143 21.0978 5.3959 8.1825 5.3062 0.0901 0.2375 5.4389 0.4221 3.103
"32" 7.75 5.7838 4.9275 3.2491 6.5047 12.3602 2.488 3.0187 1.5669 21.6789 5.501 8.0793 5.2846 0.0957 0.1408 5.4037 0.417 3.0412
"33" 8 5.7473 4.9025 3.2308 6.5809 12.636 2.4397 3.037 1.525 21.8019 5.5241 8.009 5.2834 0.107 0.1106 5.3772 0.4177 3.0108
"34" 8.25 5.7406 4.8649 3.2055 6.6227 12.8626 2.402 3.0712 1.4892 21.7811 5.5138 7.9646 5.2734 0.1196 0.1049 5.3612 0.4205 2.9958
"35" 8.5 5.764 4.8214 3.1764 6.6546 13.0707 2.3744 3.1218 1.4592 21.7289 5.4962 7.9129 5.2563 0.1322 0.1027 5.3441 0.4228 2.9805
"36" 8.75 5.815 4.7745 3.1452 6.6806 13.2683 2.3558 3.1841 1.4343 21.6581 5.4743 7.8552 5.235 0.1439 0.1012 5.3242 0.4242 2.9637
"37" 9 5.8912 4.726 3.113 6.703 13.4607 2.345 3.2467 1.4137 21.5766 5.4499 7.7943 5.2113 0.1546 0.1003 5.3024 0.4245 2.9465
"38" 9.25 5.9903 4.6762 3.08 6.7226 13.6492 2.3409 3.3092 1.3968 21.4868 5.4236 7.731 5.1858 0.1643 0.0995 5.2787 0.4239 2.929
"39" 9.5 6.1104 4.6255 3.0464 6.7397 13.8343 2.3426 3.3715 1.383 21.3895 5.3956 7.6656 5.1586 0.173 0.0987 5.2533 0.4223 2.911
"40" 9.75 6.2445 4.5741 3.0124 6.7546 14.0167 2.3494 3.4339 1.3719 21.2861 5.3662 7.5986 5.13 0.1809 0.0982 5.2267 0.4201 2.8929
"41" 10 6.3806 4.5225 2.9782 6.7682 14.1982 2.3608 3.4968 1.3631 21.1793 5.3361 7.5309 5.1007 0.1881 0.0978 5.1992 0.4176 2.8748
"42" 10.25 6.5183 4.4708 2.944 6.7806 14.3793 2.3762 3.5602 1.3563 21.0695 5.3052 7.4626 5.0708 0.1945 0.0975 5.1709 0.4148 2.8567
"43" 10.5 6.6576 4.419 2.9099 6.7919 14.5599 2.3953 3.6241 1.3513 20.957 5.2739 7.3939 5.0403 0.2003 0.0972 5.1419 0.4117 2.8385
"44" 10.75 6.7986 4.3673 2.8757 6.8022 14.74 2.4177 3.6886 1.3478 20.842 5.2419 7.3248 5.0093 0.2055 0.0968 5.1122 0.4083 2.8203
"45" 11 6.9413 4.3157 2.8416 6.8114 14.9198 2.4431 3.7536 1.3457 20.7246 5.2094 7.2554 4.9778 0.2101 0.0965 5.0818 0.4046 2.802
"46" 11.25 7.0857 4.264 2.8075 6.8195 15.0991 2.4713 3.8192 1.3447 20.6049 5.1765 7.1856 4.9458 0.2143 0.0962 5.0509 0.4007 2.7836
"47" 11.5 7.2318 4.2125 2.7735 6.8267 15.278 2.5021 3.8854 1.3448 20.483 5.1431 7.1156 4.9133 0.2179 0.0959 5.0193 0.3966 2.7652
"48" 11.75 7.3796 4.1611 2.7396 6.8329 15.4565 2.5352 3.9521 1.3458 20.359 5.1092 7.0454 4.8805 0.2211 0.0957 4.9873 0.3922 2.7467
"49" 12 7.5292 4.1098 2.7058 6.8381 15.6344 2.5704 4.0194 1.3475 20.2331 5.075 6.9751 4.8472 0.2239 0.0954 4.9548 0.3877 2.7282
"50" 12.25 7.6804 4.0587 2.6721 6.8423 15.8118 2.6077 4.0873 1.35 20.1052 5.0403 6.9045 4.8136 0.2264 0.0951 4.9218 0.383 2.7095
"51" 12.5 7.8334 4.0077 2.6385 6.8455 15.9887 2.6468 4.1557 1.353 19.9755 5.0052 6.8339 4.7796 0.2284 0.0948 4.8884 0.3781 2.6909
"52" 12.75 7.9881 3.957 2.6051 6.8479 16.165 2.6876 4.2246 1.3565 19.8441 4.9698 6.7631 4.7453 0.2302 0.0945 4.8546 0.373 2.6721
"53" 13 8.1445 3.9064 2.5717 6.8492 16.3407 2.7299 4.2941 1.3604 19.711 4.9341 6.6923 4.7106 0.2316 0.0943 4.8205 0.3678 2.6533
"54" 13.25 8.3026 3.856 2.5386 6.8497 16.5158 2.7737 4.3641 1.3647 19.5764 4.898 6.6215 4.6756 0.2327 0.094 4.786 0.3625 2.6344
"55" 13.5 8.4624 3.8058 2.5056 6.8492 16.6902 2.8189 4.4347 1.3692 19.4402 4.8616 6.5506 4.6404 0.2336 0.0937 4.7512 0.357 2.6155
"56" 13.75 8.6239 3.7559 2.4727 6.8478 16.8639 2.8652 4.5058 1.3739 19.3025 4.825 6.4797 4.6048 0.2343 0.0935 4.7161 0.3514 2.5965
"57" 14 8.7871 3.7062 2.44 6.8456 17.0369 2.9126 4.5775 1.3788 19.1635 4.788 6.4089 4.569 0.2347 0.0932 4.6807 0.3457 2.5774
"58" 14.25 8.952 3.6568 2.4075 6.8424 17.209 2.9609 4.6496 1.3838 19.0232 4.7509 6.3382 4.533 0.2348 0.093 4.6452 0.3398 2.5583
"59" 14.5 9.1186 3.6077 2.3752 6.8383 17.3804 3.0102 4.7223 1.3888 18.8816 4.7134 6.2675 4.4967 0.2348 0.0927 4.6094 0.3339 2.5391
"60" 14.75 9.2868 3.5588 2.343 6.8334 17.5509 3.0601 4.7955 1.3938 18.7388 4.6757 6.1969 4.4602 0.2347 0.0925 4.5733 0.3279 2.5199
"61" 15 9.4567 3.5102 2.3111 6.8276 17.7205 3.1108 4.8692 1.3987 18.5949 4.6379 6.1265 4.4235 0.2343 0.0922 4.5372 0.3217 2.5006
"62" 15.25 9.6283 3.4619 2.2794 6.821 17.8892 3.162 4.9434 1.4036 18.45 4.5998 6.0562 4.3867 0.2338 0.092 4.5008 0.3155 2.4813
"63" 15.5 9.8015 3.414 2.2478 6.8136 18.057 3.2136 5.0181 1.4083 18.304 4.5615 5.986 4.3496 0.2332 0.0917 4.4644 0.3092 2.4619
"64" 15.75 9.9764 3.3663 2.2165 6.8053 18.2238 3.2657 5.0933 1.4129 18.1571 4.5231 5.9161 4.3124 0.2325 0.0915 4.4278 0.3029 2.4425
"65" 16 10.1528 3.319 2.1854 6.7961 18.3895 3.318 5.169 1.4173 18.0094 4.4845 5.8463 4.2751 0.2316 0.0913 4.3911 0.2964 2.423
"66" 16.25 10.3309 3.272 2.1546 6.7862 18.5542 3.3705 5.2451 1.4215 17.8608 4.4458 5.7767 4.2376 0.2307 0.091 4.3544 0.2899 2.4035
"67" 16.5 10.5106 3.2254 2.1239 6.7755 18.7178 3.4231 5.3217 1.4254 17.7115 4.4069 5.7074 4.2 0.2297 0.0908 4.3176 0.2834 2.3839
"68" 16.75 10.6918 3.1791 2.0935 6.764 18.8803 3.4758 5.3987 1.429 17.5614 4.368 5.6384 4.1623 0.2287 0.0906 4.2807 0.2768 2.3642
"69" 17 10.8747 3.1331 2.0633 6.7517 19.0416 3.5284 5.4763 1.4324 17.4107 4.3289 5.5696 4.1245 0.2276 0.0903 4.2438 0.2702 2.3446
"70" 17.25 11.0591 3.0875 2.0334 6.7386 19.2017 3.581 5.5542 1.4355 17.2594 4.2897 5.501 4.0866 0.2264 0.0901 4.2069 0.2635 2.3248
"71" 17.5 11.245 3.0423 2.0037 6.7248 19.3606 3.6334 5.6326 1.4383 17.1076 4.2505 5.4328 4.0486 0.2252 0.0899 4.17 0.2568 2.3051
"72" 17.75 11.4325 2.9975 1.9743 6.7102 19.5182 3.6855 5.7114 1.4407 16.9552 4.2112 5.3649 4.0106 0.224 0.0897 4.1332 0.25 2.2853
"73" 18 11.6214 2.953 1.9451 6.6949 19.6745 3.7375 5.7906 1.4428 16.8024 4.1718 5.2973 3.9726 0.2228 0.0894 4.0963 0.2432 2.2654
"74" 18.25 11.8118 2.9089 1.9161 6.6788 19.8295 3.7891 5.8702 1.4445 16.6492 4.1324 5.23 3.9345 0.2215 0.0892 4.0595 0.2364 2.2456
"75" 18.5 12.0037 2.8652 1.8875 6.662 19.9831 3.8403 5.9502 1.446 16.4956 4.0929 5.1631 3.8963 0.2203 0.089 4.0228 0.2296 2.2257
"76" 18.75 12.1971 2.8219 1.859 6.6445 20.1352 3.8912 6.0306 1.447 16.3417 4.0534 5.0965 3.8582 0.219 0.0888 3.9861 0.2227 2.2057
"77" 19 12.3918 2.779 1.8309 6.6264 20.2859 3.9416 6.1114 1.4477 16.1875 4.0139 5.0303 3.82 0.2178 0.0886 3.9495 0.2159 2.1858
"78" 19.25 12.5879 2.7365 1.803 6.6075 20.435 3.9916 6.1925 1.4481 16.0331 3.9744 4.9645 3.7818 0.2165 0.0883 3.913 0.209 2.1658
"79" 19.5 12.7854 2.6943 1.7753 6.5879 20.5826 4.0411 6.274 1.4481 15.8785 3.9349 4.8991 3.7437 0.2153 0.0881 3.8765 0.2021 2.1458
"80" 19.75 12.9843 2.6526 1.7479 6.5676 20.7286 4.09 6.3558 1.4478 15.7238 3.8954 4.834 3.7056 0.2141 0.0879 3.8402 0.1952 2.1257
"81" 20 13.1844 2.6113 1.7208 6.5467 20.873 4.1385 6.438 1.4472 15.5689 3.8559 4.7694 3.6674 0.2129 0.0877 3.804 0.1882 2.1057
"82" 20.25 13.3858 2.5704 1.694 6.5251 21.0157 4.1864 6.5204 1.4462 15.414 3.8165 4.7051 3.6294 0.2118 0.0875 3.7679 0.1813 2.0856
"83" 20.5 13.5884 2.5298 1.6674 6.5029 21.1568 4.2337 6.6031 1.4448 15.259 3.7771 4.6413 3.5913 0.2107 0.0873 3.732 0.1744 2.0656
"84" 20.75 13.7923 2.4897 1.6411 6.48 21.296 4.2804 6.6861 1.4432 15.104 3.7377 4.5779 3.5533 0.2095 0.0871 3.6962 0.1674 2.0455
