"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1281 0.1439 0.1567 0.1716 0.1778 0.1889 0.1984 0.2132 0.221 0.2366 0.252 0.2599 5.952 9.9465 13.9359 3.9742 8.9627
"3" 0.5 0.1491 0.1725 0.1888 0.2102 0.2108 0.223 0.2316 0.2525 0.2571 0.2799 0.3024 0.307 5.8978 9.8863 13.8638 3.9452 8.9209
"4" 0.75 0.1736 0.2068 0.2275 0.2575 0.2498 0.2632 0.2704 0.2989 0.299 0.331 0.3627 0.3626 5.8362 9.818 13.7818 3.9123 8.8736
"5" 1 0.202 0.2478 0.2741 0.3154 0.296 0.3106 0.3156 0.3539 0.3478 0.3914 0.4351 0.4282 5.7657 9.74 13.6881 3.8746 8.8197
"6" 1.25 0.2351 0.297 0.3301 0.3861 0.3507 0.3666 0.3683 0.4188 0.4044 0.4627 0.5217 0.5055 5.6843 9.6502 13.5802 3.8313 8.7578
"7" 1.5 0.2735 0.3558 0.3976 0.4727 0.4155 0.4324 0.4298 0.4956 0.4701 0.5469 0.6255 0.5965 5.59 9.5464 13.4553 3.7811 8.6864
"8" 1.75 0.3181 0.4263 0.4788 0.5783 0.492 0.5101 0.5015 0.5862 0.5465 0.6463 0.7498 0.7038 5.4801 9.4258 13.3101 3.7227 8.6036
"9" 2 0.3699 0.5105 0.5764 0.7074 0.5824 0.6015 0.585 0.6931 0.635 0.7635 0.8984 0.8301 5.3519 9.2852 13.1406 3.6547 8.5074
"10" 2.25 0.43 0.6112 0.6938 0.8648 0.6891 0.709 0.6825 0.8192 0.7378 0.9016 1.076 0.9785 5.2017 9.1209 12.9425 3.5751 8.3952
"11" 2.5 0.4997 0.7315 0.8347 1.0565 0.8151 0.8353 0.7959 0.9676 0.8568 1.0641 1.288 1.1529 5.0256 8.9285 12.7104 3.482 8.2641
"12" 2.75 0.5804 0.8751 1.0038 1.2897 0.9634 0.9834 0.9281 1.1422 0.9945 1.2553 1.5408 1.3574 4.8189 8.7029 12.4383 3.3728 8.1108
"13" 3 0.6737 1.0463 1.2066 1.573 1.138 1.1569 1.082 1.3469 1.1538 1.4797 1.8417 1.5968 4.5762 8.4383 12.119 3.2447 7.9313
"14" 3.25 0.7814 1.2498 1.4493 1.9161 1.3429 1.3596 1.2609 1.5865 1.3377 1.7427 2.199 1.8763 4.2916 8.1282 11.7447 3.0947 7.7213
"15" 3.5 0.9055 1.491 1.7393 2.3305 1.5828 1.5954 1.4689 1.8659 1.5494 2.0501 2.622 2.2018 3.9583 7.7652 11.3066 2.9192 7.4758
"16" 3.75 1.0479 1.7756 2.0843 2.8289 1.8627 1.8686 1.7103 2.1898 1.7927 2.4081 3.1204 2.5791 3.5692 7.3413 10.7951 2.7145 7.1896
"17" 4 1.2103 2.1094 2.4922 3.425 2.1876 2.1827 1.9902 2.5624 2.0709 2.8231 3.7034 3.014 3.1176 6.8487 10.201 2.4771 6.8572
"18" 4.25 1.3929 2.4969 2.9699 4.1318 2.562 2.5395 2.3142 2.9853 2.3872 3.3006 4.3779 3.5109 2.598 6.2809 9.5166 2.2043 6.4738
"19" 4.5 1.5939 2.9384 3.5202 4.9598 2.9889 2.9359 2.6846 3.4542 2.7438 3.8444 5.1423 4.0715 2.0103 5.6361 8.7402 1.8958 6.0377
"20" 4.75 1.8056 3.4224 4.1328 5.911 3.4671 3.3569 3.0953 3.9492 3.1399 4.4532 5.973 4.6914 1.3676 4.9259 7.8862 1.5585 5.555
"21" 5 2.0039 3.9023 4.7553 6.9711 3.9857 3.7538 3.5213 4.4094 3.5702 5.1172 6.7815 5.3506 0.7201 4.1972 7.0116 1.2183 5.0525
"22" 5.25 2.1243 4.2338 5.2122 7.8897 4.4098 3.9964 3.8648 4.6788 3.9778 5.7652 7.3134 5.8541 0.2373 3.6358 6.3336 0.9692 4.6494
"23" 5.5 2.1243 4.2966 5.3331 8.2686 4.5655 4.002 3.9958 4.6708 4.1934 6.1175 7.3823 5.9931 0.1025 3.4587 6.1155 0.9051 4.5046
"24" 5.75 2.0875 4.2699 5.3357 8.4353 4.6162 3.9359 4.0404 4.5818 4.319 6.329 7.3043 6.0009 0.0912 3.4225 6.067 0.9058 4.4589
"25" 6 2.0482 4.2353 5.3272 8.5832 4.657 3.8645 4.0766 4.4876 4.4377 6.531 7.214 5.9963 0.09 3.3984 6.0327 0.912 4.4218
"26" 6.25 2.0089 4.1994 5.3165 8.7292 4.696 3.7933 4.1114 4.3939 4.5574 6.7359 7.1224 5.9892 0.0893 3.3754 5.9991 0.9187 4.3855
"27" 6.5 1.9699 4.1624 5.304 8.874 4.7335 3.7224 4.145 4.3011 4.6785 6.9444 7.0298 5.9802 0.0887 3.353 5.9658 0.9257 4.3495
"28" 6.75 1.9311 4.1246 5.2898 9.0175 4.7697 3.6519 4.1774 4.2092 4.801 7.1563 6.9365 5.9691 0.0881 3.3312 5.9325 0.9329 4.3138
"29" 7 1.8927 4.0859 5.2739 9.1595 4.8043 3.5818 4.2086 4.1183 4.9248 7.3716 6.8425 5.9561 0.0874 3.3099 5.8994 0.9404 4.2786
"30" 7.25 1.8545 4.0463 5.2563 9.2999 4.8375 3.5122 4.2385 4.0284 5.0498 7.5901 6.7478 5.9412 0.0868 3.2893 5.8665 0.9481 4.2437
"31" 7.5 1.8167 4.0058 5.237 9.4385 4.8691 3.443 4.2671 3.9394 5.1759 7.8118 6.6525 5.9243 0.0862 3.2692 5.8339 0.9561 4.2093
"32" 7.75 1.7792 3.9645 5.216 9.5752 4.899 3.3743 4.2944 3.8515 5.3031 8.0365 6.5566 5.9055 0.0855 3.2498 5.8014 0.9644 4.1753
"33" 8 1.742 3.9224 5.1934 9.7098 4.9274 3.3061 4.3203 3.7646 5.4312 8.2642 6.4602 5.8847 0.0849 3.231 5.7692 0.9729 4.1418
"34" 8.25 1.7051 3.8796 5.1691 9.8421 4.954 3.2385 4.3448 3.6787 5.5602 8.4946 6.3634 5.8621 0.0843 3.2129 5.7373 0.9817 4.1088
"35" 8.5 1.6687 3.8361 5.1431 9.972 4.979 3.1714 4.3679 3.5939 5.6899 8.7277 6.2663 5.8375 0.0836 3.1955 5.7058 0.9906 4.0764
"36" 8.75 1.6325 3.7919 5.1156 10.0994 5.0022 3.1049 4.3895 3.5101 5.8204 8.9634 6.1688 5.8111 0.083 3.1788 5.6745 0.9999 4.0445
"37" 9 1.5968 3.747 5.0865 10.2241 5.0236 3.039 4.4097 3.4275 5.9514 9.2014 6.0711 5.7829 0.0824 3.1628 5.6437 1.0094 4.0132
"38" 9.25 1.5615 3.7016 5.0559 10.346 5.0433 2.9738 4.4283 3.346 6.0829 9.4417 5.9732 5.7529 0.0818 3.1475 5.6132 1.0191 3.9825
"39" 9.5 1.5265 3.6555 5.0238 10.465 5.0612 2.9092 4.4455 3.2657 6.2149 9.6841 5.8753 5.7211 0.0811 3.133 5.5831 1.029 3.9524
"40" 9.75 1.492 3.609 4.9902 10.581 5.0773 2.8452 4.4611 3.1865 6.3472 9.9284 5.7772 5.6877 0.0805 3.1192 5.5535 1.0391 3.9229
"41" 10 1.4579 3.5619 4.9552 10.6938 5.0915 2.782 4.4752 3.1084 6.4797 10.1745 5.6792 5.6525 0.0799 3.1061 5.5243 1.0495 3.8941
"42" 10.25 1.4242 3.5144 4.9188 10.8033 5.104 2.7195 4.4878 3.0316 6.6123 10.4223 5.5813 5.6157 0.0793 3.0939 5.4956 1.0601 3.866
"43" 10.5 1.391 3.4666 4.8811 10.9095 5.1146 2.6577 4.4988 2.9559 6.745 10.6716 5.4835 5.5773 0.0787 3.0824 5.4674 1.0709 3.8385
"44" 10.75 1.3582 3.4183 4.8422 11.0123 5.1234 2.5967 4.5083 2.8814 6.8776 10.9222 5.386 5.5374 0.0781 3.0717 5.4396 1.0818 3.8118
