"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1329 0.1343 0.1525 0.1604 0.1851 0.1964 0.2042 0.2044 0.219 0.2311 0.2526 0.2581 5.9519 9.9464 13.9362 3.9742 8.9633
"3" 0.5 0.1605 0.1503 0.1789 0.1838 0.2284 0.2411 0.2452 0.2321 0.2524 0.2671 0.3038 0.3029 5.8976 9.8859 13.8642 3.9451 8.9221
"4" 0.75 0.1938 0.1682 0.2099 0.2106 0.2819 0.2958 0.2945 0.2636 0.2909 0.3085 0.3654 0.3552 5.8356 9.8171 13.7822 3.9119 8.8754
"5" 1 0.234 0.1882 0.2462 0.2413 0.3477 0.363 0.3537 0.2992 0.3353 0.3564 0.4393 0.4166 5.7642 9.7381 13.6879 3.8738 8.8222
"6" 1.25 0.2824 0.2106 0.2887 0.2763 0.4288 0.4453 0.4247 0.3396 0.3863 0.4116 0.5281 0.4885 5.6814 9.6468 13.5788 3.8296 8.761
"7" 1.5 0.3408 0.2356 0.3386 0.3164 0.5286 0.5461 0.51 0.3854 0.445 0.4753 0.6347 0.5726 5.5848 9.5407 13.4518 3.7782 8.6902
"8" 1.75 0.4112 0.2635 0.397 0.3622 0.6516 0.6697 0.6122 0.4372 0.5125 0.5487 0.7626 0.671 5.4717 9.4167 13.3032 3.7181 8.6079
"9" 2 0.496 0.2947 0.4653 0.4145 0.8027 0.8208 0.7349 0.4959 0.5902 0.6333 0.916 0.786 5.3386 9.2713 13.1287 3.6475 8.5118
"10" 2.25 0.598 0.3295 0.5452 0.4742 0.9885 1.0057 0.882 0.5622 0.6794 0.7306 1.0996 0.9203 5.1817 9.1002 12.9229 3.5643 8.3993
"11" 2.5 0.7206 0.3683 0.6387 0.5421 1.2165 1.2313 1.0583 0.637 0.7818 0.8425 1.3194 1.0769 4.9962 8.8985 12.6799 3.4662 8.2673
"12" 2.75 0.8679 0.4116 0.7479 0.6194 1.496 1.5064 1.2696 0.7213 0.8992 0.971 1.582 1.2592 4.7767 8.6603 12.3925 3.3501 8.112
"13" 3 1.0444 0.4597 0.8753 0.7072 1.838 1.841 1.5226 0.8162 1.0336 1.1184 1.8951 1.4711 4.5168 8.3789 12.0522 3.213 7.9292
"14" 3.25 1.2556 0.513 1.0238 0.8067 2.2555 2.2468 1.8253 0.9225 1.1874 1.2869 2.2676 1.7167 4.2094 8.0464 11.6496 3.0508 7.714
"15" 3.5 1.5076 0.572 1.1964 0.919 2.7635 2.7369 2.1873 1.0412 1.3626 1.4792 2.7088 2.0002 3.8463 7.6543 11.1737 2.8596 7.4607
"16" 3.75 1.807 0.6368 1.3958 1.0451 3.379 3.3254 2.6196 1.1728 1.5618 1.6976 3.2287 2.3261 3.4191 7.1931 10.6129 2.6346 7.1631
"17" 4 2.1594 0.7074 1.6245 1.1858 4.12 4.0253 3.135 1.3173 1.787 1.9442 3.8359 2.6978 2.9199 6.6536 9.9558 2.3718 6.8151
"18" 4.25 2.5669 0.7833 1.8837 1.3412 5.0039 4.844 3.747 1.473 2.0398 2.2202 4.5343 3.1172 2.3436 6.0291 9.1941 2.0684 6.4113
"19" 4.5 3.0239 0.8626 2.1702 1.5099 6.0427 5.7721 4.4566 1.6348 2.32 2.5247 5.3139 3.5826 1.6954 5.323 8.3315 1.7267 5.9525
"20" 4.75 3.5009 0.9394 2.4686 1.6882 7.2351 6.7486 5.2453 1.7887 2.6246 2.8528 6.1247 4.0847 1.0081 4.5641 7.4031 1.3628 5.453
"21" 5 3.8976 0.9975 2.7241 1.858 8.4582 7.564 6.0101 1.8972 2.9405 3.192 6.798 4.5554 0.4018 3.871 6.553 1.0391 4.9806
"22" 5.25 4.0402 1.0085 2.8275 1.9377 9.1847 7.8614 6.4668 1.9073 3.1549 3.4244 7.039 4.7689 0.1305 3.5288 6.1316 0.8926 4.7245
"23" 5.5 4.0219 0.9903 2.8244 1.9465 9.4754 7.834 6.6475 1.8631 3.2568 3.5305 7.0042 4.793 0.0964 3.4514 6.0348 0.8724 4.6454
"24" 5.75 3.9832 0.9687 2.8069 1.9451 9.7047 7.7657 6.7879 1.8135 3.3415 3.6174 6.9344 4.7906 0.094 3.4103 5.9824 0.869 4.5912
"25" 6 3.943 0.9472 2.7882 1.9427 9.9328 7.6942 6.9268 1.7646 3.4264 3.7042 6.862 4.7858 0.0935 3.3711 5.9322 0.8666 4.538
"26" 6.25 3.9024 0.9261 2.7691 1.9399 10.1632 7.6218 7.0667 1.7167 3.5126 3.7922 6.7891 4.7799 0.093 3.3318 5.8817 0.8643 4.4845
"27" 6.5 3.8615 0.9054 2.7496 1.9367 10.3962 7.5486 7.2077 1.67 3.6001 3.8813 6.7157 4.773 0.0926 3.2922 5.8306 0.862 4.4306
"28" 6.75 3.8203 0.885 2.7297 1.9332 10.6317 7.4747 7.3495 1.6243 3.6889 3.9716 6.6418 4.7652 0.0922 3.2522 5.779 0.8596 4.3762
"29" 7 3.7788 0.8649 2.7094 1.9293 10.8694 7.4 7.4923 1.5797 3.779 4.063 6.5676 4.7564 0.0918 3.212 5.727 0.8573 4.3215
"30" 7.25 3.7371 0.8451 2.6888 1.925 11.1094 7.3246 7.6358 1.536 3.8704 4.1555 6.4929 4.7466 0.0914 3.1716 5.6745 0.855 4.2663
"31" 7.5 3.6951 0.8257 2.6678 1.9203 11.3515 7.2486 7.7801 1.4934 3.963 4.249 6.4178 4.7358 0.0909 3.1309 5.6217 0.8526 4.2108
"32" 7.75 3.6528 0.8066 2.6464 1.9152 11.5955 7.1719 7.925 1.4518 4.0568 4.3435 6.3424 4.724 0.0905 3.09 5.5684 0.8503 4.155
"33" 8 3.6104 0.7879 2.6247 1.9098 11.8414 7.0946 8.0704 1.4111 4.1518 4.4391 6.2666 4.7112 0.0901 3.0489 5.5147 0.848 4.0989
"34" 8.25 3.5677 0.7694 2.6026 1.9039 12.089 7.0167 8.2164 1.3714 4.2479 4.5356 6.1905 4.6975 0.0896 3.0076 5.4608 0.8457 4.0425
"35" 8.5 3.5248 0.7513 2.5802 1.8977 12.3382 6.9382 8.3627 1.3326 4.3452 4.633 6.1142 4.6827 0.0892 2.9661 5.4065 0.8434 3.9858
"36" 8.75 3.4817 0.7335 2.5574 1.8911 12.5889 6.8592 8.5093 1.2948 4.4436 4.7313 6.0375 4.667 0.0888 2.9245 5.3519 0.8411 3.9289
"37" 9 3.4385 0.716 2.5344 1.8842 12.8409 6.7797 8.6561 1.2578 4.5431 4.8304 5.9607 4.6503 0.0883 2.8827 5.2971 0.8389 3.8719
"38" 9.25 3.3951 0.6988 2.511 1.8768 13.0941 6.6997 8.803 1.2218 4.6436 4.9303 5.8837 4.6326 0.0879 2.8409 5.242 0.8366 3.8146
"39" 9.5 3.3516 0.682 2.4874 1.8691 13.3484 6.6193 8.95 1.1866 4.7451 5.031 5.8065 4.614 0.0874 2.7989 5.1867 0.8344 3.7573
"40" 9.75 3.308 0.6654 2.4635 1.861 13.6036 6.5385 9.097 1.1522 4.8476 5.1324 5.7291 4.5945 0.087 2.7569 5.1313 0.8322 3.6998
"41" 10 3.2643 0.6491 2.4393 1.8526 13.8595 6.4573 9.2438 1.1187 4.9509 5.2345 5.6517 4.574 0.0866 2.7148 5.0758 0.8301 3.6423
