"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1305 0.1465 0.1532 0.1628 0.1799 0.1935 0.1999 0.2146 0.2341 0.2296 0.2507 0.2584 5.9523 9.9444 13.9363 3.9738 8.9621
"3" 0.5 0.1547 0.1789 0.1805 0.1894 0.2156 0.2341 0.235 0.2558 0.2883 0.2635 0.2992 0.3035 5.8986 9.8814 13.8647 3.9441 8.9194
"4" 0.75 0.1835 0.2185 0.2126 0.2202 0.2585 0.2831 0.2764 0.3049 0.3551 0.3024 0.3571 0.3564 5.8375 9.8092 13.7834 3.9103 8.8709
"5" 1 0.2176 0.2667 0.2505 0.2561 0.3098 0.3422 0.3249 0.3633 0.4373 0.347 0.426 0.4184 5.7674 9.7258 13.6903 3.8714 8.8153
"6" 1.25 0.2579 0.3255 0.2951 0.2976 0.3712 0.4137 0.3819 0.4327 0.5385 0.3981 0.5083 0.4911 5.6867 9.629 13.5832 3.8265 8.7511
"7" 1.5 0.3057 0.3972 0.3475 0.3459 0.4447 0.5 0.449 0.5154 0.6628 0.4567 0.6062 0.5763 5.593 9.5158 13.459 3.7741 8.6766
"8" 1.75 0.3622 0.4846 0.4091 0.4018 0.5325 0.6042 0.5277 0.6136 0.8157 0.5237 0.7228 0.676 5.4839 9.3829 13.3147 3.713 8.5897
"9" 2 0.4291 0.591 0.4816 0.4666 0.6375 0.7298 0.6201 0.7303 1.0034 0.6004 0.8616 0.7926 5.3563 9.2264 13.1461 3.6413 8.488
"10" 2.25 0.508 0.7206 0.5668 0.5417 0.7629 0.8812 0.7286 0.8688 1.2339 0.6881 1.0265 0.929 5.2068 9.0416 12.9488 3.557 8.3687
"11" 2.5 0.6013 0.8782 0.6668 0.6285 0.9123 1.0635 0.8559 1.0328 1.5166 0.7882 1.2225 1.0881 5.0313 8.8228 12.7174 3.4577 8.2283
"12" 2.75 0.7112 1.0697 0.7842 0.7287 1.0904 1.2825 1.0053 1.227 1.863 0.9024 1.4549 1.2736 4.8249 8.5635 12.4456 3.3407 8.063
"13" 3 0.8407 1.3022 0.9217 0.8441 1.3021 1.5452 1.1803 1.4564 2.2867 1.0325 1.7301 1.4893 4.5823 8.2562 12.1264 3.2028 7.8682
"14" 3.25 0.9928 1.5837 1.0825 0.9768 1.5532 1.8596 1.3853 1.7265 2.804 1.1803 2.0553 1.7396 4.2973 7.8921 11.7515 3.0404 7.6386
"15" 3.5 1.171 1.9237 1.2704 1.1288 1.8501 2.2344 1.6252 2.0435 3.434 1.3477 2.4381 2.0289 3.963 7.4612 11.312 2.8493 7.3682
"16" 3.75 1.379 2.3323 1.4891 1.3021 2.1998 2.679 1.9056 2.4134 4.1985 1.5367 2.8869 2.3615 3.5722 6.9529 10.7982 2.6253 7.0508
"17" 4 1.6204 2.8202 1.7421 1.4984 2.609 3.2026 2.2328 2.8416 5.1215 1.7486 3.4093 2.7414 3.1179 6.3558 10.2006 2.3642 6.6794
"18" 4.25 1.8979 3.3968 2.0319 1.7182 3.0834 3.8115 2.6136 3.3308 6.2273 1.9841 4.0103 3.1705 2.5949 5.6603 9.5118 2.0625 6.2483
"19" 4.5 2.209 4.0654 2.3583 1.9606 3.6255 4.5043 3.0531 3.8763 7.5364 2.2422 4.6877 3.6469 2.0037 4.8625 8.7311 1.7202 5.7548
"20" 4.75 2.5429 4.8116 2.7131 2.2202 4.2298 5.2577 3.5441 4.4557 9.0545 2.518 5.4193 4.1607 1.3605 3.9757 7.8776 1.3456 5.2072
"21" 5 2.8629 5.5661 3.0649 2.4847 4.8742 5.9881 4.0576 4.9984 10.7518 2.7997 6.1271 4.6867 0.723 3.0576 7.0203 0.9694 4.6398
"22" 5.25 3.0724 6.1169 3.3185 2.7109 5.4432 6.4727 4.4837 5.3317 12.4967 3.0643 6.6001 5.1148 0.2528 2.288 6.3627 0.682 4.1637
"23" 5.5 3.1023 6.2749 3.3845 2.7939 5.6924 6.5552 4.6735 5.3534 13.6711 3.2151 6.6811 5.2497 0.1119 1.9397 6.1371 0.5847 3.9502
"24" 5.75 3.0701 6.2861 3.3787 2.8151 5.8015 6.4997 4.7568 5.2734 14.5114 3.2979 6.6247 5.2676 0.098 1.7746 6.0845 0.5622 3.8521
"25" 6 3.0319 6.2815 3.365 2.8293 5.8957 6.4304 4.8284 5.1842 15.3475 3.3739 6.5544 5.2725 0.0965 1.6233 6.0491 0.5466 3.7638
"26" 6.25 2.993 6.274 3.3501 2.8423 5.9883 6.3594 4.8987 5.0949 16.2213 3.4499 6.4824 5.2751 0.0958 1.4671 6.0147 0.5307 3.6737
"27" 6.5 2.9539 6.2646 3.3342 2.8545 6.0801 6.2874 4.9683 5.0058 17.1367 3.5264 6.4094 5.276 0.0952 1.3044 5.9802 0.5142 3.5811
"28" 6.75 2.9144 6.2531 3.3174 2.8658 6.1709 6.2145 5.0371 4.917 18.0952 3.6033 6.3355 5.2752 0.0945 1.1351 5.9456 0.4969 3.4858
"29" 7 2.8747 6.2396 3.2996 2.8762 6.2608 6.1406 5.105 4.8286 19.0979 3.6806 6.2607 5.2728 0.0939 0.959 5.9108 0.4788 3.3877
"30" 7.25 2.8348 6.224 3.281 2.8856 6.3494 6.0659 5.1719 4.7405 20.146 3.7581 6.1849 5.2685 0.0932 0.7759 5.876 0.4599 3.2869
"31" 7.5 2.7945 6.2062 3.2614 2.894 6.4367 5.9902 5.2376 4.6527 21.2407 3.8358 6.1082 5.2625 0.0925 0.5856 5.8411 0.4401 3.1833
"32" 7.75 2.7541 6.1863 3.2408 2.9014 6.5225 5.9136 5.3021 4.5653 22.383 3.9136 6.0306 5.2546 0.0918 0.3881 5.8063 0.4196 3.0768
