"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1382 0.1447 0.155 0.1599 0.169 0.1834 0.2015 0.2148 0.226 0.2364 0.2401 0.2621 5.9561 9.949 13.9396 3.9756 8.9627
"3" 0.5 0.1736 0.1746 0.1849 0.1826 0.1903 0.2101 0.2388 0.2563 0.2688 0.2793 0.2745 0.3123 5.9074 9.8922 13.8722 3.9484 8.9209
"4" 0.75 0.2181 0.2105 0.2205 0.2085 0.2143 0.2408 0.283 0.3057 0.3196 0.33 0.3138 0.372 5.853 9.8283 13.7965 3.9178 8.8734
"5" 1 0.2739 0.2538 0.2629 0.238 0.2413 0.2758 0.3354 0.3647 0.38 0.3899 0.3586 0.4431 5.7917 9.7558 13.7107 3.883 8.8191
"6" 1.25 0.3439 0.306 0.3134 0.2717 0.2717 0.316 0.3975 0.4349 0.4518 0.4605 0.4099 0.5276 5.7222 9.673 13.6127 3.8433 8.7566
"7" 1.5 0.4317 0.3688 0.3735 0.31 0.3058 0.3619 0.471 0.5185 0.537 0.5438 0.4683 0.6281 5.6428 9.5779 13.5002 3.7976 8.6842
"8" 1.75 0.5417 0.4445 0.4452 0.3537 0.3442 0.4145 0.558 0.6181 0.6382 0.6421 0.535 0.7474 5.5518 9.4681 13.3704 3.7447 8.6
"9" 2 0.6796 0.5355 0.5304 0.4034 0.3872 0.4746 0.6609 0.7365 0.7582 0.7579 0.6111 0.8892 5.4471 9.3407 13.2199 3.6834 8.5017
"10" 2.25 0.8523 0.645 0.6319 0.46 0.4356 0.5432 0.7828 0.8773 0.9006 0.8942 0.6978 1.0573 5.3261 9.1925 13.0449 3.612 8.3864
"11" 2.5 1.0683 0.7767 0.7525 0.5243 0.4898 0.6216 0.927 1.0445 1.0693 1.0547 0.7965 1.2567 5.186 9.0196 12.8408 3.5286 8.251
"12" 2.75 1.3383 0.9349 0.8958 0.5973 0.5506 0.711 1.0974 1.2428 1.2691 1.2433 0.9089 1.4927 5.0234 8.8175 12.6023 3.431 8.0917
"13" 3 1.6753 1.1247 1.066 0.68 0.6186 0.8129 1.2988 1.4779 1.5055 1.4648 1.0366 1.7716 4.8344 8.5809 12.3231 3.3165 7.9039
"14" 3.25 2.0954 1.3522 1.2678 0.7737 0.6946 0.9288 1.5366 1.7559 1.7847 1.7244 1.1815 2.1006 4.6147 8.3036 11.9962 3.1822 7.6825
"15" 3.5 2.6177 1.6245 1.5067 0.8793 0.7792 1.0604 1.8172 2.084 2.1138 2.028 1.3458 2.4877 4.3593 7.9786 11.6133 3.0247 7.4215
"16" 3.75 3.2656 1.9496 1.789 0.9982 0.8734 1.2093 2.1478 2.47 2.5011 2.3822 1.5313 2.9415 4.0626 7.598 11.165 2.84 7.114
"17" 4 4.066 2.3365 2.1217 1.1313 0.9775 1.3771 2.5367 2.9221 2.955 2.7935 1.7401 3.4709 3.7186 7.1531 10.6413 2.6239 6.7524
"18" 4.25 5.0495 2.7948 2.5123 1.2793 1.0922 1.5653 2.9933 3.4484 3.4847 3.2686 1.9739 4.0844 3.3214 6.6347 10.0314 2.372 6.3288
"19" 4.5 6.2483 3.3334 2.9679 1.4424 1.2172 1.7744 3.5278 4.0551 4.0983 3.8128 2.2336 4.7881 2.8657 6.034 9.3256 2.0803 5.8352
"20" 4.75 7.691 3.9584 3.4942 1.6192 1.3516 2.0033 4.151 4.7437 4.801 4.4276 2.518 5.5821 2.3486 5.3451 8.5171 1.7462 5.2657
"21" 5 9.3899 4.6677 4.0892 1.8056 1.4924 2.2471 4.8726 5.5033 5.5901 5.106 2.8215 6.4533 1.7743 4.5693 7.6089 1.3714 4.6203
"22" 5.25 11.287 5.4351 4.7331 1.9917 1.6329 2.4921 5.6795 6.2922 6.4428 5.8214 3.1281 7.3594 1.166 3.7336 6.6346 0.9707 3.9203
"23" 5.5 13.1373 6.1692 5.3554 2.1566 1.758 2.7025 6.5069 6.9942 7.2907 6.5056 3.3949 8.2007 0.5939 2.9268 5.7031 0.5907 3.2389
"24" 5.75 14.348 6.6434 5.7723 2.2701 1.8452 2.8056 7.1546 7.3713 8.0059 7.0443 3.5318 8.8217 0.21 2.3517 5.0618 0.3348 2.7478
"25" 6 14.6035 6.727 5.8612 2.3025 1.8636 2.7779 7.4147 7.3473 8.4881 7.4019 3.5039 9.0211 0.0979 2.1465 4.8584 0.2675 2.5688
"26" 6.25 14.5557 6.6835 5.8388 2.2945 1.8513 2.7125 7.5217 7.2077 8.8065 7.6383 3.4274 9.0382 0.0882 2.0887 4.8208 0.2687 2.5133
"27" 6.5 14.4802 6.6285 5.8061 2.2827 1.8362 2.6453 7.6141 7.0607 9.1149 7.8637 3.3482 9.0377 0.087 2.0432 4.7975 0.2757 2.4687
"28" 6.75 14.398 6.5709 5.7708 2.2698 1.8204 2.579 7.7034 6.914 9.428 8.0909 3.2697 9.0326 0.0862 1.9986 4.7756 0.2834 2.4255
"29" 7 14.3101 6.5114 5.7334 2.2562 1.8041 2.5136 7.7901 6.7683 9.7466 8.3202 3.1921 9.0236 0.0854 1.9543 4.7546 0.2916 2.3832
"30" 7.25 14.2169 6.4498 5.6941 2.2418 1.7874 2.4492 7.874 6.6236 10.0706 8.5516 3.1155 9.0109 0.0846 1.9102 4.7343 0.3001 2.3419
"31" 7.5 14.1184 6.3864 5.6528 2.2267 1.7701 2.3858 7.9552 6.4799 10.3998 8.7849 3.0399 8.9943 0.0839 1.8665 4.7149 0.309 2.3015
"32" 7.75 14.0148 6.3213 5.6096 2.2108 1.7525 2.3234 8.0335 6.3374 10.734 9.0198 2.9652 8.974 0.0831 1.8231 4.6962 0.3183 2.2621
"33" 8 13.9064 6.2544 5.5647 2.1943 1.7344 2.2621 8.1089 6.1962 11.073 9.2563 2.8916 8.95 0.0824 1.7801 4.6783 0.328 2.2236
"34" 8.25 13.7932 6.186 5.518 2.177 1.7159 2.2018 8.1812 6.0563 11.4168 9.4941 2.8191 8.9224 0.0817 1.7373 4.6613 0.338 2.1861
"35" 8.5 13.6754 6.116 5.4695 2.1592 1.697 2.1425 8.2505 5.9177 11.7651 9.7332 2.7476 8.8912 0.0809 1.6949 4.645 0.3483 2.1496
"36" 8.75 13.5533 6.0446 5.4195 2.1407 1.6778 2.0842 8.3166 5.7807 12.1177 9.9732 2.6772 8.8565 0.0802 1.6529 4.6295 0.359 2.1141
"37" 9 13.4271 5.9719 5.368 2.1216 1.6582 2.0271 8.3796 5.6451 12.4745 10.2141 2.608 8.8185 0.0795 1.6112 4.6148 0.3699 2.0795
"38" 9.25 13.2969 5.8979 5.315 2.1019 1.6383 1.971 8.4393 5.5112 12.8352 10.4556 2.5398 8.7771 0.0788 1.5699 4.6009 0.3811 2.046
"39" 9.5 13.1629 5.8229 5.2607 2.0817 1.6182 1.916 8.4958 5.3789 13.1997 10.6976 2.4728 8.7326 0.0781 1.5289 4.5878 0.3926 2.0134
"40" 9.75 13.0254 5.7468 5.205 2.061 1.5977 1.862 8.549 5.2483 13.5677 10.9399 2.407 8.6849 0.0775 1.4883 4.5754 0.4044 1.9818
"41" 10 12.8846 5.6697 5.1481 2.0398 1.577 1.8091 8.5989 5.1195 13.9391 11.1824 2.3423 8.6341 0.0768 1.448 4.5638 0.4164 1.9512
"42" 10.25 12.7407 5.5918 5.0901 2.0182 1.5561 1.7573 8.6455 4.9924 14.3137 11.4248 2.2788 8.5804 0.0762 1.4081 4.5529 0.4286 1.9215
"43" 10.5 12.5938 5.5131 5.031 1.9961 1.535 1.7066 8.6887 4.8673 14.6912 11.6671 2.2165 8.524 0.0755 1.3686 4.5428 0.441 1.8928
