"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1292 0.1462 0.1525 0.1629 0.1786 0.1908 0.2062 0.2138 0.2296 0.2416 0.2569 0.256 5.9491 9.9427 13.9321 3.973 8.9602
"3" 0.5 0.1518 0.1782 0.1789 0.1895 0.2127 0.2275 0.25 0.254 0.2774 0.2917 0.3143 0.2978 5.8909 9.8772 13.8547 3.9422 8.9148
"4" 0.75 0.1784 0.2171 0.2098 0.2205 0.2533 0.2712 0.3032 0.3016 0.3351 0.3522 0.3843 0.3463 5.8237 9.8017 13.7657 3.9068 8.8627
"5" 1 0.2095 0.2645 0.246 0.2564 0.3015 0.3233 0.3676 0.3581 0.4048 0.4252 0.47 0.4027 5.7456 9.7141 13.6624 3.8659 8.8024
"6" 1.25 0.246 0.3222 0.2885 0.2981 0.3588 0.3854 0.4457 0.4251 0.4888 0.5131 0.5745 0.4682 5.6543 9.6116 13.5417 3.8181 8.7321
"7" 1.5 0.2888 0.3923 0.3382 0.3466 0.4269 0.4592 0.5403 0.5044 0.5902 0.6191 0.7021 0.5442 5.5467 9.4911 13.4002 3.7622 8.6496
"8" 1.75 0.339 0.4776 0.3965 0.4027 0.5077 0.547 0.6549 0.5983 0.7124 0.7468 0.8578 0.6323 5.4197 9.3489 13.2333 3.6963 8.5526
"9" 2 0.3977 0.5813 0.4646 0.4678 0.6037 0.6513 0.7936 0.7094 0.8596 0.9004 1.0475 0.7343 5.2692 9.1804 13.036 3.6186 8.438
"10" 2.25 0.4665 0.7072 0.5443 0.5432 0.7174 0.7752 0.9616 0.8407 1.0368 1.0851 1.2784 0.8524 5.0904 8.9803 12.8021 3.5265 8.3024
"11" 2.5 0.5468 0.86 0.6374 0.6303 0.8521 0.922 1.1648 0.9955 1.2499 1.3068 1.5592 0.9889 4.8778 8.7425 12.5246 3.4174 8.1415
"12" 2.75 0.6407 1.0452 0.7461 0.7308 1.0112 1.0957 1.4104 1.1777 1.5058 1.5727 1.8999 1.1463 4.6248 8.4595 12.195 3.2879 7.9505
"13" 3 0.75 1.2689 0.8728 0.8465 1.199 1.3005 1.7072 1.3915 1.8127 1.8909 2.3123 1.3274 4.3239 8.1228 11.8038 3.1344 7.7239
