"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1327 0.1524 0.1531 0.1677 0.1786 0.1874 0.2018 0.2189 0.2288 0.2403 0.2572 0.2626 5.9492 9.9425 13.932 3.9725 8.9599
"3" 0.5 0.1601 0.1936 0.1802 0.2008 0.2126 0.2194 0.2396 0.2662 0.2754 0.2888 0.315 0.3133 5.8911 9.8768 13.8544 3.941 8.9141
"4" 0.75 0.1932 0.2459 0.2121 0.2404 0.2531 0.2569 0.2843 0.3236 0.3315 0.3469 0.3856 0.3739 5.8241 9.801 13.765 3.9046 8.8614
"5" 1 0.233 0.3122 0.2497 0.2878 0.3013 0.3008 0.3375 0.3934 0.3989 0.4167 0.472 0.4459 5.7462 9.7128 13.6611 3.8623 8.8002
"6" 1.25 0.281 0.3964 0.2938 0.3444 0.3585 0.3521 0.4005 0.478 0.4799 0.5003 0.5777 0.5318 5.6549 9.6095 13.5397 3.8127 8.7286
"7" 1.5 0.3388 0.5031 0.3457 0.4121 0.4264 0.412 0.4752 0.5807 0.5773 0.6007 0.7068 0.634 5.5475 9.4879 13.3968 3.7544 8.6445
"8" 1.75 0.4083 0.6383 0.4067 0.4928 0.5071 0.4821 0.5638 0.7051 0.6943 0.7208 0.8644 0.7555 5.4205 9.3441 13.2281 3.6853 8.5451
"9" 2 0.4918 0.8096 0.4783 0.5891 0.6027 0.5638 0.6688 0.8557 0.8347 0.8647 1.0567 0.8998 5.2698 9.1734 13.0281 3.6033 8.4273
"10" 2.25 0.5922 1.0263 0.5623 0.7037 0.7161 0.6592 0.7932 1.0379 1.003 1.0368 1.2911 1.0711 5.0907 8.9704 12.7905 3.5058 8.2873
"11" 2.5 0.7127 1.3004 0.6608 0.8401 0.8502 0.7701 0.9406 1.2578 1.2047 1.2423 1.5763 1.274 4.8774 8.7285 12.5077 3.3897 8.1207
"12" 2.75 0.8571 1.6463 0.7762 1.0019 1.0087 0.899 1.1149 1.5228 1.4459 1.4873 1.9228 1.5139 4.6234 8.4401 12.171 3.2512 7.9221
"13" 3 1.0296 2.0821 0.9112 1.1935 1.1954 1.0483 1.3211 1.8411 1.7338 1.7788 2.3427 1.7968 4.3209 8.0962 11.7701 3.0862 7.6854
"14" 3.25 1.2354 2.6289 1.0686 1.4196 1.4148 1.2207 1.5646 2.2219 2.0767 2.1245 2.8497 2.1291 3.9613 7.6869 11.2935 2.89 7.4036
