"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1278 0.1474 0.1586 0.166 0.1757 0.1914 0.2025 0.2133 0.2295 0.2345 0.2541 0.2622 5.9506 9.9436 13.9346 3.9733 8.9611
"3" 0.5 0.1484 0.1811 0.1935 0.1967 0.2057 0.229 0.2412 0.2527 0.2772 0.275 0.3075 0.3125 5.8946 9.8795 13.8605 3.9429 8.9171
"4" 0.75 0.1723 0.2224 0.236 0.2332 0.2409 0.274 0.2873 0.2993 0.3348 0.3223 0.3721 0.3724 5.8304 9.8059 13.7761 3.9081 8.8668
"5" 1 0.2 0.2731 0.2879 0.2763 0.2819 0.3277 0.3421 0.3544 0.4043 0.3778 0.4501 0.4437 5.7564 9.7208 13.679 3.868 8.809
"6" 1.25 0.2322 0.3352 0.351 0.3273 0.33 0.3919 0.4074 0.4196 0.4881 0.4427 0.5443 0.5284 5.6704 9.6218 13.5665 3.8214 8.7419
"7" 1.5 0.2695 0.4115 0.428 0.3876 0.3861 0.4685 0.4851 0.4967 0.5891 0.5187 0.6582 0.6292 5.5701 9.5059 13.4357 3.767 8.6637
"8" 1.75 0.3127 0.505 0.5217 0.4589 0.4517 0.56 0.5776 0.5877 0.7109 0.6075 0.7955 0.7489 5.4524 9.3696 13.2827 3.7032 8.5723
"9" 2 0.3627 0.6195 0.6358 0.5431 0.5282 0.6692 0.6875 0.695 0.8576 0.7113 0.9612 0.891 5.314 9.209 13.1034 3.6281 8.4649
"10" 2.25 0.4206 0.7597 0.7745 0.6424 0.6174 0.7992 0.8182 0.8216 1.0341 0.8325 1.1608 1.0594 5.1508 9.0193 12.8925 3.5396 8.3385
"11" 2.5 0.4875 0.9313 0.9431 0.7594 0.7213 0.954 0.9736 0.9707 1.2463 0.9738 1.401 1.2589 4.9581 8.7946 12.6443 3.435 8.1894
"12" 2.75 0.5647 1.1409 1.1479 0.897 0.8421 1.1379 1.1582 1.1458 1.5013 1.1385 1.6896 1.4946 4.7305 8.5285 12.3517 3.3115 8.0134
"13" 3 0.6537 1.3966 1.3961 1.0584 0.9824 1.3558 1.3773 1.3512 1.807 1.3298 2.0358 1.7727 4.4616 8.2132 12.0068 3.1655 7.8056
"14" 3.25 0.756 1.7076 1.6966 1.2474 1.1448 1.6133 1.6372 1.5911 2.1728 1.5518 2.4496 2.0997 4.1442 7.8401 11.6006 2.9933 7.5604
"15" 3.5 0.8733 2.0844 2.0595 1.4677 1.3322 1.9163 1.9451 1.8702 2.6093 1.8083 2.9425 2.4826 3.7707 7.3995 11.1233 2.7905 7.2714
"16" 3.75 1.0071 2.5384 2.4951 1.7231 1.5475 2.2706 2.3094 2.1926 3.1281 2.1034 3.526 2.9286 3.3331 6.8811 10.5646 2.5527 6.9321
