"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1333 0.1439 0.1558 0.1702 0.1784 0.1944 0.2061 0.2072 0.2221 0.2369 0.2487 0.2578 5.9512 9.9445 13.9337 3.9738 8.9607
"3" 0.5 0.1616 0.1726 0.1866 0.207 0.2121 0.2361 0.2498 0.2384 0.2597 0.2807 0.2946 0.3021 5.8959 9.8816 13.8584 3.9441 8.9161
"4" 0.75 0.1959 0.2069 0.2236 0.2516 0.2522 0.2867 0.3028 0.2743 0.3035 0.3324 0.3489 0.3539 5.8327 9.8097 13.7722 3.9103 8.865
"5" 1 0.2374 0.248 0.2678 0.3057 0.2998 0.3481 0.3671 0.3156 0.3548 0.3936 0.4131 0.4145 5.76 9.7268 13.6728 3.8714 8.8059
"6" 1.25 0.2875 0.2973 0.3207 0.3714 0.3563 0.4226 0.4449 0.363 0.4146 0.466 0.489 0.4854 5.6757 9.6306 13.5572 3.8263 8.7373
"7" 1.5 0.3483 0.3563 0.384 0.4511 0.4233 0.513 0.5391 0.4174 0.4844 0.5516 0.5787 0.5682 5.5775 9.5185 13.4223 3.7739 8.6571
"8" 1.75 0.4217 0.4269 0.4597 0.5477 0.5028 0.6225 0.6532 0.4799 0.5658 0.6527 0.6847 0.665 5.4627 9.387 13.264 3.7127 8.563
"9" 2 0.5104 0.5113 0.5503 0.6647 0.5971 0.7551 0.7913 0.5515 0.6607 0.7721 0.8098 0.778 5.3278 9.2325 13.0778 3.6408 8.4521
"10" 2.25 0.6176 0.6123 0.6584 0.8063 0.7087 0.9155 0.9584 0.6335 0.7713 0.913 0.9574 0.9097 5.1691 9.0504 12.858 3.5563 8.3212
"11" 2.5 0.7469 0.7329 0.7875 0.9774 0.8407 1.1094 1.1605 0.7274 0.9001 1.079 1.1313 1.0631 4.982 8.8355 12.5983 3.4568 8.1663
"12" 2.75 0.9026 0.8768 0.9416 1.1838 0.9966 1.3432 1.4048 0.8345 1.0498 1.2744 1.3359 1.2414 4.7614 8.5815 12.2912 3.3395 7.9829
"13" 3 1.09 1.0483 1.1251 1.4323 1.1805 1.6246 1.6999 0.9566 1.2237 1.504 1.5761 1.4484 4.501 8.2813 11.9278 3.2011 7.7656
"14" 3.25 1.315 1.252 1.3433 1.7308 1.3969 1.9624 2.056 1.0953 1.4253 1.7732 1.8575 1.6879 4.1941 7.9266 11.4982 3.0381 7.5083
"15" 3.5 1.5843 1.4932 1.6024 2.088 1.6506 2.3662 2.4852 1.2522 1.6584 2.0879 2.1858 1.964 3.8331 7.5084 10.9912 2.8463 7.2039
"16" 3.75 1.9054 1.7773 1.908 2.5134 1.947 2.846 3.0018 1.4286 1.927 2.4542 2.5667 2.2809 3.41 7.0167 10.395 2.6215 6.8448
"17" 4 2.2847 2.1093 2.2661 3.0163 2.291 3.4108 3.6223 1.6248 2.2349 2.878 3.0049 2.6417 2.9174 6.4417 9.6976 2.3597 6.4232
"18" 4.25 2.7251 2.492 2.6805 3.6049 2.6866 4.0652 4.3652 1.8393 2.5854 3.364 3.5015 3.0484 2.3504 5.7759 8.8902 2.0581 5.932
"19" 4.5 3.2215 2.9218 3.149 4.2825 3.135 4.8004 5.2392 2.0658 2.9794 3.9134 4.0482 3.4988 1.7128 5.0206 7.9749 1.7185 5.3705
"20" 4.75 3.7439 3.3755 3.6497 5.0421 3.6313 5.5694 6.2223 2.2862 3.4137 4.5202 4.6099 3.984 1.0327 4.2034 6.9861 1.3555 4.7557
"21" 5 4.1863 3.7677 4.0961 5.8229 4.1257 6.2116 7.1937 2.4495 3.8723 5.1647 5.0725 4.4442 0.4138 3.4369 6.0602 1.0254 4.1638
"22" 5.25 4.3433 3.9189 4.289 6.26 4.3896 6.427 7.774 2.4735 4.19 5.6254 5.2178 4.6468 0.1222 3.0475 5.5886 0.8735 3.8402
"23" 5.5 4.3107 3.9007 4.2917 6.3831 4.4507 6.3662 7.9778 2.416 4.3326 5.8348 5.1555 4.6496 0.0881 2.9707 5.4957 0.8592 3.7544
"24" 5.75 4.2565 3.8622 4.2704 6.4643 4.4844 6.2746 8.1299 2.3511 4.4503 6.0093 5.07 4.6271 0.0859 2.9339 5.451 0.8619 3.6998
"25" 6 4.2008 3.822 4.2469 6.542 4.5155 6.1812 8.279 2.2871 4.5681 6.1845 4.9836 4.602 0.0852 2.8994 5.4089 0.8656 3.647
"26" 6.25 4.1446 3.7811 4.2221 6.618 4.545 6.0874 8.4274 2.2243 4.687 6.362 4.8974 4.5757 0.0846 2.8655 5.3671 0.8695 3.5946
