"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.129 0.1365 0.1545 0.1704 0.1838 0.1963 0.198 0.2239 0.215 0.2311 0.2479 0.2531 5.952 9.9479 13.9355 3.9742 8.9637
"3" 0.5 0.1513 0.1552 0.1837 0.2073 0.2253 0.2408 0.2306 0.2785 0.2433 0.267 0.2925 0.2911 5.8978 9.8896 13.8626 3.945 8.9231
"4" 0.75 0.1774 0.1764 0.2184 0.2522 0.276 0.2953 0.2686 0.3464 0.2753 0.3085 0.3452 0.3348 5.8359 9.8235 13.7793 3.9118 8.8773
"5" 1 0.208 0.2006 0.2595 0.3067 0.3381 0.3621 0.3127 0.4306 0.3114 0.3564 0.4073 0.385 5.7647 9.7482 13.6835 3.8735 8.8252
"6" 1.25 0.2438 0.228 0.3084 0.373 0.4141 0.4439 0.3642 0.5353 0.3522 0.4116 0.4805 0.4426 5.6822 9.6617 13.5723 3.8292 8.7653
"7" 1.5 0.2858 0.2591 0.3664 0.4534 0.507 0.5441 0.424 0.6651 0.3984 0.4753 0.5666 0.5087 5.5861 9.5616 13.4427 3.7775 8.6963
"8" 1.75 0.3348 0.2945 0.4352 0.551 0.6206 0.6667 0.4936 0.8261 0.4505 0.5486 0.6681 0.5846 5.4734 9.4454 13.2907 3.7169 8.6162
"9" 2 0.3922 0.3345 0.5168 0.6693 0.7592 0.8167 0.5746 1.0256 0.5093 0.6332 0.7875 0.6714 5.3409 9.3098 13.1117 3.6457 8.5229
"10" 2.25 0.4592 0.38 0.6136 0.8125 0.9285 1 0.6688 1.2726 0.5756 0.7304 0.9278 0.7709 5.1846 9.151 12.9005 3.5616 8.4139
"11" 2.5 0.5375 0.4315 0.7283 0.9858 1.1348 1.2237 0.7783 1.5778 0.6503 0.8423 1.0925 0.8846 4.9998 8.9648 12.6505 3.4622 8.2861
