"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1315 0.1425 0.1515 0.1631 0.1735 0.1931 0.1956 0.2146 0.2273 0.24 0.2615 0.2579 5.949 9.9448 13.9347 3.9731 8.9633
"3" 0.5 0.1573 0.1691 0.1766 0.19 0.2007 0.2331 0.2249 0.2558 0.2718 0.288 0.3255 0.3022 5.8906 9.8821 13.8606 3.9426 8.9223
"4" 0.75 0.188 0.2008 0.2058 0.2213 0.232 0.2812 0.2587 0.3049 0.325 0.3455 0.4051 0.3542 5.823 9.8102 13.776 3.9074 8.876
"5" 1 0.2247 0.2383 0.2398 0.2577 0.2683 0.3393 0.2976 0.3634 0.3886 0.4144 0.5041 0.4149 5.7441 9.7272 13.6784 3.8666 8.8233
"6" 1.25 0.2685 0.2828 0.2795 0.3 0.3101 0.4093 0.3422 0.4329 0.4645 0.497 0.6271 0.486 5.6514 9.6306 13.5651 3.819 8.763
"7" 1.5 0.3208 0.3355 0.3255 0.3492 0.3584 0.4936 0.3935 0.5155 0.5552 0.5959 0.7799 0.5691 5.5419 9.5175 13.4327 3.7631 8.6935
"8" 1.75 0.3832 0.398 0.3792 0.4063 0.414 0.5951 0.4525 0.6137 0.6634 0.7142 0.9695 0.6662 5.412 9.3845 13.2774 3.6971 8.6132
"9" 2 0.4575 0.4719 0.4415 0.4726 0.4782 0.7172 0.5203 0.7303 0.7924 0.8556 1.2046 0.7794 5.2571 9.2274 13.0945 3.6189 8.5199
"10" 2.25 0.546 0.5595 0.514 0.5494 0.5521 0.8639 0.5981 0.8685 0.9461 1.0246 1.4959 0.9115 5.0722 9.0413 12.8786 3.5261 8.4114
"11" 2.5 0.6513 0.6629 0.5981 0.6383 0.637 1.0397 0.6874 1.032 1.1291 1.2262 1.8561 1.0652 4.851 8.8206 12.6231 3.4156 8.2847
"12" 2.75 0.7763 0.7851 0.6957 0.741 0.7346 1.2501 0.79 1.2251 1.3466 1.4664 2.3008 1.2438 4.5863 8.5585 12.3206 3.2841 8.1369
"13" 3 0.9246 0.9287 0.8087 0.8594 0.8464 1.5012 0.9076 1.4524 1.6048 1.752 2.8482 1.4509 4.2697 8.2472 11.9626 3.1276 7.9643
"14" 3.25 1.0999 1.0972 0.9392 0.9954 0.9741 1.7995 1.0425 1.7188 1.9105 2.0905 3.5193 1.6901 3.8917 7.8779 11.5394 2.9415 7.763
"15" 3.5 1.3062 1.2936 1.089 1.151 1.1194 2.1518 1.197 2.0288 2.2713 2.4903 4.3371 1.9651 3.4422 7.4414 11.0409 2.7213 7.5288
"16" 3.75 1.546 1.5207 1.2595 1.3278 1.2839 2.5635 1.3738 2.3856 2.6951 2.9598 5.3244 2.2793 2.9117 6.9288 10.4576 2.4626 7.2578
"17" 4 1.8199 1.7793 1.4511 1.527 1.4685 3.0361 1.574 2.7884 3.1897 3.5066 6.4959 2.6346 2.2944 6.3343 9.7842 2.1628 6.9477
