"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1281 0.1375 0.1526 0.1731 0.1799 0.187 0.1942 0.2119 0.229 0.2341 0.2505 0.2623 5.9539 9.9471 13.9387 3.9749 8.964
"3" 0.5 0.1491 0.1575 0.1792 0.2141 0.2158 0.2185 0.2218 0.2494 0.2761 0.274 0.2987 0.3128 5.9023 9.8878 13.8702 3.9467 8.924
"4" 0.75 0.1736 0.1805 0.2104 0.2647 0.2588 0.2554 0.2534 0.2935 0.3327 0.3206 0.3562 0.3729 5.8441 9.8206 13.7932 3.9149 8.8789
"5" 1 0.202 0.2068 0.2469 0.3271 0.3103 0.2984 0.2894 0.3453 0.4009 0.3751 0.4247 0.4444 5.778 9.7438 13.7057 3.8786 8.8277
"6" 1.25 0.2351 0.2368 0.2898 0.4042 0.3721 0.3486 0.3305 0.4062 0.483 0.4389 0.5062 0.5295 5.7023 9.6555 13.6058 3.837 8.7693
"7" 1.5 0.2735 0.2712 0.3401 0.4994 0.4459 0.4071 0.3774 0.4777 0.5818 0.5133 0.6033 0.6308 5.6153 9.5534 13.491 3.789 8.7023
"8" 1.75 0.3181 0.3106 0.399 0.6166 0.5343 0.4755 0.4309 0.5617 0.7006 0.6002 0.7189 0.7512 5.5148 9.4349 13.3585 3.7335 8.6249
"9" 2 0.37 0.3556 0.4681 0.7612 0.64 0.5551 0.492 0.6602 0.8435 0.7016 0.8562 0.8942 5.3983 9.2966 13.2051 3.6689 8.5352
"10" 2.25 0.4301 0.407 0.549 0.9391 0.7663 0.6479 0.5617 0.7757 1.0152 0.8199 1.0195 1.064 5.2628 9.1349 13.0268 3.5937 8.431
"11" 2.5 0.4998 0.4657 0.6436 1.1579 0.9171 0.7559 0.6411 0.9109 1.2214 0.9577 1.2134 1.2654 5.105 8.9453 12.8193 3.5058 8.3096
"12" 2.75 0.5806 0.5327 0.7544 1.4267 1.0969 0.8814 0.7317 1.0691 1.4688 1.1182 1.4434 1.5038 4.9209 8.7228 12.5772 3.403 8.1679
"13" 3 0.6741 0.6091 0.8837 1.7562 1.3111 1.0271 0.8348 1.2538 1.7652 1.3046 1.7157 1.7857 4.7061 8.4613 12.2947 3.2827 8.0023
"14" 3.25 0.782 0.6961 1.0347 2.1594 1.5656 1.1958 0.9523 1.4689 2.1199 1.521 2.0377 2.1183 4.4555 8.1541 11.9649 3.1419 7.8088
"15" 3.5 0.9065 0.7949 1.2107 2.6514 1.8675 1.3907 1.0859 1.7189 2.5434 1.7715 2.4173 2.5094 4.1634 7.7934 11.5803 2.9774 7.5826
"16" 3.75 1.0495 0.9067 1.4153 3.2493 2.2243 1.615 1.2379 2.0081 3.0478 2.0606 2.8635 2.9679 3.8236 7.3707 11.1326 2.7855 7.3189
"17" 4 1.2132 1.0326 1.6523 3.9724 2.6441 1.8718 1.4104 2.3408 3.6464 2.3929 3.3852 3.5023 3.4298 6.8769 10.6131 2.5625 7.012
"18" 4.25 1.3996 1.1735 1.9248 4.8406 3.1351 2.1634 1.6059 2.7201 4.3531 2.7724 3.9904 4.1208 2.9764 6.3031 10.0138 2.3049 6.6568
"19" 4.5 1.6088 1.3293 2.235 5.8719 3.7038 2.4901 1.8272 3.1464 5.1809 3.2019 4.6841 4.8288 2.4597 5.6426 9.3291 2.0104 6.2491
"20" 4.75 1.8376 1.4981 2.5816 7.0767 4.353 2.8473 2.0735 3.6132 6.1392 3.6811 5.4612 5.6253 1.8822 4.8949 8.5606 1.6799 5.7885
"21" 5 2.0761 1.6729 2.9542 8.4466 5.0763 3.2186 2.3388 4.0971 7.2263 4.2032 6.2921 6.4965 1.261 4.0754 7.7277 1.3226 5.2836
"22" 5.25 2.2944 1.8333 3.3149 9.9339 5.849 3.5559 2.6034 4.5321 8.4173 4.7486 7.0774 7.4041 0.6513 3.2386 6.8932 0.9676 4.7638
"23" 5.5 2.4178 1.9262 3.5541 11.2281 6.4841 3.7423 2.8 4.7638 9.5781 5.2621 7.557 8.0979 0.2151 2.5763 6.2625 0.7098 4.3428
"24" 5.75 2.4122 1.9225 3.5947 11.77 6.7249 3.7283 2.8602 4.737 10.2592 5.5364 7.5948 8.2943 0.102 2.3323 6.0647 0.6399 4.1806
"25" 6 2.3711 1.8913 3.574 12.0471 6.828 3.6603 2.872 4.6426 10.7346 5.7049 7.5073 8.3299 0.0923 2.2318 6.0114 0.6301 4.1097
"26" 6.25 2.3274 1.8579 3.5475 12.3014 6.918 3.5886 2.8788 4.544 11.2041 5.8657 7.4091 8.3495 0.0911 2.1417 5.97 0.6251 4.0458
"27" 6.5 2.2837 1.8245 3.5198 12.5538 7.0054 3.517 2.8843 4.4461 11.687 6.0278 7.3093 8.3652 0.0904 2.0504 5.9293 0.6204 3.9818
"28" 6.75 2.2402 1.7912 3.491 12.8052 7.0909 3.446 2.8888 4.349 12.1843 6.1916 7.2086 8.3776 0.0896 1.9574 5.8886 0.6156 3.9171
"29" 7 2.1969 1.758 3.4614 13.0552 7.1743 3.3754 2.8923 4.2529 12.6963 6.3569 7.1071 8.3868 0.0889 1.8626 5.848 0.6107 3.8518
"30" 7.25 2.1538 1.725 3.4308 13.3036 7.2555 3.3053 2.8948 4.1578 13.223 6.5236 7.0047 8.3927 0.0882 1.766 5.8074 0.6058 3.7859
"31" 7.5 2.111 1.6921 3.3994 13.5502 7.3344 3.2358 2.8962 4.0637 13.7643 6.6917 6.9016 8.3952 0.0875 1.6677 5.767 0.6008 3.7194
"32" 7.75 2.0684 1.6593 3.3671 13.7946 7.4109 3.1669 2.8966 3.9707 14.3204 6.861 6.7978 8.3945 0.0867 1.5675 5.7268 0.5957 3.6524
"33" 8 2.0261 1.6267 3.3339 14.0365 7.4849 3.0986 2.8959 3.8787 14.8912 7.0313 6.6935 8.3904 0.086 1.4656 5.6868 0.5906 3.5849
"34" 8.25 1.9841 1.5943 3.3 14.2757 7.5564 3.0309 2.8942 3.7879 15.4766 7.2025 6.5887 8.3831 0.0853 1.3619 5.647 0.5854 3.5169
"35" 8.5 1.9425 1.5621 3.2653 14.5119 7.6252 2.9638 2.8914 3.6981 16.0766 7.3746 6.4834 8.3724 0.0846 1.2565 5.6075 0.5801 3.4485
"36" 8.75 1.9011 1.5302 3.2299 14.7448 7.6913 2.8975 2.8876 3.6095 16.6911 7.5472 6.3778 8.3585 0.0839 1.1494 5.5683 0.5747 3.3796
"37" 9 1.8601 1.4984 3.1938 14.9742 7.7546 2.8318 2.8827 3.5221 17.3201 7.7204 6.272 8.3414 0.0832 1.0407 5.5295 0.5692 3.3103
"38" 9.25 1.8195 1.4669 3.157 15.1998 7.815 2.7668 2.8769 3.4359 17.9634 7.8939 6.1659 8.321 0.0825 0.9302 5.491 0.5636 3.2406
"39" 9.5 1.7793 1.4357 3.1196 15.4214 7.8725 2.7027 2.87 3.3508 18.6209 8.0676 6.0598 8.2975 0.0818 0.8181 5.453 0.558 3.1706
"40" 9.75 1.7395 1.4048 3.0817 15.6387 7.927 2.6392 2.8621 3.2671 19.2925 8.2414 5.9537 8.2709 0.0811 0.7045 5.4153 0.5522 3.1003
"41" 10 1.7001 1.3741 3.0432 15.8516 7.9785 2.5766 2.8532 3.1846 19.978 8.4152 5.8476 8.2412 0.0805 0.5892 5.3782 0.5464 3.0296
"42" 10.25 1.6612 1.3438 3.0042 16.0598 8.0269 2.5148 2.8434 3.1033 20.6773 8.5887 5.7417 8.2085 0.0798 0.4724 5.3416 0.5404 2.9587
"43" 10.5 1.6227 1.3137 2.9647 16.2631 8.0722 2.4539 2.8326 3.0234 21.3901 8.7619 5.636 8.1728 0.0791 0.354 5.3054 0.5343 2.8876
"44" 10.75 1.5847 1.284 2.9248 16.4613 8.1144 2.3937 2.8208 2.9448 22.1162 8.9346 5.5305 8.1343 0.0785 0.2341 5.2699 0.5282 2.8163
"45" 11 1.5476 1.255 2.8856 16.6628 8.1572 2.3352 2.8093 2.8683 22.6425 9.1101 5.4273 8.0963 0.0801 0.1488 5.2381 0.5272 2.76
"46" 11.25 1.5146 1.2293 2.8541 16.9288 8.2273 2.2828 2.8054 2.7995 22.7848 9.2211 5.3386 8.0823 0.0887 0.1199 5.2147 0.532 2.7295
"47" 11.5 1.4876 1.2081 2.8346 17.2528 8.3367 2.2393 2.8141 2.7416 22.7438 9.2575 5.2723 8.1078 0.0977 0.1073 5.1907 0.5342 2.7067
"48" 11.75 1.4658 1.1869 2.8155 17.5319 8.4379 2.2039 2.8343 2.6934 22.6386 9.2671 5.226 8.1428 0.1055 0.1042 5.1711 0.5356 2.6906
"49" 12 1.448 1.1653 2.7941 17.7947 8.5311 2.1742 2.8631 2.6523 22.5134 9.268 5.1891 8.1697 0.1115 0.1029 5.1511 0.5363 2.6761
"50" 12.25 1.4332 1.1438 2.7718 18.0517 8.621 2.1492 2.8992 2.617 22.3795 9.2649 5.1507 8.1929 0.1169 0.102 5.13 0.5366 2.6611
"51" 12.5 1.4212 1.1223 2.7488 18.3044 8.7083 2.1282 2.9419 2.5867 22.2388 9.2586 5.1109 8.2131 0.1217 0.1013 5.1077 0.5366 2.6455
"52" 12.75 1.4114 1.101 2.7252 18.5533 8.7933 2.1107 2.9907 2.5606 22.0921 9.2493 5.0698 8.2306 0.126 0.1006 5.0844 0.5362 2.6292
"53" 13 1.4037 1.0798 2.7011 18.7986 8.8761 2.0962 3.0452 2.5382 21.9402 9.2373 5.0277 8.2454 0.1299 0.1 5.0602 0.5354 2.6123
"54" 13.25 1.3978 1.0588 2.6765 19.0406 8.9568 2.0844 3.1049 2.519 21.7835 9.2227 4.9847 8.2579 0.1335 0.0994 5.0352 0.5345 2.595
"55" 13.5 1.3934 1.0381 2.6517 19.2806 9.0361 2.075 3.1667 2.5028 21.6234 9.2063 4.941 8.2685 0.1368 0.0991 5.0098 0.5333 2.5776
"56" 13.75 1.3905 1.0176 2.6267 19.52 9.1144 2.0678 3.2291 2.4892 21.4615 9.1884 4.897 8.2778 0.1398 0.0987 4.9839 0.5319 2.5601
"57" 14 1.3889 0.9975 2.6016 19.7588 9.192 2.0624 3.2922 2.4778 21.2977 9.1693 4.8528 8.2859 0.1426 0.0984 4.9577 0.5304 2.5426
"58" 14.25 1.3885 0.9776 2.5764 19.9971 9.2687 2.0587 3.3561 2.4686 21.1325 9.149 4.8084 8.2927 0.145 0.0981 4.9311 0.5286 2.525
"59" 14.5 1.389 0.9581 2.5512 20.2348 9.3446 2.0565 3.4207 2.4611 20.9657 9.1275 4.7637 8.2983 0.1473 0.0979 4.9043 0.5268 2.5074
"60" 14.75 1.3905 0.9388 2.5259 20.4721 9.4197 2.0557 3.4861 2.4552 20.7977 9.1048 4.7189 8.3028 0.1493 0.0976 4.8772 0.5248 2.4898
"61" 15 1.3928 0.9199 2.5005 20.7088 9.494 2.0561 3.5522 2.4509 20.6284 9.081 4.674 8.3061 0.1512 0.0973 4.8498 0.5226 2.4721
"62" 15.25 1.396 0.9012 2.4751 20.945 9.5675 2.0577 3.6191 2.4479 20.4581 9.0562 4.6289 8.3084 0.153 0.097 4.8223 0.5204 2.4544
"63" 15.5 1.3999 0.8828 2.4497 21.1806 9.6402 2.0604 3.6867 2.4462 20.2867 9.0303 4.5837 8.3095 0.1546 0.0968 4.7946 0.5181 2.4367
"64" 15.75 1.4044 0.8648 2.4243 21.4156 9.712 2.064 3.755 2.4457 20.1144 9.0034 4.5385 8.3095 0.1562 0.0965 4.7668 0.5157 2.4189
