"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1295 0.1416 0.1561 0.1635 0.1764 0.1867 0.2014 0.2142 0.2242 0.2367 0.247 0.2673 5.9535 9.9473 13.9374 3.9746 8.9624
"3" 0.5 0.1523 0.1671 0.1875 0.1908 0.2073 0.2178 0.2385 0.2547 0.2646 0.2802 0.2904 0.3248 5.9014 9.8882 13.8673 3.946 8.9203
"4" 0.75 0.1792 0.1971 0.2252 0.2228 0.2437 0.254 0.2825 0.303 0.3121 0.3316 0.3414 0.3946 5.8427 9.8215 13.7882 3.9137 8.8725
"5" 1 0.2108 0.2325 0.2704 0.26 0.2864 0.2962 0.3346 0.3603 0.3682 0.3923 0.4014 0.4792 5.7759 9.7456 13.6982 3.8768 8.818
"6" 1.25 0.248 0.2742 0.3246 0.3034 0.3365 0.3454 0.3963 0.4284 0.4343 0.4641 0.4717 0.5818 5.6994 9.6588 13.5953 3.8345 8.7554
"7" 1.5 0.2916 0.3233 0.3897 0.3539 0.3952 0.4027 0.4693 0.5092 0.5122 0.5489 0.5543 0.7062 5.6115 9.5588 13.4769 3.7857 8.6831
"8" 1.75 0.3429 0.3812 0.4677 0.4128 0.4642 0.4695 0.5556 0.605 0.6038 0.6491 0.6512 0.857 5.5099 9.4432 13.3401 3.7291 8.5993
"9" 2 0.403 0.4493 0.5611 0.4812 0.545 0.5471 0.6578 0.7187 0.7118 0.7673 0.7649 1.0394 5.3922 9.3091 13.1816 3.6633 8.5019
"10" 2.25 0.4736 0.5295 0.6731 0.5608 0.6396 0.6374 0.7786 0.8533 0.8387 0.9066 0.898 1.2601 5.2554 9.1533 12.9975 3.5866 8.3882
"11" 2.5 0.5562 0.6237 0.8072 0.6533 0.7503 0.7423 0.9215 1.0126 0.988 1.0708 1.0539 1.5267 5.0961 8.9717 12.7831 3.497 8.2554
"12" 2.75 0.653 0.7345 0.9676 0.7605 0.8797 0.864 1.0903 1.2009 1.1632 1.2641 1.2362 1.8483 4.9106 8.7599 12.5334 3.3923 8.1
"13" 3 0.7661 0.8645 1.1592 0.8847 1.0307 1.0049 1.2896 1.4231 1.3688 1.4912 1.4491 2.2356 4.6942 8.5128 12.2421 3.2698 7.9181
"14" 3.25 0.8982 1.0168 1.388 1.0282 1.2067 1.1679 1.5249 1.6847 1.6097 1.7576 1.6973 2.701 4.4421 8.2244 11.9027 3.1266 7.7052
"15" 3.5 1.052 1.1949 1.6606 1.1935 1.4111 1.3558 1.8024 1.9918 1.8912 2.0694 1.9858 3.2585 4.1487 7.8883 11.5074 2.9593 7.4562
