"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1313 0.1388 0.159 0.1628 0.1784 0.1945 0.2009 0.2075 0.2403 0.2402 0.2585 0.2521 5.9488 9.9415 13.933 3.9731 8.9611
"3" 0.5 0.1568 0.1605 0.1944 0.1893 0.2122 0.2364 0.2373 0.2392 0.304 0.2884 0.3182 0.2889 5.8901 9.8742 13.8568 3.9423 8.9169
"4" 0.75 0.1871 0.1857 0.2377 0.22 0.2524 0.2873 0.2803 0.2756 0.3844 0.3463 0.3916 0.331 5.8222 9.7959 13.7692 3.9069 8.8662
"5" 1 0.2233 0.2147 0.2906 0.2557 0.3001 0.349 0.3311 0.3176 0.486 0.4157 0.4818 0.3791 5.743 9.7042 13.6678 3.8658 8.8076
"6" 1.25 0.2665 0.2482 0.3552 0.2972 0.3567 0.424 0.3911 0.3659 0.6143 0.4989 0.5926 0.4342 5.6499 9.5958 13.5494 3.8177 8.7393
"7" 1.5 0.3179 0.2869 0.4342 0.3452 0.4239 0.5149 0.4619 0.4214 0.7764 0.5987 0.7288 0.4971 5.54 9.467 13.4105 3.7611 8.6594
"8" 1.75 0.3791 0.3316 0.5305 0.4009 0.5036 0.6252 0.5455 0.4852 0.9808 0.7181 0.8958 0.5689 5.4095 9.3131 13.2469 3.6941 8.5652
"9" 2 0.452 0.3832 0.6479 0.4654 0.598 0.7588 0.6441 0.5583 1.2385 0.8609 1.1007 0.6509 5.2542 9.1287 13.0533 3.6145 8.4538
"10" 2.25 0.5386 0.4426 0.7911 0.5399 0.7098 0.9203 0.7603 0.6422 1.5632 1.0317 1.3516 0.7443 5.0688 8.9069 12.8239 3.5198 8.3216
"11" 2.5 0.6414 0.5111 0.9656 0.6261 0.842 1.1154 0.8974 0.7382 1.9718 1.2357 1.6584 0.8507 4.8473 8.6398 12.5515 3.4069 8.1646
"12" 2.75 0.7634 0.5898 1.1777 0.7254 0.9981 1.3505 1.0588 0.8478 2.4853 1.4787 2.0329 0.9715 4.5825 8.3177 12.2278 3.2721 7.9775
"13" 3 0.9077 0.68 1.4355 0.8396 1.1819 1.6329 1.2489 0.9726 3.1293 1.7679 2.4887 1.1083 4.266 7.9293 11.8431 3.1111 7.7547
"14" 3.25 1.078 0.7831 1.7477 0.9705 1.3978 1.9709 1.4724 1.114 3.9349 2.1108 3.0414 1.2628 3.8886 7.4614 11.3869 2.9192 7.4894
"15" 3.5 1.2782 0.9002 2.1235 1.1199 1.6502 2.3728 1.735 1.2732 4.9392 2.5157 3.7076 1.4363 3.4402 6.8993 10.8475 2.6912 7.1741
"16" 3.75 1.5107 1.0321 2.5726 1.2891 1.9436 2.8457 2.0429 1.4504 6.1845 2.9912 4.5028 1.6299 2.9115 6.2278 10.2138 2.4221 6.801
"17" 4 1.7758 1.1784 3.1017 1.4789 2.2814 3.3925 2.4022 1.6437 7.7168 3.5443 5.4362 1.8435 2.2962 5.4338 9.478 2.1084 6.3633
"18" 4.25 2.0675 1.3355 3.7079 1.6881 2.6647 4.0015 2.8102 1.8461 9.579 4.1786 6.4945 2.075 1.6002 4.5156 8.6456 1.7524 5.8601
"19" 4.5 2.3598 1.4901 4.3524 1.9125 3.0885 4.6179 3.2486 2.0357 11.7964 4.8888 7.5915 2.3181 0.866 3.5062 7.7598 1.374 5.3064
"20" 4.75 2.5648 1.5972 4.8682 2.1049 3.4581 5.0536 3.6274 2.1495 14.177 5.6148 8.4058 2.507 0.268 2.5955 7.0145 1.0613 4.7987
"21" 5 2.5837 1.6024 5.0054 2.1583 3.584 5.1022 3.7689 2.1307 15.6229 6.0019 8.5485 2.537 0.0921 2.2127 6.7674 0.9635 4.578
"22" 5.25 2.5406 1.5725 4.9973 2.1544 3.6056 5.0231 3.8032 2.0722 16.5326 6.203 8.4596 2.5069 0.0809 2.0631 6.7244 0.9506 4.4891
"23" 5.5 2.494 1.5408 4.9785 2.1462 3.6192 4.9367 3.8292 2.0125 17.4366 6.3932 8.3556 2.4729 0.0798 1.9238 6.6939 0.9425 4.4069
"24" 5.75 2.4473 1.5092 4.9573 2.137 3.6309 4.8497 3.8532 1.954 18.3754 6.5849 8.2492 2.4383 0.079 1.7798 6.6638 0.9339 4.3227
"25" 6 2.4006 1.4777 4.934 2.127 3.6409 4.7626 3.8756 1.8967 19.3509 6.7783 8.1409 2.4033 0.0782 1.6304 6.6336 0.9247 4.2362
"26" 6.25 2.3539 1.4464 4.9086 2.1161 3.6492 4.6753 3.8962 1.8406 20.3633 6.9733 8.0307 2.368 0.0774 1.4756 6.6032 0.9148 4.1475
"27" 6.5 2.3074 1.4153 4.881 2.1043 3.6557 4.5879 3.915 1.7856 21.4131 7.1696 7.9188 2.3323 0.0766 1.3153 6.5728 0.9043 4.0566
"28" 6.75 2.2609 1.3843 4.8514 2.0916 3.6604 4.5004 3.9319 1.7318 22.5001 7.3669 7.8053 2.2962 0.0759 1.1494 6.5423 0.8931 3.9634
"29" 7 2.2146 1.3536 4.8197 2.0781 3.6633 4.4129 3.9469 1.6791 23.6246 7.565 7.6902 2.2599 0.0751 0.978 6.5119 0.8812 3.8681
"30" 7.25 2.1685 1.3231 4.786 2.0638 3.6644 4.3255 3.96 1.6276 24.7864 7.7636 7.5737 2.2232 0.0743 0.8011 6.4814 0.8686 3.7705
"31" 7.5 2.1225 1.2929 4.7503 2.0487 3.6636 4.2382 3.9711 1.5772 25.9855 7.9624 7.4558 2.1864 0.0735 0.6185 6.4509 0.8553 3.6708
"32" 7.75 2.0767 1.2629 4.7126 2.0327 3.661 4.1511 3.9802 1.5279 27.2215 8.1611 7.3366 2.1493 0.0727 0.4304 6.4206 0.8413 3.569
"33" 8 2.0311 1.2332 4.673 2.016 3.6566 4.0643 3.9872 1.4797 28.4943 8.3595 7.2163 2.112 0.0719 0.2368 6.3903 0.8266 3.465
"34" 8.25 1.9877 1.2048 4.637 2.0007 3.6549 3.9815 3.9974 1.4337 29.3439 8.5432 7.1025 2.0765 0.0786 0.1168 6.3722 0.8231 3.3944
"35" 8.5 1.9564 1.1827 4.6321 1.994 3.6766 3.9237 4.039 1.3953 29.5212 8.6114 7.0363 2.0534 0.0927 0.0973 6.3708 0.8299 3.3728
"36" 8.75 1.935 1.1599 4.6234 1.9814 3.6913 3.8863 4.1071 1.3631 29.5463 8.6369 7.0034 2.0305 0.1016 0.093 6.368 0.8349 3.3598
"37" 9 1.9204 1.1366 4.6089 1.9667 3.7013 3.8629 4.1948 1.3352 29.5319 8.6512 6.9674 2.0057 0.1093 0.0914 6.3624 0.839 3.3462
"38" 9.25 1.9112 1.1131 4.5912 1.9508 3.7085 3.8508 4.2993 1.3108 29.4948 8.6589 6.9267 1.9801 0.1155 0.0901 6.3533 0.8422 3.3306
"39" 9.5 1.9062 1.0897 4.5707 1.934 3.7134 3.8476 4.418 1.289 29.4388 8.6613 6.8821 1.9539 0.1206 0.0891 6.3414 0.8446 3.3134
"40" 9.75 1.9048 1.0664 4.5488 1.9168 3.7169 3.8517 4.5414 1.2694 29.3717 8.6604 6.8355 1.9274 0.1248 0.0887 6.3281 0.8465 3.2958
"41" 10 1.9061 1.0435 4.526 1.8993 3.7196 3.8616 4.6671 1.2515 29.2981 8.6576 6.7877 1.9009 0.1282 0.0883 6.3136 0.8479 3.278
"42" 10.25 1.9095 1.021 4.5024 1.8817 3.7216 3.8761 4.7951 1.235 29.2191 8.6532 6.739 1.8745 0.1309 0.0879 6.2981 0.849 3.2599
