"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1319 0.1469 0.1517 0.1625 0.1739 0.1916 0.2005 0.2057 0.2245 0.2369 0.2548 0.2625 5.9515 9.9457 13.9363 3.974 8.9627
"3" 0.5 0.1581 0.1799 0.1769 0.1887 0.2017 0.2293 0.2365 0.2351 0.2653 0.2805 0.3092 0.3132 5.8966 9.8844 13.8646 3.9446 8.9209
"4" 0.75 0.1895 0.2203 0.2064 0.219 0.2338 0.2745 0.279 0.2687 0.3135 0.3321 0.3751 0.3736 5.8339 9.8146 13.7833 3.9112 8.8735
"5" 1 0.2271 0.2696 0.2407 0.2541 0.271 0.3285 0.329 0.3069 0.3703 0.3931 0.455 0.4456 5.7618 9.7346 13.6902 3.8728 8.8195
"6" 1.25 0.2721 0.33 0.2807 0.2948 0.3141 0.3931 0.388 0.3506 0.4374 0.4652 0.5518 0.5313 5.6783 9.6422 13.5831 3.8284 8.7575
"7" 1.5 0.326 0.4038 0.3274 0.342 0.3639 0.4703 0.4575 0.4004 0.5165 0.5505 0.669 0.6334 5.5812 9.5349 13.459 3.7768 8.6859
"8" 1.75 0.3904 0.494 0.3816 0.3966 0.4215 0.5625 0.5393 0.4571 0.6098 0.6512 0.8108 0.7547 5.4675 9.4097 13.3147 3.7166 8.6029
"9" 2 0.4675 0.6041 0.4448 0.4597 0.4881 0.6726 0.6358 0.5217 0.7197 0.77 0.9824 0.8989 5.3342 9.2633 13.1463 3.6461 8.5063
"10" 2.25 0.5595 0.7386 0.5184 0.5326 0.565 0.8039 0.7494 0.5952 0.8492 0.9102 1.1897 1.0702 5.1774 9.0914 12.9492 3.5633 8.3936
"11" 2.5 0.6692 0.9026 0.6039 0.6168 0.6537 0.9603 0.8831 0.6786 1.0016 1.0754 1.4399 1.2733 4.9927 8.8895 12.7182 3.4659 8.2618
"12" 2.75 0.8001 1.1025 0.7032 0.7139 0.756 1.1462 1.0405 0.7733 1.1808 1.2698 1.7415 1.5138 4.7748 8.6518 12.447 3.3512 8.1075
"13" 3 0.9558 1.3457 0.8184 0.8255 0.8735 1.3669 1.2256 0.8805 1.3911 1.4982 2.1042 1.7979 4.5178 8.3721 12.1286 3.216 7.9268
"14" 3.25 1.1408 1.6407 0.952 0.9536 1.0085 1.628 1.4431 1.0014 1.6375 1.766 2.5395 2.1329 4.215 8.043 11.7549 3.057 7.7153
"15" 3.5 1.3599 1.9973 1.1063 1.1002 1.163 1.9358 1.6986 1.1373 1.9257 2.079 3.0599 2.5263 3.859 7.6565 11.3171 2.8702 7.4678
"16" 3.75 1.6185 2.4263 1.2838 1.2671 1.339 2.2965 1.9982 1.289 2.2614 2.4435 3.6785 2.9861 3.4418 7.2041 10.8059 2.6516 7.1792
"17" 4 1.9209 2.9384 1.4864 1.4558 1.5386 2.7155 2.3492 1.4568 2.6507 2.8655 4.408 3.5199 2.9563 6.6775 10.2123 2.3973 6.8441
"18" 4.25 2.2687 3.542 1.715 1.6673 1.7627 3.1949 2.7588 1.6393 3.0991 3.3501 5.2559 4.1334 2.3978 6.0706 9.5303 2.1048 6.4582
